date,vol_09:45,amt_09:45,vol_10:00,amt_10:00,vol_10:15,amt_10:15,vol_10:30,amt_10:30,vol_10:45,amt_10:45,vol_11:00,amt_11:00,vol_11:15,amt_11:15,vol_11:30,amt_11:30,vol_13:15,amt_13:15,vol_13:30,amt_13:30,vol_13:45,amt_13:45,vol_14:00,amt_14:00,vol_14:15,amt_14:15,vol_14:30,amt_14:30,vol_14:45,amt_14:45,vol_15:00,amt_15:00,day_vol,day_amt_wan,open_price,close_price
2026-08-20,96826,40052.9,39305,16279.3,41896,17321.9,26094,10783.3,19362,7997.1,12232,5052.6,13987,5790.0,10021,4148.1,10734,4440.8,9857,4077.1,10796,4465.8,14442,5972.2,20140,8337.8,17696,7334.5,19355,8022.4,22975,9518.8,385718,159594.4,41.25,41.42
2026-08-21,99610,41387.8,44316,18425.5,32465,13460.8,20139,8351.0,26195,10833.5,13418,5554.1,16235,6732.7,11379,4714.7,19623,8112.9,13100,5414.0,11844,4896.4,14632,6047.9,21118,8728.5,20860,8631.5,28584,11819.3,41289,17040.7,434807,180151.4,41.43,41.24
2026-08-24,97640,40381.3,62284,25902.2,30098,12495.7,22327,9270.2,46221,19174.1,26675,11057.0,44305,18377.1,16619,6895.3,60474,25112.7,20899,8698.3,19843,8241.9,20596,8541.8,18186,7544.7,15568,6454.8,23857,9905.5,29881,12394.0,555473,230446.4,41.26,41.45
2026-08-25,70309,29264.1,38106,15834.4,27305,11358.5,37472,15612.9,44166,18448.1,21576,9002.1,17587,7349.8,21490,8981.1,36298,15107.4,24510,10196.4,21194,8837.0,15251,6363.6,20474,8532.1,22424,9345.5,27784,11583.7,39811,16589.3,485757,202406.0,41.46,41.62
2026-08-26,56214,23416.3,47794,19951.0,49165,20576.9,27958,11671.0,41652,17334.7,34135,14168.8,14423,5993.7,11803,4903.5,31519,13116.7,22391,9337.6,22901,9552.0,22540,9407.5,24480,10208.4,32482,13529.3,30284,12608.0,68767,28599.5,538508,224374.9,41.66,41.58
2026-08-27,323551,126422.7,71175,27922.6,40462,15901.6,30844,12118.2,32101,12590.1,43550,17049.9,29065,11398.6,24587,9630.1,20879,8174.7,23658,9260.4,23854,9346.9,20002,7842.2,19116,7497.3,19178,7522.7,26251,10316.3,31193,12249.3,779464,305243.6,38.91,39.27
2026-08-28,128885,49964.6,49983,19346.3,26516,10276.0,19132,7410.3,45915,17735.5,23625,9121.6,20674,7991.5,13998,5417.6,17935,6945.8,28044,10885.1,25447,9920.6,17570,6851.9,14903,5813.0,20057,7825.0,18430,7189.7,23759,9267.5,494873,191961.8,39.1,39.0
2026-08-31,58741,22836.0,43348,16821.5,26700,10393.9,14360,5578.2,19676,7664.3,27766,10862.6,15798,6167.8,11138,4339.9,15678,6099.7,17110,6652.2,16617,6460.9,12719,4947.3,14827,5769.2,18183,7074.4,31546,12289.0,34451,13413.2,378658,147370.1,38.9,38.95
2026-09-01,46205,17979.7,33926,13210.2,28168,10982.1,26514,10338.8,28417,11102.4,20618,8059.1,16991,6636.3,22031,8589.7,25637,9988.4,14319,5575.7,25182,9789.3,18475,7181.0,17093,6643.8,15228,5917.8,43599,16917.1,63284,24464.5,445687,173375.9,38.95,38.55
2026-09-02,56589,21875.2,33802,13059.8,32113,12389.0,15769,6096.5,10004,3861.8,11619,4487.7,10659,4117.1,9208,3554.6,17138,6607.6,11365,4379.7,12773,4920.1,9590,3696.3,10640,4102.6,15260,5880.0,23340,8987.5,26338,10140.7,306207,118156.2,38.63,38.48
2026-09-03,37061,14276.2,33178,12843.2,25596,9922.9,16773,6495.2,23213,9015.2,21184,8242.2,29324,11445.9,10213,3982.7,26582,10365.3,17196,6707.5,11039,4290.9,16321,6331.4,12036,4664.9,10740,4165.8,14071,5453.6,17014,6587.6,321542,124790.5,38.48,38.74
2026-09-04,42096,16342.2,39685,15473.8,28122,10967.7,17404,6786.3,14524,5664.7,10240,3989.4,8065,3140.8,6102,2377.9,16991,6620.5,36513,14270.2,14991,5858.0,17510,6842.5,15511,6060.6,21414,8361.0,19658,7664.4,23484,9148.7,332311,129568.6,38.8,38.98
2026-09-07,85362,33393.7,33648,13148.5,19128,7461.2,16040,6252.7,14577,5675.3,13218,5136.6,10795,4192.5,9008,3500.3,13717,5327.9,14274,5540.0,15704,6098.9,10977,4269.5,10351,4029.8,10639,4139.8,16026,6241.4,20653,8039.9,314117,122447.9,38.98,38.9
