datetime,open,close,high,low,volume,amount,date,time_str,slot_idx
2026-08-24 09:45:00,26.28,25.94,26.28,25.9,108543.36,283147362.393,2026-08-24,09:45,0
2026-08-24 10:00:00,25.95,25.93,26.12,25.91,47263.0,122924721.0479,2026-08-24,10:00,1
2026-08-24 10:15:00,25.94,26.23,26.25,25.91,44258.24,115599241.5833,2026-08-24,10:15,2
2026-08-24 10:30:00,26.23,26.3,26.38,26.13,71568.0,188073838.225,2026-08-24,10:30,3
2026-08-24 10:45:00,26.29,26.08,26.3,26.05,26935.0,70447997.938,2026-08-24,10:45,4
2026-08-24 11:00:00,26.08,26.0,26.09,25.88,33131.0,86012669.7826,2026-08-24,11:00,5
2026-08-24 11:15:00,26.0,26.21,26.28,25.99,22084.0,57734907.9399,2026-08-24,11:15,6
2026-08-24 11:30:00,26.21,26.2,26.34,26.11,27689.0,72659241.9722,2026-08-24,11:30,7
2026-08-24 13:15:00,26.19,26.12,26.21,26.06,25079.3,65526282.7177,2026-08-24,13:15,8
2026-08-24 13:30:00,26.13,26.05,26.16,26.03,17737.0,46252951.106,2026-08-24,13:30,9
2026-08-24 13:45:00,26.04,26.06,26.12,25.99,26554.0,69152681.0981,2026-08-24,13:45,10
2026-08-24 14:00:00,26.06,26.12,26.14,26.01,17869.0,46568400.1152,2026-08-24,14:00,11
2026-08-24 14:15:00,26.12,26.29,26.33,26.1,34977.43,91812012.8799,2026-08-24,14:15,12
2026-08-24 14:30:00,26.3,26.25,26.38,26.23,32796.5,86296571.6494,2026-08-24,14:30,13
2026-08-24 14:45:00,26.25,26.25,26.28,26.17,21470.0,56331582.9585,2026-08-24,14:45,14
2026-08-24 15:00:00,26.25,26.29,26.32,26.23,31162.48,81904726.9369,2026-08-24,15:00,15
2026-08-25 09:45:00,26.16,26.01,26.35,26.0,75354.45,197218255.1635,2026-08-25,09:45,0
2026-08-25 10:00:00,26.01,26.02,26.24,25.94,45162.0,117672910.936,2026-08-25,10:00,1
2026-08-25 10:15:00,26.02,25.97,26.2,25.92,46999.0,122279856.9375,2026-08-25,10:15,2
2026-08-25 10:30:00,25.99,26.15,26.18,25.86,40407.0,105032993.9429,2026-08-25,10:30,3
2026-08-25 10:45:00,26.15,25.91,26.17,25.91,19922.0,51845592.9841,2026-08-25,10:45,4
2026-08-25 11:00:00,25.91,25.87,25.94,25.77,43200.93,111620912.7345,2026-08-25,11:00,5
2026-08-25 11:15:00,25.87,25.89,25.94,25.83,13828.0,35789524.9917,2026-08-25,11:15,6
2026-08-25 11:30:00,25.89,25.96,25.97,25.88,9486.67,24589866.2568,2026-08-25,11:30,7
2026-08-25 13:15:00,25.97,26.1,26.12,25.9,19199.0,49977504.0161,2026-08-25,13:15,8
2026-08-25 13:30:00,26.09,26.16,26.28,26.09,43421.87,113747200.3881,2026-08-25,13:30,9
2026-08-25 13:45:00,26.16,26.07,26.19,26.07,10892.0,28464769.9907,2026-08-25,13:45,10
2026-08-25 14:00:00,26.07,26.05,26.1,26.02,13061.0,34025678.9466,2026-08-25,14:00,11
2026-08-25 14:15:00,26.06,26.1,26.14,26.04,9159.95,23900417.5576,2026-08-25,14:15,12
2026-08-25 14:30:00,26.1,26.15,26.16,26.07,12486.66,32601175.3021,2026-08-25,14:30,13
2026-08-25 14:45:00,26.14,26.17,26.17,26.12,15592.3,40767986.374,2026-08-25,14:45,14
2026-08-25 15:00:00,26.16,26.13,26.17,26.12,23210.12,60677725.0319,2026-08-25,15:00,15
2026-08-26 09:45:00,26.2,26.53,26.54,26.11,127932.97,337406466.555,2026-08-26,09:45,0
2026-08-26 10:00:00,26.52,26.51,26.7,26.45,103697.0,275658410.0665,2026-08-26,10:00,1
2026-08-26 10:15:00,26.52,26.55,26.57,26.45,45628.92,120947675.9853,2026-08-26,10:15,2
2026-08-26 10:30:00,26.56,26.54,26.63,26.49,32748.0,87026944.0492,2026-08-26,10:30,3
2026-08-26 10:45:00,26.54,26.69,26.73,26.54,54685.98,145789030.0943,2026-08-26,10:45,4
2026-08-26 11:00:00,26.68,26.65,26.73,26.59,25381.66,67669984.735,2026-08-26,11:00,5
2026-08-26 11:15:00,26.65,26.58,26.71,26.53,29666.0,79005414.0347,2026-08-26,11:15,6
2026-08-26 11:30:00,26.58,26.5,26.58,26.5,27086.0,71856970.0767,2026-08-26,11:30,7
2026-08-26 13:15:00,26.51,26.38,26.52,26.34,61120.9,161400836.9171,2026-08-26,13:15,8
2026-08-26 13:30:00,26.37,26.46,26.46,26.3,28703.7,75693048.2495,2026-08-26,13:30,9
2026-08-26 13:45:00,26.45,26.4,26.5,26.36,24286.0,64171407.9297,2026-08-26,13:45,10
2026-08-26 14:00:00,26.39,26.38,26.4,26.34,20479.0,53991014.1113,2026-08-26,14:00,11
2026-08-26 14:15:00,26.39,26.41,26.42,26.34,22447.0,59215667.9766,2026-08-26,14:15,12
2026-08-26 14:30:00,26.41,26.31,26.43,26.26,38831.0,102259738.0669,2026-08-26,14:30,13
2026-08-26 14:45:00,26.32,26.32,26.39,26.3,25461.0,67079255.0229,2026-08-26,14:45,14
2026-08-26 15:00:00,26.33,26.35,26.35,26.28,44959.89,118294958.144,2026-08-26,15:00,15
2026-08-27 09:45:00,26.28,26.64,26.77,26.17,137260.78,363891663.5271,2026-08-27,09:45,0
2026-08-27 10:00:00,26.65,26.6,26.72,26.43,64739.19,172070190.2745,2026-08-27,10:00,1
2026-08-27 10:15:00,26.6,26.63,26.72,26.58,37190.26,99124183.3855,2026-08-27,10:15,2
2026-08-27 10:30:00,26.64,26.46,26.67,26.45,37269.55,98926990.5176,2026-08-27,10:30,3
2026-08-27 10:45:00,26.45,26.4,26.47,26.33,43992.23,116143212.8775,2026-08-27,10:45,4
2026-08-27 11:00:00,26.4,26.42,26.47,26.37,24055.0,63525131.3087,2026-08-27,11:00,5
2026-08-27 11:15:00,26.42,26.5,26.54,26.41,13744.0,36408801.979,2026-08-27,11:15,6
2026-08-27 11:30:00,26.49,26.46,26.56,26.45,16755.0,44384312.9316,2026-08-27,11:30,7
2026-08-27 13:15:00,26.47,26.49,26.52,26.31,34159.8,90175280.6865,2026-08-27,13:15,8
2026-08-27 13:30:00,26.49,26.65,26.65,26.48,27715.98,73685156.9874,2026-08-27,13:30,9
2026-08-27 13:45:00,26.64,26.66,26.71,26.54,43266.97,115298056.9105,2026-08-27,13:45,10
2026-08-27 14:00:00,26.67,26.68,26.74,26.65,38382.0,102460207.835,2026-08-27,14:00,11
2026-08-27 14:15:00,26.68,26.66,26.72,26.64,23122.0,61718272.7993,2026-08-27,14:15,12
2026-08-27 14:30:00,26.66,26.65,26.67,26.63,16208.0,43197590.9932,2026-08-27,14:30,13
2026-08-27 14:45:00,26.65,26.69,26.7,26.63,31105.0,82942213.9907,2026-08-27,14:45,14
2026-08-27 15:00:00,26.69,26.69,26.71,26.66,48150.14,128516921.5569,2026-08-27,15:00,15
2026-08-28 09:45:00,27.1,26.99,27.16,26.8,220822.51,596253848.7637,2026-08-28,09:45,0
2026-08-28 10:00:00,27.0,26.9,27.0,26.79,73676.8,197863741.3176,2026-08-28,10:00,1
2026-08-28 10:15:00,26.89,27.21,27.24,26.85,89303.25,241709735.1554,2026-08-28,10:15,2
2026-08-28 10:30:00,27.21,27.2,27.33,27.05,72304.01,196778326.274,2026-08-28,10:30,3
2026-08-28 10:45:00,27.2,27.04,27.27,26.96,42115.78,114203391.8075,2026-08-28,10:45,4
2026-08-28 11:00:00,27.05,27.01,27.08,26.93,32616.0,88002135.8511,2026-08-28,11:00,5
2026-08-28 11:15:00,27.0,26.91,27.06,26.91,22493.0,60658054.2288,2026-08-28,11:15,6
2026-08-28 11:30:00,26.92,27.04,27.04,26.86,28479.0,76698798.9551,2026-08-28,11:30,7
2026-08-28 13:15:00,27.03,27.11,27.15,26.87,40956.15,110468261.1048,2026-08-28,13:15,8
2026-08-28 13:30:00,27.11,27.14,27.21,27.07,35942.0,97604410.6855,2026-08-28,13:30,9
2026-08-28 13:45:00,27.14,27.06,27.25,27.03,34349.0,93239456.9023,2026-08-28,13:45,10
2026-08-28 14:00:00,27.05,27.08,27.17,27.0,24633.0,66736937.0508,2026-08-28,14:00,11
2026-08-28 14:15:00,27.07,27.19,27.2,27.04,24649.38,66829869.3719,2026-08-28,14:15,12
2026-08-28 14:30:00,27.18,27.29,27.3,27.16,63770.0,173668204.9199,2026-08-28,14:30,13
2026-08-28 14:45:00,27.3,27.24,27.34,27.2,49704.0,135661622.1237,2026-08-28,14:45,14
2026-08-28 15:00:00,27.24,27.23,27.29,27.21,51569.0,140522614.5119,2026-08-28,15:00,15
2026-08-31 09:45:00,26.81,26.67,26.81,26.42,159483.42,425373014.4397,2026-08-31,09:45,0
2026-08-31 10:00:00,26.66,27.0,27.03,26.56,90751.35,242605069.2145,2026-08-31,10:00,1
2026-08-31 10:15:00,27.0,26.91,27.03,26.8,48480.56,130606771.9531,2026-08-31,10:15,2
2026-08-31 10:30:00,26.91,26.87,26.94,26.8,20367.0,54747492.0239,2026-08-31,10:30,3
2026-08-31 10:45:00,26.88,26.86,26.92,26.81,18507.0,49708650.7299,2026-08-31,10:45,4
2026-08-31 11:00:00,26.85,26.81,26.91,26.78,16833.0,45187949.0415,2026-08-31,11:00,5
2026-08-31 11:15:00,26.8,26.96,26.97,26.79,14517.74,39016772.9199,2026-08-31,11:15,6
2026-08-31 11:30:00,26.96,26.93,27.04,26.9,26707.0,72023607.941,2026-08-31,11:30,7
2026-08-31 13:15:00,26.94,27.03,27.05,26.88,23098.85,62292166.7602,2026-08-31,13:15,8
2026-08-31 13:30:00,27.02,27.04,27.07,26.99,24247.0,65543939.2134,2026-08-31,13:30,9
2026-08-31 13:45:00,27.03,27.13,27.18,26.98,34574.4,93699585.8174,2026-08-31,13:45,10
2026-08-31 14:00:00,27.13,27.17,27.18,27.09,20623.0,55951274.0098,2026-08-31,14:00,11
2026-08-31 14:15:00,27.17,27.05,27.18,27.02,19211.6,52034433.0277,2026-08-31,14:15,12
2026-08-31 14:30:00,27.06,27.05,27.09,27.02,21611.0,58483034.0151,2026-08-31,14:30,13
2026-08-31 14:45:00,27.04,27.12,27.14,27.02,28886.0,78258365.8878,2026-08-31,14:45,14
2026-08-31 15:00:00,27.12,27.11,27.14,27.01,52898.48,143204692.4708,2026-08-31,15:00,15
2026-09-01 09:45:00,27.29,27.32,27.46,27.18,101219.04,276186026.4352,2026-09-01,09:45,0
2026-09-01 10:00:00,27.32,27.19,27.4,27.15,55717.0,152062503.6542,2026-09-01,10:00,1
2026-09-01 10:15:00,27.2,27.37,27.39,27.16,38320.9,104534339.9087,2026-09-01,10:15,2
2026-09-01 10:30:00,27.37,27.47,27.5,27.37,71647.5,196646947.209,2026-09-01,10:30,3
2026-09-01 10:45:00,27.48,27.44,27.48,27.33,46531.0,127482929.9746,2026-09-01,10:45,4
2026-09-01 11:00:00,27.45,27.35,27.46,27.33,28251.0,77414064.9902,2026-09-01,11:00,5
2026-09-01 11:15:00,27.36,27.4,27.44,27.35,16584.0,45459667.9922,2026-09-01,11:15,6
2026-09-01 11:30:00,27.41,27.4,27.47,27.39,27924.0,76604623.998,2026-09-01,11:30,7
2026-09-01 13:15:00,27.4,27.27,27.42,27.26,30434.15,83212892.519,2026-09-01,13:15,8
2026-09-01 13:30:00,27.26,27.19,27.3,27.16,32913.93,89595821.8622,2026-09-01,13:30,9
2026-09-01 13:45:00,27.2,27.15,27.25,27.11,33273.51,90425105.4391,2026-09-01,13:45,10
2026-09-01 14:00:00,27.16,27.12,27.2,27.1,31548.22,85604710.8083,2026-09-01,14:00,11
2026-09-01 14:15:00,27.12,27.06,27.13,27.06,26421.9,71586433.136,2026-09-01,14:15,12
2026-09-01 14:30:00,27.07,27.04,27.08,27.01,23759.0,64246377.2329,2026-09-01,14:30,13
2026-09-01 14:45:00,27.03,27.08,27.09,27.01,20596.0,55696305.0737,2026-09-01,14:45,14
2026-09-01 15:00:00,27.07,27.06,27.1,27.03,32654.67,88359544.61,2026-09-01,15:00,15
2026-09-02 09:45:00,26.93,26.94,27.22,26.76,99009.8,267345866.6266,2026-09-02,09:45,0
2026-09-02 10:00:00,26.94,26.49,26.97,26.48,89176.0,237547650.1428,2026-09-02,10:00,1
2026-09-02 10:15:00,26.49,26.3,26.5,26.14,93753.0,246431855.7578,2026-09-02,10:15,2
2026-09-02 10:30:00,26.29,26.3,26.38,26.25,28927.99,76116821.7994,2026-09-02,10:30,3
2026-09-02 10:45:00,26.3,26.41,26.43,26.2,27328.0,71854421.9244,2026-09-02,10:45,4
2026-09-02 11:00:00,26.41,26.25,26.42,26.23,21613.0,56893561.0182,2026-09-02,11:00,5
2026-09-02 11:15:00,26.25,26.34,26.36,26.24,15719.0,41343306.043,2026-09-02,11:15,6
2026-09-02 11:30:00,26.34,26.36,26.4,26.32,17900.0,47170183.9863,2026-09-02,11:30,7
2026-09-02 13:15:00,26.37,26.38,26.42,26.28,28852.0,75925277.0664,2026-09-02,13:15,8
2026-09-02 13:30:00,26.38,26.54,26.56,26.37,22155.7,58613984.0441,2026-09-02,13:30,9
2026-09-02 13:45:00,26.54,26.59,26.59,26.51,19829.0,52652633.1011,2026-09-02,13:45,10
2026-09-02 14:00:00,26.58,26.61,26.65,26.57,20561.0,54719281.0166,2026-09-02,14:00,11
