date,vol_09:45,amt_09:45,vol_10:00,amt_10:00,vol_10:15,amt_10:15,vol_10:30,amt_10:30,vol_10:45,amt_10:45,vol_11:00,amt_11:00,vol_11:15,amt_11:15,vol_11:30,amt_11:30,vol_13:15,amt_13:15,vol_13:30,amt_13:30,vol_13:45,amt_13:45,vol_14:00,amt_14:00,vol_14:15,amt_14:15,vol_14:30,amt_14:30,vol_14:45,amt_14:45,vol_15:00,amt_15:00,day_vol,day_amt_wan,open_price,close_price
2026-07-28,83284,21003.0,41450,10475.1,32913,8302.3,25940,6518.2,17948,4506.1,36679,9172.9,30023,7541.5,59511,15190.1,24719,6299.1,30305,7752.9,20688,5268.5,9237,2355.7,19218,4918.9,34844,8930.5,21472,5491.8,33287,8512.9,521518,132239.6,25.16,25.6
2026-07-29,149994,39059.2,47786,12401.7,45209,11753.2,60033,15716.9,28715,7517.3,17934,4683.3,52950,13921.4,23125,6073.7,53036,13810.3,28292,7376.4,32293,8486.3,23191,6090.7,19798,5180.4,19263,5029.0,22670,5920.5,37904,9922.9,662194,172943.1,25.78,26.15
2026-07-30,305262,82720.8,71570,19390.5,44081,11888.2,40875,10992.7,29066,7846.0,37728,10117.9,30923,8276.8,39141,10417.2,54028,14406.0,33463,8948.4,36949,9894.5,35389,9460.2,31708,8474.8,37735,10098.1,38163,10206.8,70775,18820.5,936856,251959.2,26.53,26.5
2026-07-31,174350,46365.3,78116,20854.8,83533,22432.3,67828,18247.3,51791,13969.3,27093,7275.8,29978,8011.8,31084,8266.8,108012,29194.1,47587,12829.2,68608,18360.4,46614,12456.1,78121,20791.8,72477,19373.6,73018,19512.9,71298,18995.8,1109507,296937.3,26.4,26.62
2026-08-03,219978,56916.3,89501,23288.5,64624,16846.3,44865,11633.5,55643,14365.6,36075,9327.6,24534,6347.8,74650,19172.3,42158,10825.4,60265,15408.7,26515,6795.7,25166,6456.7,28244,7239.9,42409,10920.3,45374,11663.7,41843,10749.9,921845,237958.4,26.27,25.68
2026-08-04,159761,41538.5,98827,25484.9,154733,40369.5,46046,11974.2,31442,8137.3,34031,8834.8,29335,7640.1,30265,7879.8,34259,8897.2,17759,4605.8,30190,7854.0,25480,6629.7,49954,13047.3,37470,9760.6,51585,13394.6,49480,12847.8,880617,228896.2,25.95,26.02
2026-08-05,232999,60472.6,88308,23215.3,78398,20703.4,74359,19766.7,53201,14167.4,43671,11573.5,44303,11795.6,34840,9298.1,57843,15316.5,41732,11116.7,40254,10754.0,45968,12321.1,30554,8148.3,34518,9183.8,39778,10629.2,89635,24023.4,1030360,272485.7,25.72,26.82
2026-08-06,172209,46270.8,63707,17127.1,54837,14789.9,35759,9650.7,76927,20581.1,83051,22020.1,59173,15637.8,39886,10509.9,44585,11745.9,49468,12955.8,30207,7933.4,35251,9339.4,35692,9503.3,21977,5846.2,26856,7136.4,33749,8980.0,863334,230027.8,26.88,26.66
2026-08-07,147930,39897.6,128305,34867.2,87925,24010.8,95545,26157.5,47834,13090.0,46376,12595.0,20642,5622.9,15743,4289.6,28954,7869.2,27372,7427.4,30424,8257.4,30393,8247.4,21902,5945.2,47982,12967.6,31734,8578.9,40813,11064.4,849875,230888.1,26.72,27.13
2026-08-10,221401,61253.5,182313,51040.6,74240,20660.8,34654,9616.3,31147,8645.3,50669,13968.0,30169,8310.8,17405,4797.1,44702,12313.3,36042,9893.3,33505,9236.2,31830,8834.2,22310,6197.1,21941,6100.3,33018,9187.7,37701,10497.6,903048,250552.0,27.5,27.85
2026-08-11,224473,63578.9,209049,60195.0,122206,34562.0,90319,25352.8,78028,21763.8,30671,8568.1,28831,8056.6,27593,7757.7,69785,19431.7,46518,12875.9,58361,16035.9,36348,9961.2,28973,7942.4,39470,10774.3,57323,15602.4,52355,14260.5,1200303,336719.4,28.13,27.23
2026-08-12,323405,90990.5,107362,30374.9,127624,35933.9,95847,26631.4,63406,17550.5,43738,12220.6,24268,6783.3,22274,6227.3,34554,9594.3,26706,7389.5,42899,11844.9,36423,10027.6,35252,9687.8,60087,16441.8,39209,10752.1,63138,17322.7,1146193,319773.0,27.98,27.44
2026-08-13,251924,67476.9,136626,36277.5,112683,29760.1,92816,24441.6,87997,23144.4,63462,16709.3,38637,10152.5,34448,9057.7,111854,29222.8,58024,15146.4,54228,14168.0,54825,14300.1,50598,13169.7,85001,22061.5,67624,17497.4,68608,17765.5,1369355,360351.3,26.9,25.89
2026-08-14,156252,40054.2,60355,15611.6,57318,14720.7,39818,10204.0,33039,8480.1,24908,6372.4,27051,6912.2,14311,3675.8,19137,4919.6,16206,4161.8,17062,4391.0,23323,6022.3,23814,6167.7,24964,6459.8,19619,5079.6,33722,8733.6,590899,151966.3,25.54,25.91
2026-08-17,97597,25460.9,68866,18049.6,96917,25654.9,58827,15588.0,70007,18597.9,33147,8796.8,47722,12726.0,14236,3784.6,25055,6632.3,29314,7792.1,26449,7052.6,38495,10280.0,18934,5054.4,19247,5132.3,24146,6441.7,42663,11392.1,711622,188436.3,26.11,26.71
2026-08-18,106455,28338.7,49752,13146.9,32530,8611.5,22197,5899.9,18836,4983.0,19629,5190.6,20753,5498.8,23927,6335.3,38393,10133.7,20214,5336.1,14036,3705.7,20870,5533.0,17558,4651.9,16340,4337.9,18781,4990.5,25011,6641.8,465283,123335.4,26.43,26.57
2026-08-19,109361,28436.0,45300,11804.7,34423,8970.4,43729,11439.1,19155,5016.5,21613,5663.6,15324,4007.0,12796,3348.0,30512,7961.1,23481,6129.9,17316,4522.9,11835,3085.3,24181,6289.0,23108,6016.2,37507,9737.2,30930,8034.4,500570,130461.2,25.99,25.96
2026-08-20,150652,39918.4,55326,14629.1,38422,10104.6,50560,13186.4,45416,11754.4,38890,10015.6,42283,10848.1,63790,16229.7,48482,12345.4,54518,13804.7,45720,11527.6,44550,11233.6,52452,13200.1,43267,10883.9,45070,11344.3,33665,8498.3,853064,219524.2,26.28,25.26
2026-08-21,145819,37125.1,63993,16395.2,35817,9161.6,82408,21250.8,29296,7562.3,31426,8109.5,19168,4949.0,16006,4114.1,26269,6714.5,13873,3546.1,14859,3811.3,24002,6180.9,33154,8557.8,28906,7468.1,37893,9811.6,47627,12339.0,650515,167096.8,25.47,25.88
2026-08-24,108543,28314.7,47263,12292.5,44258,11559.9,71568,18807.4,26935,7044.8,33131,8601.3,22084,5773.5,27689,7265.9,25079,6552.6,17737,4625.3,26554,6915.3,17869,4656.8,34977,9181.2,32796,8629.7,21470,5633.2,31162,8190.5,589117,154044.5,26.28,26.29
