云铝股份 异动预警  数据区间 2026-08-20 ~ 2026-09-17  共127条

[2026-09-17] [高] 跳变            09:45  同槽较前日+102.0% (53,138->107,348手)
[2026-09-17] [中] 跳变            10:30  同槽较前日-54.8% (53,232->24,058手)
[2026-09-17] [中] 跳变            10:45  同槽较前日-52.8% (34,731->16,379手)
[2026-09-17] [中] 跳变            11:15  同槽较前日+50.8% (15,369->23,173手)
[2026-09-17] [中] 跳变            11:30  同槽较前日-61.2% (25,791->10,006手)
[2026-09-17] [中] 跳变            14:30  同槽较前日-51.1% (24,105->11,797手)
[2026-09-16] [中] 跳变            10:00  同槽较前日+69.0% (60,364->102,023手)
[2026-09-16] [高] 跳变            10:15  同槽较前日+100.2% (31,125->62,324手)
[2026-09-16] [高] 跳变            10:30  同槽较前日+119.3% (24,274->53,232手)
[2026-09-16] [中] 跳变            11:00  同槽较前日+95.0% (17,949->34,994手)
[2026-09-16] [高] 跳变            11:30  同槽较前日+132.9% (11,072->25,791手)
[2026-09-16] [中] 跳变            14:15  同槽较前日-64.8% (27,881->9,816手)
[2026-09-16] [中] 跳变            14:30  同槽较前日+74.2% (13,841->24,105手)
[2026-09-15] [高] 跳变            10:45  同槽较前日+70406.2% (48->33,843手)
[2026-09-15] [高] 跳变            11:00  同槽较前日+6046.8% (292->17,949手)
[2026-09-15] [中] 跳变            13:45  同槽较前日+59.8% (13,858->22,143手)
[2026-09-15] [高] 跳变            14:00  同槽较前日+130.4% (14,912->34,362手)
[2026-09-15] [中] 跳变            14:15  同槽较前日+93.9% (14,380->27,881手)
[2026-09-14] [中] 跳变            09:45  同槽较前日-61.3% (243,997->94,401手)
[2026-09-14] [中] 跳变            10:00  同槽较前日-60.3% (105,418->41,842手)
[2026-09-14] [中] 跳变            10:45  同槽较前日-99.9% (47,550->48手)
[2026-09-14] [中] 跳变            11:00  同槽较前日-98.8% (24,116->292手)
[2026-09-14] [中] 跳变            13:30  同槽较前日-67.1% (42,877->14,123手)
[2026-09-11] [中] 跳变            09:45  同槽较前日+85.2% (131,734->243,997手)
[2026-09-11] [中] 跳变            10:00  同槽较前日+77.4% (59,411->105,418手)
[2026-09-11] [中] 跳变            10:45  同槽较前日+78.8% (26,590->47,550手)
[2026-09-11] [中] 跳变            13:15  同槽较前日+74.2% (17,120->29,827手)
[2026-09-11] [中] 跳变            13:30  同槽较前日+91.6% (22,379->42,877手)
[2026-09-10] [中] 跳变            11:00  同槽较前日-84.4% (110,668->17,294手)
[2026-09-10] [中] 跳变            11:15  同槽较前日-52.0% (32,548->15,633手)
[2026-09-10] [中] 跳变            13:15  同槽较前日-88.9% (154,072->17,120手)
[2026-09-10] [中] 跳变            13:30  同槽较前日-51.3% (45,952->22,379手)
[2026-09-10] [中] 跳变            13:45  同槽较前日-86.1% (136,802->19,045手)
[2026-09-10] [中] 跳变            14:00  同槽较前日-85.2% (141,401->20,943手)
[2026-09-09] [中] 跳变            09:45  同槽较前日+87.4% (82,444->154,497手)
[2026-09-09] [中] 跳变            10:00  同槽较前日+65.4% (69,539->115,023手)
[2026-09-09] [中] 跳变            10:15  同槽较前日+83.3% (43,964->80,596手)
[2026-09-09] [高] 跳变            11:00  同槽较前日+576.1% (16,368->110,668手)
[2026-09-09] [中] 跳变            11:15  同槽较前日-61.3% (84,064->32,548手)
[2026-09-09] [高] 跳变            13:15  同槽较前日+254.2% (43,503->154,072手)
[2026-09-09] [高] 跳变            13:45  同槽较前日+144.5% (55,957->136,802手)
[2026-09-09] [高] 跳变            14:00  同槽较前日+394.8% (28,578->141,401手)
[2026-09-09] [中] 跳变            14:15  同槽较前日+79.3% (28,900->51,812手)
[2026-09-09] [中] 跳变            14:45  同槽较前日+53.2% (30,134->46,151手)
[2026-09-09] [中] 跳变            15:00  同槽较前日+61.0% (39,338->63,315手)
[2026-09-08] [高] 跳变            10:00  同槽较前日+158.7% (26,880->69,539手)
[2026-09-08] [高] 跳变            10:30  同槽较前日+115.8% (13,050->28,168手)
[2026-09-08] [高] 跳变            11:15  同槽较前日+459.4% (15,027->84,064手)
[2026-09-08] [高] 跳变            11:30  同槽较前日+183.7% (13,474->38,221手)
[2026-09-08] [高] 跳变            13:15  同槽较前日+104.4% (21,278->43,503手)
[2026-09-08] [高] 跳变            13:30  同槽较前日+138.0% (15,706->37,381手)
[2026-09-08] [高] 跳变            13:45  同槽较前日+184.2% (19,686->55,957手)
[2026-09-08] [中] 跳变            14:00  同槽较前日+64.2% (17,401->28,578手)
[2026-09-08] [中] 跳变            14:15  同槽较前日+70.7% (16,935->28,900手)
[2026-09-08] [高] 跳变            14:30  同槽较前日+285.3% (9,831->37,882手)
[2026-09-08] [中] 跳变            14:45  同槽较前日+89.3% (15,919->30,134手)
[2026-09-08] [中] 跳变            15:00  同槽较前日+83.1% (21,480->39,338手)
[2026-09-07] [中] 跳变            10:00  同槽较前日-59.8% (66,899->26,880手)
[2026-09-07] [中] 跳变            10:30  同槽较前日-79.9% (64,840->13,050手)
[2026-09-07] [中] 跳变            11:15  同槽较前日-53.5% (32,313->15,027手)
[2026-09-07] [中] 跳变            14:00  同槽较前日-52.0% (36,246->17,401手)
[2026-09-07] [中] 跳变            14:15  同槽较前日-55.2% (37,827->16,935手)
[2026-09-07] [中] 跳变            14:30  同槽较前日-53.1% (20,961->9,831手)
[2026-09-07] [中] 跳变            14:45  同槽较前日-51.5% (32,791->15,919手)
[2026-09-04] [中] 跳变            09:45  同槽较前日-56.7% (245,483->106,321手)
[2026-09-04] [中] 跳变            10:00  同槽较前日-62.8% (179,920->66,899手)
[2026-09-04] [中] 跳变            10:15  同槽较前日-52.5% (99,418->47,183手)
[2026-09-04] [中] 跳变            10:45  同槽较前日-60.0% (57,696->23,088手)
