datetime,open,close,high,low,volume,amount,date,time_str,slot_idx
2026-08-05 09:45:00,76.89,75.77,76.96,75.61,92837.51,706500143.7263,2026-08-05,09:45,0
2026-08-05 10:00:00,75.78,75.28,75.78,75.2,66374.26,500548132.9329,2026-08-05,10:00,1
2026-08-05 10:15:00,75.29,75.72,75.85,75.25,31473.91,237572637.8387,2026-08-05,10:15,2
2026-08-05 10:30:00,75.71,75.71,75.97,75.71,21660.01,164256961.7056,2026-08-05,10:30,3
2026-08-05 10:45:00,75.71,75.61,75.92,75.58,15640.0,118402795.8398,2026-08-05,10:45,4
2026-08-05 11:00:00,75.61,75.55,75.65,75.5,12945.0,97803496.2214,2026-08-05,11:00,5
2026-08-05 11:15:00,75.55,75.54,75.57,75.41,13872.0,104749628.9165,2026-08-05,11:15,6
2026-08-05 11:30:00,75.55,75.51,75.57,75.47,14099.19,106471543.5886,2026-08-05,11:30,7
2026-08-05 13:15:00,75.51,75.29,75.55,75.25,33553.0,252803448.376,2026-08-05,13:15,8
2026-08-05 13:30:00,75.29,75.33,75.47,75.26,22039.02,166050339.5225,2026-08-05,13:30,9
2026-08-05 13:45:00,75.33,75.36,75.5,75.31,17945.17,135239847.291,2026-08-05,13:45,10
2026-08-05 14:00:00,75.36,75.4,75.46,75.28,18070.01,136133086.5282,2026-08-05,14:00,11
2026-08-05 14:15:00,75.41,75.38,75.41,75.28,16774.62,126359782.25,2026-08-05,14:15,12
2026-08-05 14:30:00,75.38,75.38,75.39,75.33,13322.0,100399027.4896,2026-08-05,14:30,13
2026-08-05 14:45:00,75.38,75.42,75.44,75.36,13996.0,105535966.8154,2026-08-05,14:45,14
2026-08-05 15:00:00,75.41,75.5,75.52,75.38,28670.88,216293864.1198,2026-08-05,15:00,15
2026-08-06 09:45:00,75.51,75.16,75.78,75.03,55591.31,418709520.2628,2026-08-06,09:45,0
2026-08-06 10:00:00,75.16,74.77,75.2,74.76,52450.98,393124582.0322,2026-08-06,10:00,1
2026-08-06 10:15:00,74.77,74.66,74.86,74.63,34753.91,259694801.5412,2026-08-06,10:15,2
2026-08-06 10:30:00,74.66,74.47,74.78,74.44,43007.46,320754015.6727,2026-08-06,10:30,3
2026-08-06 10:45:00,74.47,74.45,74.67,74.41,29497.2,219738562.4445,2026-08-06,10:45,4
2026-08-06 11:00:00,74.46,74.35,74.57,74.28,26511.1,197204650.8412,2026-08-06,11:00,5
2026-08-06 11:15:00,74.35,74.63,74.7,74.34,17162.0,127891397.2422,2026-08-06,11:15,6
2026-08-06 11:30:00,74.63,74.53,74.76,74.46,18903.01,141012818.9782,2026-08-06,11:30,7
2026-08-06 13:15:00,74.54,74.48,74.78,74.37,18847.0,140415267.4595,2026-08-06,13:15,8
2026-08-06 13:30:00,74.48,74.42,74.53,74.41,10187.93,75870163.4336,2026-08-06,13:30,9
2026-08-06 13:45:00,74.43,74.36,74.46,74.32,13724.07,102084413.7433,2026-08-06,13:45,10
2026-08-06 14:00:00,74.36,74.4,74.41,74.33,9216.0,68535171.6211,2026-08-06,14:00,11
2026-08-06 14:15:00,74.4,74.8,74.82,74.34,16978.26,126633988.3052,2026-08-06,14:15,12
2026-08-06 14:30:00,74.8,74.55,74.84,74.5,15375.0,114777523.875,2026-08-06,14:30,13
2026-08-06 14:45:00,74.54,74.46,74.56,74.41,17004.83,126636316.459,2026-08-06,14:45,14
2026-08-06 15:00:00,74.46,74.48,74.5,74.36,26871.26,199998500.8229,2026-08-06,15:00,15
2026-08-07 09:45:00,75.0,74.66,75.2,74.33,64469.05,481477330.7331,2026-08-07,09:45,0
