date,vol_09:45,amt_09:45,vol_10:00,amt_10:00,vol_10:15,amt_10:15,vol_10:30,amt_10:30,vol_10:45,amt_10:45,vol_11:00,amt_11:00,vol_11:15,amt_11:15,vol_11:30,amt_11:30,vol_13:15,amt_13:15,vol_13:30,amt_13:30,vol_13:45,amt_13:45,vol_14:00,amt_14:00,vol_14:15,amt_14:15,vol_14:30,amt_14:30,vol_14:45,amt_14:45,vol_15:00,amt_15:00,day_vol,day_amt_wan,open_price,close_price
2026-08-05,92838,70650.0,66374,50054.8,31474,23757.3,21660,16425.7,15640,11840.3,12945,9780.3,13872,10475.0,14099,10647.2,33553,25280.3,22039,16605.0,17945,13524.0,18070,13613.3,16775,12636.0,13322,10039.9,13996,10553.6,28671,21629.4,433273,327512.1,76.89,75.5
2026-08-06,55591,41871.0,52451,39312.5,34754,25969.5,43007,32075.4,29497,21973.9,26511,19720.5,17162,12789.1,18903,14101.3,18847,14041.5,10188,7587.0,13724,10208.4,9216,6853.5,16978,12663.4,15375,11477.8,17005,12663.6,26871,19999.9,406081,303308.2,75.51,74.48
2026-08-07,64469,48147.7,43105,32095.7,19478,14451.7,26703,19783.3,14415,10678.2,12734,9453.2,31002,23140.7,20991,15714.7,13454,10056.6,13250,9923.8,9198,6879.7,19151,14342.6,20984,15751.8,18565,13948.2,14654,10991.5,18318,13750.9,360471,269110.2,75.0,75.11
2026-08-10,92796,70260.0,64327,48958.8,40596,30996.1,29537,22566.7,27037,20635.0,14887,11349.2,21180,16096.5,12552,9573.4,33764,25833.4,14524,11108.7,11602,8864.5,11224,8576.5,18385,14012.5,16120,12266.1,17204,13094.1,24775,18872.5,450511,343064.0,75.32,76.19
2026-08-11,63261,47969.4,23088,17480.7,18708,14203.4,20883,15796.3,38409,28949.3,21352,16062.0,13146,9887.7,6748,5087.3,13719,10347.9,9337,7041.1,11511,8662.6,14241,10709.1,11775,8849.6,22012,16526.2,14395,10807.5,34029,25528.1,336615,253908.5,76.16,75.0
2026-08-12,70943,53463.9,35660,26911.2,18941,14275.1,10428,7847.4,13789,10353.5,19481,14617.6,13904,10413.4,7681,5755.2,12304,9212.5,8889,6673.5,8889,6671.5,29969,22629.3,23733,17960.6,12447,9389.0,9611,7247.1,16207,12205.5,312877,235626.3,74.76,75.28
2026-08-13,36115,27137.2,36113,27174.9,12505,9412.3,13185,9922.3,42487,32135.8,45306,34399.4,16834,12759.2,10242,7765.1,14826,11221.4,8363,6329.9,6677,5052.3,9732,7372.3,10343,7820.3,12838,9694.8,22731,17101.4,26823,20158.4,325120,245457.0,75.0,75.12
2026-08-14,60820,45423.6,31131,23175.4,28788,21411.9,36687,27208.7,25538,18912.4,31728,23478.8,13141,9717.7,9633,7124.4,17761,13122.8,10204,7536.2,22021,16246.9,11112,8194.1,12927,9533.0,10038,7406.8,15890,11721.7,22815,16823.3,360233,267037.8,75.01,73.75
2026-08-17,106284,76852.4,56376,40631.4,19571,14139.2,16621,11993.8,13131,9469.6,14454,10413.6,13981,10084.1,8287,5990.8,12285,8865.7,7691,5557.5,7531,5445.7,7811,5649.7,10103,7319.5,7575,5490.7,10469,7589.1,19977,14491.0,332149,239983.5,72.39,72.55
2026-08-18,32516,23577.4,22007,15924.0,12192,8813.4,13135,9521.2,10564,7639.0,8541,6172.8,6668,4817.4,12557,9065.0,8043,5809.4,11896,8616.7,12855,9329.1,6681,4842.9,6973,5049.9,5973,4329.9,6973,5054.1,15107,10956.7,192681,139518.8,72.41,72.56
2026-08-19,36741,26577.4,23832,17180.7,24216,17433.3,17723,12750.6,8991,6473.4,6144,4423.2,6780,4887.6,6195,4471.0,10203,7355.9,12766,9192.8,8666,6236.8,10080,7253.3,12922,9293.9,9817,7059.4,23677,17015.0,18447,13262.3,237201,170866.6,72.56,71.89
2026-08-20,37837,27340.8,20360,14723.1,12278,8856.5,11993,8638.8,7106,5119.5,6239,4492.3,4628,3335.1,3845,2770.0,8727,6302.8,5190,3744.6,6986,5036.4,5624,4054.2,6735,4853.6,5951,4291.8,6431,4638.7,10405,7501.9,160334,115699.9,71.91,72.09
2026-08-21,33969,24321.0,21149,15110.8,25935,18478.5,18782,13371.6,9992,7115.5,7444,5305.1,4447,3171.9,3678,2623.3,6313,4499.8,5159,3673.6,4745,3380.0,8240,5868.6,5685,4048.1,15852,11282.1,8721,6209.0,16987,12090.9,197098,140549.9,71.96,71.19
2026-08-24,42824,30541.2,16393,11709.1,12924,9208.0,17004,12165.7,11381,8144.7,10370,7409.8,13724,9825.7,7906,5650.3,10071,7193.3,9163,6550.9,8366,5979.8,10980,7840.8,9740,6960.7,9195,6574.7,10224,7303.6,12310,8793.9,212574,151852.2,71.2,71.48
2026-08-25,35019,25065.4,23019,16413.8,13605,9702.1,10476,7471.9,8853,6318.2,5053,3606.6,5077,3623.2,4945,3530.1,8901,6350.4,5867,4190.5,8228,5882.4,6212,4443.5,9374,6701.9,10429,7454.2,9493,6785.4,15752,11257.7,180303,128797.4,71.5,71.52
