五粮液 异动预警  数据区间 2026-08-03 ~ 2026-08-31  共102条

[2026-08-31] [高] 跳变            10:00  同槽较前日+122.3% (16,990->37,765手)
[2026-08-31] [中] 跳变            10:30  同槽较前日+63.2% (8,259->13,482手)
[2026-08-31] [中] 跳变            11:00  同槽较前日-61.7% (16,484->6,309手)
[2026-08-31] [中] 跳变            11:15  同槽较前日-65.3% (15,328->5,320手)
[2026-08-31] [中] 跳变            14:15  同槽较前日+54.5% (8,499->13,130手)
[2026-08-28] [中] 跳变            10:00  同槽较前日-57.4% (39,862->16,990手)
[2026-08-28] [中] 跳变            10:15  同槽较前日-54.6% (36,649->16,622手)
[2026-08-28] [中] 跳变            11:00  同槽较前日+56.5% (10,531->16,484手)
[2026-08-28] [中] 跳变            11:15  同槽较前日+79.9% (8,521->15,328手)
[2026-08-28] [中] 跳变            14:00  同槽较前日-54.1% (17,418->7,998手)
[2026-08-28] [中] 跳变            14:15  同槽较前日-58.2% (20,345->8,499手)
[2026-08-27] [中] 跳变            10:00  同槽较前日+50.5% (26,490->39,862手)
[2026-08-27] [高] 跳变            10:15  同槽较前日+146.4% (14,874->36,649手)
[2026-08-27] [高] 跳变            10:30  同槽较前日+101.2% (7,647->15,390手)
[2026-08-27] [中] 跳变            13:15  同槽较前日+71.9% (9,053->15,558手)
[2026-08-27] [高] 跳变            13:30  同槽较前日+187.4% (4,001->11,499手)
[2026-08-27] [高] 跳变            13:45  同槽较前日+273.0% (3,305->12,329手)
[2026-08-27] [高] 跳变            14:00  同槽较前日+299.7% (4,358->17,418手)
[2026-08-27] [高] 跳变            14:15  同槽较前日+273.9% (5,442->20,345手)
[2026-08-27] [高] 跳变            14:30  同槽较前日+164.0% (7,085->18,707手)
[2026-08-27] [高] 跳变            14:45  同槽较前日+161.3% (8,284->21,642手)
[2026-08-27] [高] 跳变            15:00  同槽较前日+133.5% (13,141->30,690手)
[2026-08-26] [中] 跳变            11:00  同槽较前日+73.5% (5,053->8,766手)
[2026-08-26] [高] 跳变            11:15  同槽较前日+194.3% (5,077->14,940手)
[2026-08-26] [中] 跳变            13:45  同槽较前日-59.8% (8,228->3,305手)
[2026-08-26] [中] 量价背离             全天  价涨1.3%但量比仅0.67
