date,vol_09:45,amt_09:45,vol_10:00,amt_10:00,vol_10:15,amt_10:15,vol_10:30,amt_10:30,vol_10:45,amt_10:45,vol_11:00,amt_11:00,vol_11:15,amt_11:15,vol_11:30,amt_11:30,vol_13:15,amt_13:15,vol_13:30,amt_13:30,vol_13:45,amt_13:45,vol_14:00,amt_14:00,vol_14:15,amt_14:15,vol_14:30,amt_14:30,vol_14:45,amt_14:45,vol_15:00,amt_15:00,day_vol,day_amt_wan,open_price,close_price
2026-08-07,34916,11680.1,12881,4309.5,25117,8372.6,18159,6035.0,11528,3828.2,14910,4953.7,8781,2927.5,7524,2513.5,9112,3033.6,8239,2743.8,10977,3652.3,8194,2728.5,10229,3405.4,9908,3300.4,9791,3260.0,19571,6517.3,219837,73261.5,33.68,33.3
2026-08-10,34946,11696.7,27111,9139.1,23579,7973.5,19531,6616.5,11746,3983.1,13847,4699.9,11600,3936.5,17641,5999.8,7725,2624.1,6898,2342.2,7595,2579.5,5862,1992.3,11494,3894.1,7493,2533.8,12491,4221.7,12818,4330.6,232378,78563.5,33.22,33.8
2026-08-11,21209,7176.8,11599,3930.0,11671,3962.7,12033,4070.0,14113,4758.4,14937,5021.5,11924,4002.6,6852,2302.8,6808,2292.9,5799,1955.3,6221,2095.2,4164,1402.1,8132,2733.9,7070,2375.3,7889,2649.2,10989,3689.2,161410,54418.1,33.8,33.59
2026-08-12,21868,7322.6,18917,6309.3,15470,5153.3,5023,1673.6,8137,2710.3,10729,3572.2,9971,3315.4,19459,6462.5,20133,6665.7,6084,2018.5,5865,1945.7,9929,3302.0,6706,2232.2,6921,2303.6,6700,2228.6,15907,5286.7,187819,62502.3,33.55,33.23
2026-08-13,21835,7230.3,12695,4203.6,14248,4709.2,8438,2788.1,5835,1930.2,7800,2582.0,8118,2681.6,4609,1525.2,7342,2425.3,4182,1381.8,4760,1572.9,6468,2137.4,4802,1585.9,4805,1587.3,20487,6760.1,13171,4341.6,149596,49442.6,33.25,32.96
2026-08-14,25218,8267.4,12635,4155.7,12813,4203.8,8815,2888.3,14580,4767.6,4236,1385.7,4092,1339.4,2792,914.7,4775,1562.5,4872,1596.6,4291,1406.7,6995,2289.7,6175,2020.4,5657,1852.0,7181,2351.5,11465,3755.2,136592,44757.1,32.9,32.74
2026-08-17,26131,8511.8,16893,5493.5,10855,3534.7,13042,4236.8,7795,2530.6,11269,3656.0,9819,3186.8,4866,1581.7,14143,4587.9,8833,2865.0,5473,1776.2,6448,2094.8,10971,3562.5,10630,3451.0,13932,4523.2,14369,4672.7,185469,60265.4,32.72,32.52
2026-08-18,30482,9890.3,11001,3564.1,18456,5962.6,12719,4128.0,7688,2493.7,6295,2041.6,4215,1365.7,4737,1533.3,33766,11008.8,13292,4334.2,13253,4326.9,14083,4600.1,11760,3834.3,9131,2978.8,14272,4655.5,25089,8208.5,230239,74926.4,32.5,32.7
2026-08-19,31207,10224.0,13253,4326.2,10570,3448.7,7608,2481.2,17452,5720.3,12304,4038.1,20616,6778.5,5538,1817.6,14174,4649.4,10021,3281.8,6910,2261.0,8340,2729.9,11274,3688.8,12105,3964.9,13565,4440.6,17586,5761.9,212523,69612.8,32.7,32.78
2026-08-20,48173,15917.5,20096,6642.5,15496,5094.1,11049,3624.4,5559,1822.5,6555,2146.3,5619,1846.3,3465,1137.2,3570,1172.1,3643,1195.5,5176,1696.8,5375,1765.7,5220,1714.3,9331,3069.3,8221,2706.2,10834,3558.9,167383,55109.7,32.77,32.84
2026-08-21,18651,6091.1,13916,4529.7,12060,3920.9,7574,2465.3,5269,1717.8,2566,836.1,2790,909.4,2347,764.0,8167,2655.2,2835,921.8,3106,1010.2,5264,1711.4,5496,1786.7,5122,1665.1,8293,2695.8,14511,4716.6,117968,38396.9,32.75,32.5
2026-08-24,26047,8510.4,12486,4086.9,8524,2789.5,25508,8384.0,9118,3000.5,6964,2289.7,6588,2166.4,5716,1878.4,18654,6147.9,11585,3827.0,7550,2493.6,9611,3170.2,7766,2563.2,21083,6971.8,8710,2877.1,13944,4597.3,199853,65753.9,32.46,32.94
2026-08-25,21171,6999.3,16571,5473.7,10860,3586.8,8384,2765.8,10008,3309.6,4774,1575.4,4628,1526.8,5538,1825.8,13038,4286.3,12273,4029.6,5114,1679.8,3869,1272.1,5100,1677.2,6022,1981.5,8979,2956.5,10356,3407.3,146685,48353.4,33.04,32.92
2026-08-26,18739,6184.0,28263,9386.4,13030,4326.4,28236,9398.9,16371,5463.7,12339,4103.1,10170,3387.3,5271,1755.0,27078,9052.1,22119,7410.7,14966,5023.7,6321,2118.1,6961,2334.0,14004,4700.0,13268,4458.5,13742,4616.8,250877,83718.6,32.87,33.58
2026-08-27,18662,6257.0,10830,3622.8,14591,4862.6,13681,4545.9,14172,4696.5,7151,2370.7,7199,2389.2,4988,1656.6,5778,1919.8,7156,2384.2,6068,2025.6,3646,1216.2,4918,1641.0,5282,1760.1,6975,2328.4,9817,3278.2,140914,46954.8,33.51,33.41
