顺丰控股 异动预警  数据区间 2026-08-24 ~ 2026-09-21  共149条

[2026-09-21] [中] 跳变            09:45  同槽较前日-98.9% (20,663->223手)
[2026-09-21] [中] 跳变            10:00  同槽较前日-99.3% (12,334->83手)
[2026-09-21] [中] 跳变            10:15  同槽较前日-99.2% (10,256->81手)
[2026-09-21] [中] 跳变            10:30  同槽较前日-99.3% (5,939->44手)
[2026-09-21] [中] 跳变            10:45  同槽较前日-99.7% (10,943->37手)
[2026-09-21] [中] 跳变            11:00  同槽较前日-99.6% (7,188->28手)
[2026-09-21] [中] 跳变            11:15  同槽较前日-98.7% (5,270->70手)
[2026-09-21] [中] 跳变            11:30  同槽较前日-97.6% (2,610->62手)
[2026-09-21] [中] 跳变            13:15  同槽较前日-98.5% (7,319->109手)
[2026-09-21] [中] 跳变            13:30  同槽较前日-99.3% (6,274->45手)
[2026-09-21] [中] 跳变            13:45  同槽较前日-98.9% (4,732->53手)
[2026-09-21] [中] 跳变            14:00  同槽较前日-99.6% (8,761->36手)
[2026-09-21] [中] 跳变            14:15  同槽较前日-99.6% (8,085->36手)
[2026-09-21] [中] 跳变            14:30  同槽较前日-99.3% (6,599->45手)
[2026-09-21] [中] 跳变            14:45  同槽较前日-97.2% (4,856->137手)
[2026-09-21] [中] 跳变            15:00  同槽较前日-99.4% (15,482->91手)
[2026-09-18] [中] 跳变            10:30  同槽较前日-52.5% (12,495->5,939手)
[2026-09-18] [中] 跳变            11:15  同槽较前日-50.2% (10,592->5,270手)
[2026-09-18] [中] 跳变            11:30  同槽较前日-70.8% (8,945->2,610手)
[2026-09-18] [高] 跳变            14:00  同槽较前日+116.5% (4,047->8,761手)
[2026-09-18] [中] 跳变            14:45  同槽较前日-69.0% (15,688->4,856手)
[2026-09-17] [中] 跳变            10:00  同槽较前日-60.6% (32,307->12,739手)
[2026-09-17] [中] 跳变            10:45  同槽较前日-55.5% (18,372->8,183手)
[2026-09-17] [高] 跳变            11:15  同槽较前日+105.5% (5,155->10,592手)
[2026-09-17] [中] 跳变            13:15  同槽较前日-57.0% (11,402->4,897手)
[2026-09-17] [中] 跳变            14:00  同槽较前日-70.4% (13,654->4,047手)
[2026-09-17] [中] 跳变            14:45  同槽较前日+78.1% (8,808->15,688手)
