date,vol_09:45,amt_09:45,vol_10:00,amt_10:00,vol_10:15,amt_10:15,vol_10:30,amt_10:30,vol_10:45,amt_10:45,vol_11:00,amt_11:00,vol_11:15,amt_11:15,vol_11:30,amt_11:30,vol_13:15,amt_13:15,vol_13:30,amt_13:30,vol_13:45,amt_13:45,vol_14:00,amt_14:00,vol_14:15,amt_14:15,vol_14:30,amt_14:30,vol_14:45,amt_14:45,vol_15:00,amt_15:00,day_vol,day_amt_wan,open_price,close_price
2026-08-26,85973,53820.1,25383,15861.7,18976,11841.1,8933,5573.5,10520,6554.5,12615,7825.9,7783,4818.7,6210,3850.4,11382,7044.3,9743,6041.1,6183,3844.4,5707,3549.2,5830,3619.2,7590,4696.7,10276,6360.6,16669,10320.1,249773,155621.6,61.39,61.9
2026-08-27,20075,12411.5,12250,7549.8,9232,5684.3,6083,3748.9,5477,3378.0,6232,3847.5,4786,2954.4,10879,6738.6,6169,3811.9,4517,2787.8,3768,2326.6,3504,2165.8,4398,2720.4,5617,3477.5,16609,10313.5,15117,9390.5,134713,83306.9,61.6,62.12
2026-08-28,24370,15187.3,11103,6932.6,9345,5821.1,7764,4821.9,5636,3500.1,6894,4288.4,4058,2524.4,3098,1925.4,5822,3611.9,4949,3069.0,5872,3641.9,5173,3214.1,4158,2582.7,12692,7902.7,15820,9863.2,18672,11591.3,145427,90478.0,62.12,62.05
2026-08-31,43324,26471.5,20857,12600.8,13961,8457.7,13806,8448.0,6228,3804.3,8056,4892.8,4194,2553.2,3985,2433.9,10671,6543.5,9302,5735.1,7423,4577.6,7060,4340.3,9099,5601.0,13185,8153.4,11741,7258.2,19349,11974.0,202240,123845.3,62.0,61.87
2026-09-01,42584,26234.0,16510,10111.6,20087,12382.6,9730,5985.8,11793,7259.2,10956,6740.3,18192,11265.6,9326,5739.7,17002,10404.1,11118,6793.1,11417,6966.7,6475,3955.5,6038,3687.4,7191,4386.8,10701,6536.1,14537,8868.2,223657,137316.6,61.78,60.95
2026-09-02,34392,20704.8,14107,8512.9,11552,6953.9,7665,4617.2,6625,3989.0,5081,3058.8,5953,3583.7,6686,4037.8,4242,2556.3,4172,2517.4,4411,2664.7,3667,2213.7,4418,2666.0,6014,3624.6,8812,5312.8,16033,9641.3,143830,86654.9,60.88,60.0
2026-09-03,26897,16292.2,13728,8340.2,6167,3730.8,4278,2585.3,4515,2725.6,3184,1922.5,3345,2022.2,2639,1595.0,7408,4463.0,5636,3388.7,4607,2778.6,3544,2137.7,6799,4116.8,4788,2895.8,7113,4294.5,12799,7705.0,117448,70993.8,60.0,60.15
2026-09-04,33227,19993.0,13901,8355.4,12588,7568.8,16038,9604.0,13807,8256.5,9750,5826.5,6143,3672.3,4467,2670.8,6126,3667.8,5754,3448.4,8417,5028.1,6043,3611.0,5860,3499.6,11420,6808.4,20512,12184.1,14742,8736.8,188795,112931.7,60.51,59.31
2026-09-07,22397,13315.6,11608,6917.5,8660,5158.6,8795,5225.3,8998,5359.0,9830,5830.4,7718,4562.2,5729,3383.4,15139,8925.4,9502,5593.2,7970,4710.8,8135,4798.0,8494,5001.3,8690,5114.5,7693,4531.4,15242,8979.9,164600,97406.3,59.28,58.9
2026-09-08,24849,14543.5,27062,15781.1,10065,5879.3,10341,6032.5,9632,5621.0,17842,10384.9,6549,3810.4,12108,7036.2,38004,22001.3,9572,5539.9,13289,7676.5,22879,13191.7,25733,14783.0,21740,12459.3,18716,10729.2,33068,18927.4,301450,174397.0,58.61,57.15
2026-09-09,67995,38159.3,23102,12949.9,14538,8148.2,9404,5276.3,14410,8077.6,30260,16914.8,9029,5041.9,12247,6832.7,23066,12825.5,19452,10792.7,17540,9716.9,12591,6999.1,13341,7435.1,11061,6169.7,19359,10815.2,21768,12178.8,319165,178333.8,57.1,55.92
2026-09-10,30578,16881.6,39587,21751.5,29347,16016.1,13273,7251.6,8704,4761.8,7731,4225.6,11804,6442.1,6105,3332.7,12628,6918.2,8352,4569.0,9902,5408.4,6400,3494.6,10438,5693.8,16125,8788.2,16594,9042.1,20974,11428.2,248543,136005.5,55.55,54.46
2026-09-11,34446,18581.8,16971,9171.4,16595,8977.9,17886,9632.4,19793,10638.1,15339,8255.3,11346,6141.2,11965,6490.3,12534,6802.4,7687,4166.4,7266,3937.1,19765,10695.0,13598,7320.1,17288,9288.9,21320,11417.9,39130,20937.0,282930,152453.1,53.97,53.52
2026-09-14,27668,14720.4,13951,7450.2,13080,7011.7,15388,8300.6,5322,2866.5,5872,3158.3,3799,2040.1,3385,1818.3,4886,2620.4,3139,1684.9,3700,1987.6,3958,2125.2,5926,3176.5,4245,2274.4,5678,3047.5,11807,6341.4,131804,70624.0,53.09,53.66
2026-09-15,80673,42268.4,54104,28177.9,61160,31666.1,24457,12698.8,19246,10019.1,24197,12518.7,13603,7029.1,28365,14623.8,26321,13581.1,17888,9243.2,15522,8027.3,17085,8827.5,16140,8329.5,15718,8106.3,16888,8703.5,26035,13428.5,457403,237248.5,53.5,51.55
2026-09-16,52356,26761.1,44301,22473.5,89250,44787.0,28316,14194.3,20807,10494.2,21951,11145.0,23962,12236.5,25672,13194.1,24494,12590.1,16036,8234.4,13600,6987.5,16170,8326.6,10789,5544.1,10503,5396.4,19159,9845.7,28478,14648.3,445843,226859.0,51.3,51.44
2026-09-17,52397,26793.7,26422,13495.1,25698,13048.1,14156,7211.5,36450,18769.1,16477,8475.1,7348,3777.6,6599,3390.8,15817,8143.1,14803,7630.3,7626,3928.6,9005,4623.3,8642,4432.8,8351,4288.4,13748,7063.0,36214,18658.3,299751,153728.8,51.0,51.59
