datetime,open,close,high,low,volume,amount,date,time_str,slot_idx
2026-08-13 09:45:00,152.8,152.29,152.97,151.2,19738.97,299997789.2116,2026-08-13,09:45,0
2026-08-13 10:00:00,152.4,153.37,153.95,151.9,9791.0,149782728.8252,2026-08-13,10:00,1
2026-08-13 10:15:00,153.39,152.59,153.78,152.53,4069.0,62301913.8721,2026-08-13,10:15,2
2026-08-13 10:30:00,152.55,152.9,153.29,152.39,3244.77,49576700.8271,2026-08-13,10:30,3
2026-08-13 10:45:00,152.93,154.68,154.73,152.88,7402.0,114037078.6689,2026-08-13,10:45,4
2026-08-13 11:00:00,154.68,154.26,155.09,154.22,5557.0,85938803.0977,2026-08-13,11:00,5
2026-08-13 11:15:00,154.26,154.37,154.63,153.84,2684.0,41400823.2871,2026-08-13,11:15,6
2026-08-13 11:30:00,154.49,154.66,154.9,154.39,3583.0,55435944.1855,2026-08-13,11:30,7
2026-08-13 13:15:00,154.8,155.12,155.6,154.56,5926.0,91924127.2317,2026-08-13,13:15,8
2026-08-13 13:30:00,155.1,154.93,155.74,154.71,4429.06,68768776.3594,2026-08-13,13:30,9
2026-08-13 13:45:00,154.9,155.07,155.12,154.51,3568.27,55226530.3286,2026-08-13,13:45,10
2026-08-13 14:00:00,155.01,154.84,155.27,154.8,3449.49,53488633.2373,2026-08-13,14:00,11
2026-08-13 14:15:00,154.86,154.75,155.01,154.59,3519.0,54462026.207,2026-08-13,14:15,12
2026-08-13 14:30:00,154.75,154.47,154.98,154.3,3674.0,56832382.9736,2026-08-13,14:30,13
2026-08-13 14:45:00,154.45,153.4,154.5,153.05,5683.0,87323549.9248,2026-08-13,14:45,14
2026-08-13 15:00:00,153.39,153.39,153.43,153.0,5390.93,82584806.0973,2026-08-13,15:00,15
2026-08-14 09:45:00,153.45,153.5,153.96,152.15,10181.99,155720998.0781,2026-08-14,09:45,0
2026-08-14 10:00:00,153.49,153.6,154.47,153.06,6960.0,107126117.1446,2026-08-14,10:00,1
2026-08-14 10:15:00,153.67,152.98,153.79,152.95,4559.0,69936776.0586,2026-08-14,10:15,2
2026-08-14 10:30:00,152.96,152.4,153.59,152.39,3029.53,46276989.5142,2026-08-14,10:30,3
2026-08-14 10:45:00,152.38,152.11,152.45,151.65,6072.0,92319385.2109,2026-08-14,10:45,4
2026-08-14 11:00:00,152.15,151.22,152.2,151.0,4755.0,72057708.7432,2026-08-14,11:00,5
2026-08-14 11:15:00,151.23,151.28,151.5,151.02,2523.0,38165861.1904,2026-08-14,11:15,6
2026-08-14 11:30:00,151.28,151.26,151.44,151.0,2903.0,43866272.8604,2026-08-14,11:30,7
2026-08-14 13:15:00,151.27,150.77,151.39,150.57,3312.0,49975637.9629,2026-08-14,13:15,8
2026-08-14 13:30:00,150.77,150.7,150.83,150.52,2264.98,34129455.5744,2026-08-14,13:30,9
2026-08-14 13:45:00,150.68,150.28,150.71,150.28,4097.0,61643890.0898,2026-08-14,13:45,10
2026-08-14 14:00:00,150.27,150.58,150.62,150.13,2523.0,37930420.1445,2026-08-14,14:00,11
2026-08-14 14:15:00,150.56,150.61,150.65,150.39,2259.03,33993945.4026,2026-08-14,14:15,12
2026-08-14 14:30:00,150.61,150.47,150.67,150.38,2471.97,37205013.9271,2026-08-14,14:30,13
2026-08-14 14:45:00,150.47,150.38,150.57,150.31,2888.6,43448462.1495,2026-08-14,14:45,14
2026-08-14 15:00:00,150.36,150.47,150.62,150.3,4478.09,67361614.2771,2026-08-14,15:00,15
2026-08-17 09:45:00,149.96,148.21,150.02,147.39,21240.57,314774879.4687,2026-08-17,09:45,0
2026-08-17 10:00:00,148.28,149.52,149.8,147.5,8953.0,132836275.2281,2026-08-17,10:00,1
2026-08-17 10:15:00,149.51,149.64,150.1,149.16,5587.0,83609898.0508,2026-08-17,10:15,2
2026-08-17 10:30:00,149.56,149.35,149.86,148.89,2722.0,40644995.999,2026-08-17,10:30,3
2026-08-17 10:45:00,149.34,149.14,149.48,148.84,2432.04,36273605.2813,2026-08-17,10:45,4
