date,vol_09:45,amt_09:45,vol_10:00,amt_10:00,vol_10:15,amt_10:15,vol_10:30,amt_10:30,vol_10:45,amt_10:45,vol_11:00,amt_11:00,vol_11:15,amt_11:15,vol_11:30,amt_11:30,vol_13:15,amt_13:15,vol_13:30,amt_13:30,vol_13:45,amt_13:45,vol_14:00,amt_14:00,vol_14:15,amt_14:15,vol_14:30,amt_14:30,vol_14:45,amt_14:45,vol_15:00,amt_15:00,day_vol,day_amt_wan,open_price,close_price
2026-08-24,14570,22630.1,9073,14099.9,8761,13697.9,6437,10096.2,12530,19805.4,6920,10930.8,6577,10391.2,8239,13022.6,5072,8027.7,8100,12842.0,3914,6187.6,5403,8550.8,6584,10449.8,5396,8565.7,3902,6185.2,7517,11922.0,118995,187405.0,154.0,158.68
2026-08-25,14863,23593.0,24307,39082.1,8903,14316.0,4721,7578.0,9764,15763.9,4456,7159.6,2719,4374.9,6402,10344.5,3585,5778.6,3188,5143.0,4211,6802.2,4653,7532.1,3869,6256.5,3993,6445.6,5655,9143.8,14256,23116.6,119545,192430.3,158.47,162.12
2026-08-26,18693,30345.6,11179,18220.6,5247,8543.4,6233,10108.4,4997,8087.9,5219,8425.1,2445,3956.4,2550,4125.5,2733,4415.7,2368,3819.5,1408,2274.8,1696,2736.9,4289,6906.7,2883,4639.6,3249,5227.8,6181,9955.7,81372,131789.8,161.5,161.05
2026-08-27,9548,15398.7,4167,6710.8,3253,5227.9,3469,5575.5,4380,7036.7,2813,4527.2,2512,4046.3,1554,2502.5,3385,5451.2,4211,6802.4,2226,3601.9,5433,8817.0,2664,4319.5,1631,2640.3,2604,4216.6,4575,7408.7,58425,94283.2,160.3,162.03
2026-08-28,6910,11193.1,4000,6474.8,4429,7192.6,3057,4958.1,3797,6174.7,1988,3233.5,6565,10720.0,8568,14074.7,3216,5261.2,3272,5351.6,1874,3068.1,1996,3265.0,2086,3412.4,3260,5341.6,4121,6760.1,8272,13572.2,67411,110053.7,161.38,164.3
2026-08-31,59600,100615.8,20754,34859.1,12168,20347.0,8577,14264.8,9137,15325.5,7015,11812.2,4684,7864.5,4149,6965.5,7009,11750.9,5545,9282.0,4271,7129.7,4594,7641.8,6074,10078.5,4681,7774.2,5469,9078.8,13653,22608.7,177380,297399.1,168.0,165.35
2026-09-01,23671,39587.8,34473,58490.3,17685,30236.4,12423,21284.7,7193,12321.1,4773,8138.6,4232,7207.2,4065,6927.3,9001,15236.9,5230,8819.5,4306,7269.8,3934,6648.3,3228,5444.0,4398,7413.2,6188,10452.5,7958,13461.6,152758,258939.2,165.4,169.08
2026-09-02,16158,27033.5,7011,11745.1,6090,10217.8,7927,13383.0,4756,8039.7,3056,5153.2,2749,4627.1,3000,5041.2,6860,11577.7,2862,4816.9,2869,4823.3,3422,5751.1,3396,5705.3,4998,8409.5,3606,6062.5,6167,10363.4,84926,142750.3,168.36,167.92
2026-09-03,10512,17632.1,4525,7636.8,3481,5875.0,3578,6043.9,2852,4810.5,2914,4929.4,2562,4334.0,3200,5397.2,2358,3977.1,2770,4672.9,6277,10609.2,6301,10662.5,6049,10190.8,5377,9032.7,3983,6690.6,4448,7460.9,71187,119955.6,167.89,167.67
2026-09-04,14840,24856.8,10141,17095.4,9342,15873.4,4418,7504.2,4640,7873.1,3084,5241.1,9029,15406.0,4841,8270.6,6793,11636.2,5959,10213.1,3560,6077.8,2927,4991.3,3207,5462.0,3859,6565.3,6294,10698.7,7616,12950.4,100549,170715.5,167.01,169.91
2026-09-07,22256,37589.9,8062,13697.1,5481,9277.2,5050,8509.9,3869,6532.5,4163,7022.1,2540,4283.0,2594,4379.2,4028,6799.6,2175,3675.1,3059,5185.6,1796,3043.9,2555,4338.8,2682,4555.4,3469,5889.5,5613,9513.5,79391,134292.2,170.0,169.2
2026-09-08,10752,17993.3,5119,8583.2,4893,8182.4,5227,8712.3,3785,6319.1,1562,2606.2,2740,4561.7,1667,2783.4,7323,12313.0,5648,9552.3,4377,7419.3,3950,6711.7,2230,3788.5,2458,4174.3,5442,9264.8,5114,8712.6,72287,121678.0,168.0,169.95
2026-09-09,19196,31970.7,11072,18292.7,11880,19517.1,7615,12488.4,7893,12912.2,3186,5233.8,2663,4367.2,2031,3328.1,8116,13328.5,5252,8668.1,6372,10545.4,5790,9608.5,4364,7241.5,4014,6654.5,5547,9178.9,8146,13469.9,113138,186805.5,169.35,165.2
2026-09-10,12119,19956.7,4419,7261.4,3784,6233.3,3525,5820.9,3505,5795.0,2897,4796.0,5878,9763.8,5055,8427.8,3742,6226.3,1874,3117.1,2661,4415.1,3136,5194.1,2330,3858.4,2212,3664.6,3004,4982.7,4877,8079.1,65017,107592.2,165.97,165.7
2026-09-11,10813,17685.0,6359,10366.0,4650,7592.4,4725,7709.4,3859,6287.6,3588,5856.1,2177,3560.1,2566,4199.6,3359,5495.0,3400,5540.8,3395,5533.0,3620,5899.8,2581,4203.1,4882,7941.3,5688,9234.1,7570,12292.4,73232,119395.6,165.2,162.73
