datetime,open,close,high,low,volume,amount,date,time_str,slot_idx
2026-08-03 09:45:00,43.49,42.54,43.49,42.44,92695.01,397533536.4738,2026-08-03,09:45,0
2026-08-03 10:00:00,42.53,42.99,43.0,42.35,50839.0,216925501.127,2026-08-03,10:00,1
2026-08-03 10:15:00,42.98,43.02,43.1,42.82,31840.59,136746727.8779,2026-08-03,10:15,2
2026-08-03 10:30:00,43.03,43.03,43.46,42.94,28593.0,123528010.1025,2026-08-03,10:30,3
2026-08-03 10:45:00,43.03,43.09,43.25,42.95,15612.0,67273027.8701,2026-08-03,10:45,4
2026-08-03 11:00:00,43.08,42.92,43.1,42.86,20678.0,88874958.0186,2026-08-03,11:00,5
2026-08-03 11:15:00,42.99,42.8,43.05,42.72,15653.0,67126609.0791,2026-08-03,11:15,6
2026-08-03 11:30:00,42.82,42.79,42.86,42.64,17076.0,72956020.5889,2026-08-03,11:30,7
2026-08-03 13:15:00,42.8,42.75,42.9,42.5,18480.57,78940659.7715,2026-08-03,13:15,8
2026-08-03 13:30:00,42.75,42.34,42.75,42.19,44365.0,187989326.0605,2026-08-03,13:30,9
2026-08-03 13:45:00,42.36,42.58,42.64,42.28,16540.0,70147987.2061,2026-08-03,13:45,10
2026-08-03 14:00:00,42.58,42.62,42.79,42.56,12791.0,54592673.9443,2026-08-03,14:00,11
2026-08-03 14:15:00,42.61,42.73,42.74,42.54,8417.13,35871196.342,2026-08-03,14:15,12
2026-08-03 14:30:00,42.73,42.9,43.05,42.65,21310.0,91384382.0068,2026-08-03,14:30,13
2026-08-03 14:45:00,42.9,42.91,42.95,42.83,17446.0,74843895.8984,2026-08-03,14:45,14
2026-08-03 15:00:00,42.92,42.99,43.07,42.91,28876.0,124196242.3809,2026-08-03,15:00,15
2026-08-04 09:45:00,42.99,42.72,43.23,42.61,66665.58,286375527.7947,2026-08-04,09:45,0
2026-08-04 10:00:00,42.71,42.71,43.02,42.65,41380.0,177005581.202,2026-08-04,10:00,1
2026-08-04 10:15:00,42.71,42.86,43.05,42.51,32806.0,140263633.8369,2026-08-04,10:15,2
2026-08-04 10:30:00,42.85,42.86,43.06,42.7,28795.0,123518509.249,2026-08-04,10:30,3
2026-08-04 10:45:00,42.85,43.0,43.0,42.73,18529.0,79365007.1582,2026-08-04,10:45,4
