date,vol_09:45,amt_09:45,vol_10:00,amt_10:00,vol_10:15,amt_10:15,vol_10:30,amt_10:30,vol_10:45,amt_10:45,vol_11:00,amt_11:00,vol_11:15,amt_11:15,vol_11:30,amt_11:30,vol_13:15,amt_13:15,vol_13:30,amt_13:30,vol_13:45,amt_13:45,vol_14:00,amt_14:00,vol_14:15,amt_14:15,vol_14:30,amt_14:30,vol_14:45,amt_14:45,vol_15:00,amt_15:00,day_vol,day_amt_wan,open_price,close_price
2026-07-30,99217,42960.4,41251,17843.5,38725,16604.5,27187,11579.9,17638,7547.7,27571,11694.8,16220,6863.8,23914,10055.1,26270,11021.4,14329,6062.8,8761,3708.3,10427,4411.5,12434,5255.6,10044,4262.6,13753,5826.3,20966,8841.7,408707,174539.8,43.06,42.14
2026-07-31,121035,52313.1,65443,28374.3,80526,35273.0,41370,18107.4,14215,6210.1,18633,8080.9,35038,15058.3,20236,8673.7,24976,10819.1,30081,13103.4,13746,5963.2,8704,3763.9,11431,4947.9,19028,8246.6,18356,7963.4,28836,12478.0,551653,239376.1,43.14,43.28
2026-08-03,92695,39753.4,50839,21692.6,31841,13674.7,28593,12352.8,15612,6727.3,20678,8887.5,15653,6712.7,17076,7295.6,18481,7894.1,44365,18798.9,16540,7014.8,12791,5459.3,8417,3587.1,21310,9138.4,17446,7484.4,28876,12419.6,441212,188893.1,43.49,42.99
2026-08-04,66666,28637.6,41380,17700.6,32806,14026.4,28795,12351.9,18529,7936.5,31507,13577.0,13947,6009.0,10623,4579.9,57495,24977.2,18568,8048.7,29416,12809.9,51181,22449.6,37710,16610.4,27094,11888.4,24607,10781.4,43299,19023.0,533623,231407.4,42.99,44.0
2026-08-05,195186,87216.9,98977,44958.1,51321,23328.9,60637,27665.2,39781,18223.8,25757,11783.6,20282,9291.3,16643,7625.6,94532,43665.5,36561,16988.5,36548,17013.1,37272,17420.6,39167,18252.9,29101,13528.6,30274,14134.0,49656,23143.5,861695,394240.0,44.55,46.63
2026-08-06,236844,112034.6,74912,35251.8,37605,17742.2,32324,15314.7,66712,31262.3,64969,30309.1,33563,15625.4,42634,19729.4,34944,16128.8,29643,13587.4,20064,9208.0,19027,8786.7,13054,6029.8,14842,6851.7,23913,11032.2,34187,15790.7,779235,364684.7,47.75,46.25
2026-08-07,225161,106473.9,157039,75362.6,69032,33414.1,114478,56324.2,64190,31785.6,41631,20427.5,26601,13095.8,16118,7930.7,32328,15966.5,20859,10312.9,20193,9991.2,22398,11077.3,31494,15587.1,27800,13681.3,29116,14376.8,56886,28172.7,955324,463980.2,46.81,49.58
2026-08-10,215365,104856.7,91502,44640.0,72834,35176.8,38240,18415.3,26782,12908.3,42478,20401.0,17375,8348.3,15862,7604.2,30497,14640.6,15480,7411.6,29783,14376.8,34287,16639.7,35714,17396.6,29138,14210.6,22245,10843.4,36038,17560.9,753619,365430.9,49.0,48.74
2026-08-11,180479,88880.0,81110,39859.4,85660,41369.3,43482,20930.7,46827,22459.9,21942,10586.4,14468,6983.9,11358,5491.3,27074,12986.1,41706,19878.8,81867,38591.9,54231,25429.9,50546,23660.6,53349,24809.7,59360,27445.7,59155,27354.3,912616,436718.0,48.83,46.2
2026-08-12,119571,55454.2,51321,23964.3,50146,23566.5,33282,15507.0,31635,14684.3,19626,9186.6,15243,7135.9,9989,4672.2,15389,7182.7,14913,6917.5,13174,6107.7,22826,10568.3,9383,4345.2,10839,5024.8,14979,6952.8,29130,13522.4,461447,214792.3,45.88,46.47
