江西铜业 异动预警  数据区间 2026-07-30 ~ 2026-08-27  共146条

[2026-08-27] [中] 跳变            10:00  同槽较前日-53.2% (337,158->157,795手)
[2026-08-27] [中] 跳变            10:15  同槽较前日+56.3% (54,651->85,401手)
[2026-08-27] [高] 跳变            10:30  同槽较前日+749.6% (10,789->91,668手)
[2026-08-27] [高] 跳变            10:45  同槽较前日+1575.6% (5,877->98,477手)
[2026-08-27] [高] 跳变            11:00  同槽较前日+316.7% (9,203->38,347手)
[2026-08-27] [高] 跳变            11:15  同槽较前日+494.5% (5,210->30,972手)
[2026-08-27] [高] 跳变            11:30  同槽较前日+535.8% (4,452->28,305手)
[2026-08-27] [高] 跳变            13:15  同槽较前日+285.9% (12,734->49,141手)
[2026-08-27] [高] 跳变            13:45  同槽较前日+396.4% (7,831->38,873手)
[2026-08-27] [高] 跳变            14:00  同槽较前日+368.5% (5,677->26,594手)
[2026-08-27] [中] 跳变            14:30  同槽较前日+90.7% (16,510->31,490手)
[2026-08-27] [高] 跳变            14:45  同槽较前日+373.9% (10,744->50,918手)
[2026-08-27] [高] 跳变            15:00  同槽较前日+265.8% (18,741->68,562手)
[2026-08-26] [高] 跳变            09:45  同槽较前日+196.4% (112,873->334,556手)
[2026-08-26] [高] 跳变            10:00  同槽较前日+325.6% (79,223->337,158手)
[2026-08-26] [中] 跳变            10:30  同槽较前日-52.7% (22,825->10,789手)
[2026-08-26] [中] 跳变            10:45  同槽较前日-86.1% (42,228->5,877手)
[2026-08-26] [中] 跳变            11:00  同槽较前日-76.1% (38,513->9,203手)
[2026-08-26] [中] 跳变            11:15  同槽较前日-67.1% (15,851->5,210手)
[2026-08-26] [中] 跳变            11:30  同槽较前日-62.7% (11,921->4,452手)
[2026-08-26] [中] 跳变            13:45  同槽较前日-79.0% (37,350->7,831手)
[2026-08-26] [中] 跳变            14:00  同槽较前日-63.4% (15,507->5,677手)
[2026-08-26] [高] 跳变            14:15  同槽较前日+102.4% (10,531->21,311手)
[2026-08-25] [中] 跳变            10:30  同槽较前日-64.1% (63,588->22,825手)
[2026-08-25] [中] 跳变            13:45  同槽较前日+73.0% (21,588->37,350手)
[2026-08-25] [中] 跳变            14:15  同槽较前日-56.1% (23,970->10,531手)
[2026-08-25] [中] 跳变            14:30  同槽较前日-60.1% (33,315->13,303手)
[2026-08-24] [高] 跳变            09:45  同槽较前日+106.0% (81,648->168,165手)
[2026-08-24] [中] 跳变            10:00  同槽较前日+63.6% (39,914->65,288手)
[2026-08-24] [高] 跳变            10:15  同槽较前日+132.1% (22,810->52,943手)
[2026-08-24] [中] 跳变            10:45  同槽较前日+50.5% (27,440->41,304手)
[2026-08-24] [中] 跳变            13:30  同槽较前日+50.7% (14,002->21,105手)
[2026-08-24] [中] 跳变            13:45  同槽较前日+78.1% (12,124->21,588手)
[2026-08-21] [中] 跳变            09:45  同槽较前日-51.9% (169,675->81,648手)
[2026-08-21] [中] 跳变            10:15  同槽较前日-58.3% (54,754->22,810手)
[2026-08-21] [高] 跳变            11:00  同槽较前日+105.0% (12,201->25,011手)
[2026-08-21] [中] 跳变            14:15  同槽较前日+56.4% (14,912->23,326手)
[2026-08-21] [中] 跳变            14:30  同槽较前日+55.5% (14,977->23,283手)
