date,vol_09:45,amt_09:45,vol_10:00,amt_10:00,vol_10:15,amt_10:15,vol_10:30,amt_10:30,vol_10:45,amt_10:45,vol_11:00,amt_11:00,vol_11:15,amt_11:15,vol_11:30,amt_11:30,vol_13:15,amt_13:15,vol_13:30,amt_13:30,vol_13:45,amt_13:45,vol_14:00,amt_14:00,vol_14:15,amt_14:15,vol_14:30,amt_14:30,vol_14:45,amt_14:45,vol_15:00,amt_15:00,day_vol,day_amt_wan,open_price,close_price
2026-08-03,55235,3474.3,39748,2509.4,33144,2093.6,27605,1747.3,27289,1730.1,36955,2355.9,21319,1359.0,21183,1350.0,32438,2067.1,18751,1189.7,28753,1816.7,26234,1654.4,31844,2021.5,32263,2054.3,20364,1294.0,20724,1314.3,473849,30031.6,6.3,6.34
2026-08-04,60587,3812.8,33490,2083.8,21758,1357.5,32852,2041.6,18277,1134.3,13820,857.8,27885,1727.1,34782,2144.4,23693,1464.6,19138,1185.9,19169,1185.2,27593,1701.2,15473,953.7,23746,1462.2,28796,1769.5,34501,2117.5,435560,26999.0,6.36,6.13
2026-08-05,71727,4379.9,30879,1880.7,34929,2139.4,15232,934.1,21097,1292.4,12005,733.4,19048,1162.7,9638,588.8,15871,966.9,14880,906.8,23584,1437.7,6676,406.8,11005,670.3,7616,464.2,17780,1082.8,25374,1543.4,337341,20590.3,6.14,6.07
2026-08-06,40317,2444.3,21402,1293.6,30555,1837.1,26164,1569.3,20692,1242.9,20962,1257.2,21053,1269.4,8430,509.5,19759,1195.2,11588,700.5,13112,792.9,8526,516.4,11190,679.7,16431,999.5,16561,1004.0,14888,901.8,301630,18213.2,6.11,6.06
2026-08-07,31066,1870.1,20986,1265.7,19571,1178.7,12931,778.1,17159,1032.6,13490,814.4,11700,708.0,13729,831.4,13309,803.0,19066,1152.5,9744,589.9,10159,615.5,14459,875.8,11758,713.4,15943,965.4,17122,1036.2,252192,15230.7,6.05,6.05
2026-08-10,46183,2800.7,30702,1875.4,19784,1214.9,19768,1215.5,13037,803.1,12643,778.8,12541,771.9,17571,1083.4,13058,802.6,9047,556.3,10837,667.0,8734,537.8,9480,582.7,16930,1036.5,22250,1361.3,25634,1567.3,288199,17655.4,6.06,6.11
2026-08-11,39224,2411.4,21588,1330.3,17451,1077.6,11906,731.2,14266,875.0,12937,791.7,4629,283.6,4548,278.8,5574,341.5,6360,389.8,5445,333.1,5771,353.2,7350,449.5,10685,652.4,11379,694.4,16980,1036.3,196093,12029.7,6.1,6.09
2026-08-12,27829,1695.3,20781,1262.0,14860,901.4,8808,535.0,11193,679.2,15406,932.4,5890,356.7,5858,355.1,15283,927.4,7953,483.0,9423,572.5,9224,561.7,12424,756.6,9203,559.6,11332,689.0,18503,1125.7,203970,12392.6,6.12,6.07
2026-08-13,26522,1605.8,19573,1186.3,14794,894.9,8605,520.3,12419,753.6,7934,482.1,5030,304.8,8528,516.2,11647,703.7,21793,1313.6,13136,789.8,9153,550.1,13961,837.5,9415,566.0,14423,865.7,19399,1163.6,216332,13054.0,6.08,5.99
2026-08-14,29675,1768.9,16231,968.1,13396,798.3,9031,538.4,8947,532.2,5241,311.8,8160,486.0,6450,384.2,2787,166.0,7440,443.0,7324,435.1,3803,226.1,9687,576.0,7668,456.6,28579,1700.9,42205,2500.3,206624,12292.0,6.0,5.91
