海澜之家 异动预警  数据区间 2026-07-29 ~ 2026-08-26  共87条

[2026-08-26] [中] 跳变            10:30  同槽较前日-58.5% (15,260->6,332手)
[2026-08-26] [中] 跳变            11:15  同槽较前日-53.2% (10,095->4,726手)
[2026-08-26] [中] 跳变            13:15  同槽较前日-62.8% (19,746->7,346手)
[2026-08-26] [中] 跳变            14:00  同槽较前日+73.0% (7,197->12,451手)
[2026-08-26] [中] 跳变            14:45  同槽较前日+89.3% (12,310->23,297手)
[2026-08-25] [中] 跳变            11:00  同槽较前日-50.5% (17,249->8,530手)
[2026-08-25] [中] 跳变            13:15  同槽较前日+68.6% (11,711->19,746手)
[2026-08-25] [高] 跳变            14:30  同槽较前日+217.2% (5,937->18,830手)
[2026-08-24] [高] 跳变            09:45  同槽较前日+108.6% (22,974->47,921手)
[2026-08-24] [高] 跳变            10:45  同槽较前日+150.3% (4,347->10,882手)
[2026-08-24] [中] 跳变            11:00  同槽较前日+90.4% (9,060->17,249手)
[2026-08-24] [中] 跳变            11:30  同槽较前日+67.0% (6,919->11,557手)
[2026-08-24] [中] 量价背离             全天  价涨1.5%但量比仅0.88
[2026-08-21] [中] 跳变            10:45  同槽较前日-68.7% (13,885->4,347手)
[2026-08-21] [中] 跳变            11:30  同槽较前日-52.9% (14,688->6,919手)
[2026-08-21] [中] 跳变            13:15  同槽较前日+68.3% (10,375->17,459手)
[2026-08-20] [中] 跳变            10:15  同槽较前日+67.9% (12,876->21,623手)
[2026-08-20] [中] 跳变            14:45  同槽较前日-53.8% (36,573->16,883手)
[2026-08-19] [中] 跳变            10:30  同槽较前日+98.6% (11,059->21,965手)
[2026-08-19] [中] 跳变            13:45  同槽较前日-55.0% (16,233->7,309手)
[2026-08-19] [中] 跳变            14:15  同槽较前日+70.6% (12,354->21,070手)
[2026-08-19] [中] 跳变            14:45  同槽较前日+70.7% (21,423->36,573手)
[2026-08-19] [高] 跳变            15:00  同槽较前日+103.0% (17,879->36,303手)
[2026-08-18] [中] 跳变            10:00  同槽较前日+56.2% (20,983->32,778手)
[2026-08-18] [中] 跳变            14:00  同槽较前日+51.3% (9,640->14,581手)
[2026-08-18] [中] 跳变            14:30  同槽较前日+56.2% (12,393->19,356手)
[2026-08-17] [中] 跳变            10:30  同槽较前日+79.6% (9,031->16,223手)
[2026-08-17] [中] 跳变            10:45  同槽较前日+56.4% (8,947->13,991手)
[2026-08-17] [中] 跳变            11:00  同槽较前日+88.9% (5,241->9,900手)
[2026-08-17] [高] 跳变            11:30  同槽较前日+149.2% (6,450->16,071手)
[2026-08-17] [高] 跳变            13:15  同槽较前日+479.2% (2,787->16,139手)
[2026-08-17] [中] 跳变            13:30  同槽较前日+59.3% (7,440->11,855手)
[2026-08-17] [中] 跳变            13:45  同槽较前日+92.0% (7,324->14,060手)
[2026-08-17] [高] 跳变            14:00  同槽较前日+153.5% (3,803->9,640手)
[2026-08-17] [中] 跳变            14:30  同槽较前日+61.6% (7,668->12,393手)
[2026-08-17] [中] 跳变            15:00  同槽较前日-50.7% (42,205->20,812手)
[2026-08-14] [中] 跳变            11:15  同槽较前日+62.2% (5,030->8,160手)
[2026-08-14] [中] 跳变            13:15  同槽较前日-76.1% (11,647->2,787手)
[2026-08-14] [中] 跳变            13:30  同槽较前日-65.9% (21,793->7,440手)
[2026-08-14] [中] 跳变            14:00  同槽较前日-58.5% (9,153->3,803手)
[2026-08-14] [中] 跳变            14:45  同槽较前日+98.1% (14,423->28,579手)
[2026-08-14] [高] 跳变            15:00  同槽较前日+117.6% (19,399->42,205手)
[2026-08-13] [高] 跳变            13:30  同槽较前日+174.0% (7,953->21,793手)
[2026-08-12] [高] 跳变            13:15  同槽较前日+174.2% (5,574->15,283手)
[2026-08-12] [中] 跳变            13:45  同槽较前日+73.1% (5,445->9,423手)
[2026-08-12] [中] 跳变            14:00  同槽较前日+59.8% (5,771->9,224手)
[2026-08-12] [中] 跳变            14:15  同槽较前日+69.0% (7,350->12,424手)
[2026-08-11] [中] 跳变            11:15  同槽较前日-63.1% (12,541->4,629手)
[2026-08-11] [中] 跳变            11:30  同槽较前日-74.1% (17,571->4,548手)
[2026-08-11] [中] 跳变            13:15  同槽较前日-57.3% (13,058->5,574手)
[2026-08-10] [中] 跳变            10:30  同槽较前日+52.9% (12,931->19,768手)
[2026-08-10] [中] 跳变            13:30  同槽较前日-52.5% (19,066->9,047手)
[2026-08-07] [中] 跳变            10:30  同槽较前日-50.6% (26,164->12,931手)
[2026-08-07] [中] 跳变            11:30  同槽较前日+62.9% (8,430->13,729手)
[2026-08-07] [中] 跳变            13:30  同槽较前日+64.5% (11,588->19,066手)
[2026-08-06] [中] 跳变            10:30  同槽较前日+71.8% (15,232->26,164手)
[2026-08-06] [中] 跳变            11:00  同槽较前日+74.6% (12,005->20,962手)
[2026-08-06] [高] 跳变            14:30  同槽较前日+115.7% (7,616->16,431手)
[2026-08-05] [中] 跳变            10:15  同槽较前日+60.5% (21,758->34,929手)
[2026-08-05] [中] 跳变            10:30  同槽较前日-53.6% (32,852->15,232手)
[2026-08-05] [中] 跳变            11:30  同槽较前日-72.3% (34,782->9,638手)
[2026-08-05] [中] 跳变            14:00  同槽较前日-75.8% (27,593->6,676手)
[2026-08-05] [中] 跳变            14:30  同槽较前日-67.9% (23,746->7,616手)
[2026-08-05] [高] 量价背离             全天  价跌-1.1%但量比达1.13
[2026-08-04] [中] 跳变            11:00  同槽较前日-62.6% (36,955->13,820手)
[2026-08-04] [中] 跳变            11:30  同槽较前日+64.2% (21,183->34,782手)
[2026-08-04] [中] 跳变            14:15  同槽较前日-51.4% (31,844->15,473手)
[2026-08-04] [中] 跳变            15:00  同槽较前日+66.5% (20,724->34,501手)
[2026-08-04] [高] 量价背离             全天  价跌-3.6%但量比达1.45
[2026-08-03] [中] 跳变            10:30  同槽较前日+89.4% (14,576->27,605手)
[2026-08-03] [中] 跳变            10:45  同槽较前日+96.9% (13,862->27,289手)
[2026-08-03] [高] 跳变            11:00  同槽较前日+216.2% (11,688->36,955手)
[2026-08-03] [中] 跳变            11:15  同槽较前日+74.4% (12,223->21,319手)
[2026-08-03] [高] 跳变            11:30  同槽较前日+125.8% (9,382->21,183手)
[2026-08-03] [高] 跳变            13:15  同槽较前日+101.9% (16,065->32,438手)
[2026-08-03] [中] 跳变            13:45  同槽较前日+83.2% (15,695->28,753手)
[2026-08-03] [中] 跳变            14:00  同槽较前日+68.7% (15,554->26,234手)
[2026-08-03] [中] 跳变            14:30  同槽较前日+94.0% (16,628->32,263手)
[2026-08-03] [中] 跳变            15:00  同槽较前日-55.7% (46,740->20,724手)
