datetime,open,close,high,low,volume,amount,date,time_str,slot_idx
2026-08-27 09:45:00,21.02,21.05,21.2,20.96,49709.0,104750808.0815,2026-08-27,09:45,0
2026-08-27 10:00:00,21.05,21.09,21.12,21.03,20762.56,43730692.051,2026-08-27,10:00,1
2026-08-27 10:15:00,21.09,21.08,21.18,21.06,17936.0,37856323.0275,2026-08-27,10:15,2
2026-08-27 10:30:00,21.08,21.05,21.12,21.04,18934.99,39898822.9875,2026-08-27,10:30,3
2026-08-27 10:45:00,21.04,21.02,21.07,20.99,17076.0,35891301.1265,2026-08-27,10:45,4
2026-08-27 11:00:00,21.02,21.04,21.04,20.99,18425.66,38710029.0035,2026-08-27,11:00,5
2026-08-27 11:15:00,21.04,21.04,21.09,21.02,14013.0,29500745.9849,2026-08-27,11:15,6
2026-08-27 11:30:00,21.04,20.99,21.04,20.99,14097.0,29618110.0552,2026-08-27,11:30,7
2026-08-27 13:15:00,20.99,21.07,21.08,20.97,13280.0,27917885.1909,2026-08-27,13:15,8
2026-08-27 13:30:00,21.06,21.11,21.14,21.06,14299.68,30173998.4639,2026-08-27,13:30,9
2026-08-27 13:45:00,21.11,21.09,21.13,21.09,10041.0,21201406.1826,2026-08-27,13:45,10
2026-08-27 14:00:00,21.1,21.11,21.13,21.09,9149.33,19310150.3828,2026-08-27,14:00,11
2026-08-27 14:15:00,21.11,21.09,21.13,21.07,8643.0,18230173.0201,2026-08-27,14:15,12
2026-08-27 14:30:00,21.09,21.06,21.09,21.03,14968.0,31514619.0132,2026-08-27,14:30,13
2026-08-27 14:45:00,21.07,21.1,21.11,21.06,14038.94,29609909.5392,2026-08-27,14:45,14
2026-08-27 15:00:00,21.1,21.12,21.16,21.09,28308.1,59762617.5112,2026-08-27,15:00,15
2026-08-28 09:45:00,20.66,20.81,20.91,20.59,97609.29,202367973.8385,2026-08-28,09:45,0
2026-08-28 10:00:00,20.81,21.04,21.07,20.79,42698.35,89455913.7239,2026-08-28,10:00,1
2026-08-28 10:15:00,21.04,21.02,21.05,20.94,26188.82,55000167.6587,2026-08-28,10:15,2
2026-08-28 10:30:00,21.02,20.99,21.02,20.96,11792.18,24749350.1697,2026-08-28,10:30,3
2026-08-28 10:45:00,20.99,20.94,21.0,20.91,12277.82,25713514.2246,2026-08-28,10:45,4
2026-08-28 11:00:00,20.94,21.05,21.08,20.93,23882.0,50184610.0938,2026-08-28,11:00,5
2026-08-28 11:15:00,21.06,21.04,21.07,21.03,11841.0,24927819.0435,2026-08-28,11:15,6
2026-08-28 11:30:00,21.04,21.06,21.06,21.01,10726.03,22570990.2733,2026-08-28,11:30,7
2026-08-28 13:15:00,21.06,21.06,21.06,21.01,12523.0,26351760.0633,2026-08-28,13:15,8
2026-08-28 13:30:00,21.05,21.08,21.1,21.03,11248.0,23697280.0264,2026-08-28,13:30,9
2026-08-28 13:45:00,21.09,21.12,21.15,21.08,14999.0,31689109.8936,2026-08-28,13:45,10
2026-08-28 14:00:00,21.13,21.12,21.14,21.1,10687.8,22576338.3527,2026-08-28,14:00,11
2026-08-28 14:15:00,21.12,21.12,21.16,21.1,14567.0,30775969.0581,2026-08-28,14:15,12
2026-08-28 14:30:00,21.11,21.1,21.14,21.1,15030.0,31740748.1558,2026-08-28,14:30,13
2026-08-28 14:45:00,21.1,21.11,21.2,21.09,31630.0,66877521.4316,2026-08-28,14:45,14
2026-08-28 15:00:00,21.12,21.12,21.13,21.1,19687.88,41575208.2624,2026-08-28,15:00,15
2026-08-31 09:45:00,21.07,20.98,21.19,20.95,48367.0,101742129.1134,2026-08-31,09:45,0
2026-08-31 10:00:00,20.97,21.04,21.07,20.97,26029.66,54721206.4136,2026-08-31,10:00,1
2026-08-31 10:15:00,21.04,20.98,21.05,20.96,13444.0,28220814.9253,2026-08-31,10:15,2
2026-08-31 10:30:00,20.98,21.03,21.04,20.96,12149.0,25502283.9761,2026-08-31,10:30,3
2026-08-31 10:45:00,21.03,21.0,21.06,21.0,10894.0,22902892.1069,2026-08-31,10:45,4
2026-08-31 11:00:00,21.0,21.0,21.07,20.99,11688.0,24574517.9985,2026-08-31,11:00,5
2026-08-31 11:15:00,21.01,21.02,21.03,20.99,11780.0,24749375.0,2026-08-31,11:15,6
2026-08-31 11:30:00,21.02,21.02,21.03,20.99,8221.0,17275695.0,2026-08-31,11:30,7
2026-08-31 13:15:00,21.02,21.04,21.07,21.01,10268.0,21599481.2178,2026-08-31,13:15,8
2026-08-31 13:30:00,21.05,21.11,21.14,21.03,16670.0,35143414.0852,2026-08-31,13:30,9
2026-08-31 13:45:00,21.11,21.06,21.15,21.05,8218.0,17319509.8158,2026-08-31,13:45,10
2026-08-31 14:00:00,21.05,21.07,21.07,21.02,9551.0,20099665.0493,2026-08-31,14:00,11
2026-08-31 14:15:00,21.07,21.04,21.08,21.02,13943.0,29343482.1938,2026-08-31,14:15,12
2026-08-31 14:30:00,21.04,21.05,21.06,21.02,12734.0,26788101.3037,2026-08-31,14:30,13
2026-08-31 14:45:00,21.05,21.09,21.1,21.03,18374.76,38732996.0712,2026-08-31,14:45,14
2026-08-31 15:00:00,21.09,21.18,21.18,21.04,44774.0,94600335.1011,2026-08-31,15:00,15
2026-09-01 09:45:00,21.12,21.3,21.5,21.08,78298.1,167257126.5174,2026-09-01,09:45,0
2026-09-01 10:00:00,21.31,21.4,21.42,21.27,26035.14,55545468.0681,2026-09-01,10:00,1
2026-09-01 10:15:00,21.38,21.37,21.47,21.36,25750.0,55159039.9579,2026-09-01,10:15,2
2026-09-01 10:30:00,21.37,21.51,21.52,21.34,37092.57,79612402.4211,2026-09-01,10:30,3
2026-09-01 10:45:00,21.51,21.5,21.55,21.47,22161.0,47676638.208,2026-09-01,10:45,4
2026-09-01 11:00:00,21.49,21.52,21.53,21.48,15829.0,34042368.0,2026-09-01,11:00,5
2026-09-01 11:15:00,21.51,21.55,21.57,21.51,22602.19,48698511.7019,2026-09-01,11:15,6
2026-09-01 11:30:00,21.55,21.54,21.57,21.52,11178.0,24081196.167,2026-09-01,11:30,7
2026-09-01 13:15:00,21.53,21.5,21.54,21.49,12509.05,26907841.888,2026-09-01,13:15,8
2026-09-01 13:30:00,21.5,21.49,21.51,21.47,10454.34,22465251.9723,2026-09-01,13:30,9
2026-09-01 13:45:00,21.49,21.47,21.51,21.45,13034.0,28002765.5844,2026-09-01,13:45,10
2026-09-01 14:00:00,21.47,21.47,21.5,21.46,10816.0,23234591.9692,2026-09-01,14:00,11
2026-09-01 14:15:00,21.47,21.46,21.49,21.45,10939.0,23489120.8878,2026-09-01,14:15,12
2026-09-01 14:30:00,21.46,21.44,21.46,21.43,10961.34,23505601.6721,2026-09-01,14:30,13
2026-09-01 14:45:00,21.45,21.42,21.45,21.4,23450.0,50225925.0,2026-09-01,14:45,14
2026-09-01 15:00:00,21.43,21.42,21.45,21.39,19943.0,42719566.0,2026-09-01,15:00,15
2026-09-02 09:45:00,21.4,21.39,21.55,21.32,39181.1,83794765.896,2026-09-02,09:45,0
2026-09-02 10:00:00,21.36,21.3,21.39,21.3,36325.0,77492176.084,2026-09-02,10:00,1
2026-09-02 10:15:00,21.31,21.34,21.4,21.26,21209.0,45212807.978,2026-09-02,10:15,2
2026-09-02 10:30:00,21.35,21.31,21.42,21.31,8486.0,18128481.9771,2026-09-02,10:30,3
2026-09-02 10:45:00,21.31,21.28,21.33,21.26,8157.0,17371747.0645,2026-09-02,10:45,4
2026-09-02 11:00:00,21.29,21.33,21.35,21.28,5862.0,12495769.0347,2026-09-02,11:00,5
2026-09-02 11:15:00,21.34,21.34,21.34,21.27,6599.0,14064178.0049,2026-09-02,11:15,6
2026-09-02 11:30:00,21.34,21.32,21.35,21.28,8378.0,17860407.0156,2026-09-02,11:30,7
2026-09-02 13:15:00,21.33,21.41,21.41,21.3,8854.0,18912387.9395,2026-09-02,13:15,8
2026-09-02 13:30:00,21.41,21.38,21.42,21.37,9051.0,19368429.9575,2026-09-02,13:30,9
2026-09-02 13:45:00,21.38,21.35,21.39,21.35,8008.0,17115461.0317,2026-09-02,13:45,10
2026-09-02 14:00:00,21.35,21.33,21.37,21.33,8872.62,18940703.8521,2026-09-02,14:00,11
2026-09-02 14:15:00,21.33,21.37,21.37,21.3,9412.34,20086284.9138,2026-09-02,14:15,12
2026-09-02 14:30:00,21.36,21.32,21.37,21.31,8389.0,17905212.002,2026-09-02,14:30,13
2026-09-02 14:45:00,21.31,21.35,21.37,21.31,13709.0,29243038.0098,2026-09-02,14:45,14
2026-09-02 15:00:00,21.34,21.33,21.4,21.32,21399.67,45677898.4429,2026-09-02,15:00,15
2026-09-03 09:45:00,21.33,21.47,21.48,21.3,27181.0,58167041.896,2026-09-03,09:45,0
2026-09-03 10:00:00,21.47,21.72,21.73,21.46,55482.11,119962671.0567,2026-09-03,10:00,1
2026-09-03 10:15:00,21.72,21.69,21.75,21.57,23346.0,50582004.0005,2026-09-03,10:15,2
2026-09-03 10:30:00,21.68,21.73,21.75,21.64,28398.0,61625965.9956,2026-09-03,10:30,3
2026-09-03 10:45:00,21.74,21.81,21.86,21.71,49357.84,107563746.1638,2026-09-03,10:45,4
2026-09-03 11:00:00,21.81,21.88,21.91,21.76,40085.0,87630551.9431,2026-09-03,11:00,5
2026-09-03 11:15:00,21.88,21.9,21.95,21.8,27257.29,59714032.9596,2026-09-03,11:15,6
2026-09-03 11:30:00,21.9,21.86,21.93,21.81,17161.3,37535741.1235,2026-09-03,11:30,7
2026-09-03 13:15:00,21.87,21.86,21.9,21.8,24613.0,53844700.8791,2026-09-03,13:15,8
2026-09-03 13:30:00,21.87,21.83,21.9,21.8,16783.0,36667358.0562,2026-09-03,13:30,9
2026-09-03 13:45:00,21.82,21.82,21.84,21.79,13982.86,30500926.778,2026-09-03,13:45,10
2026-09-03 14:00:00,21.82,21.81,21.83,21.78,18438.0,40205343.0615,2026-09-03,14:00,11
2026-09-03 14:15:00,21.8,21.85,21.86,21.74,25243.47,55026362.7777,2026-09-03,14:15,12
2026-09-03 14:30:00,21.85,21.9,21.9,21.84,22596.34,49441088.972,2026-09-03,14:30,13
2026-09-03 14:45:00,21.9,21.86,21.91,21.8,38583.79,84391017.9256,2026-09-03,14:45,14
2026-09-03 15:00:00,21.86,21.82,21.87,21.8,26420.97,57689145.5441,2026-09-03,15:00,15
2026-09-04 09:45:00,21.8,21.75,21.89,21.66,53805.0,117092380.0125,2026-09-04,09:45,0
2026-09-04 10:00:00,21.75,21.76,21.85,21.72,31870.0,69404720.1626,2026-09-04,10:00,1
2026-09-04 10:15:00,21.76,21.73,21.79,21.69,22652.0,49236788.8198,2026-09-04,10:15,2
2026-09-04 10:30:00,21.73,21.85,21.87,21.69,23249.0,50637910.844,2026-09-04,10:30,3
2026-09-04 10:45:00,21.85,21.94,21.96,21.82,24557.0,53801924.0425,2026-09-04,10:45,4
2026-09-04 11:00:00,21.94,21.92,21.97,21.91,21483.0,47127749.7696,2026-09-04,11:00,5
2026-09-04 11:15:00,21.93,21.96,21.97,21.9,16304.0,35743696.9878,2026-09-04,11:15,6
2026-09-04 11:30:00,21.95,21.91,21.99,21.91,26588.92,58383736.994,2026-09-04,11:30,7
2026-09-04 13:15:00,21.91,21.96,21.99,21.85,21165.18,46418624.9092,2026-09-04,13:15,8
2026-09-04 13:30:00,21.97,22.03,22.06,21.95,31537.32,69403780.1053,2026-09-04,13:30,9
2026-09-04 13:45:00,22.02,22.08,22.1,21.96,30353.9,66918220.3239,2026-09-04,13:45,10
2026-09-04 14:00:00,22.09,22.11,22.15,22.08,34935.36,77274714.5791,2026-09-04,14:00,11
2026-09-04 14:15:00,22.11,22.07,22.13,22.04,23219.3,51272219.5076,2026-09-04,14:15,12
2026-09-04 14:30:00,22.08,22.04,22.09,22.04,21585.0,47623202.9492,2026-09-04,14:30,13
2026-09-04 14:45:00,22.05,22.0,22.06,21.99,30479.55,67077048.717,2026-09-04,14:45,14
2026-09-04 15:00:00,22.0,22.0,22.04,21.98,28109.52,61857508.5225,2026-09-04,15:00,15
2026-09-07 09:45:00,21.99,21.69,22.1,21.61,83841.0,182671741.605,2026-09-07,09:45,0
2026-09-07 10:00:00,21.68,21.55,21.69,21.54,39743.0,85890199.8584,2026-09-07,10:00,1
2026-09-07 10:15:00,21.55,21.54,21.62,21.53,21606.0,46605708.9753,2026-09-07,10:15,2
2026-09-07 10:30:00,21.54,21.52,21.59,21.46,30681.48,66028867.2417,2026-09-07,10:30,3
2026-09-07 10:45:00,21.52,21.54,21.6,21.5,15373.0,33136343.0649,2026-09-07,10:45,4
2026-09-07 11:00:00,21.55,21.51,21.56,21.48,16198.0,34839058.0186,2026-09-07,11:00,5
2026-09-07 11:15:00,21.5,21.58,21.59,21.47,15062.49,32429919.5283,2026-09-07,11:15,6
2026-09-07 11:30:00,21.57,21.55,21.59,21.52,7053.0,15203599.0552,2026-09-07,11:30,7
2026-09-07 13:15:00,21.55,21.47,21.56,21.47,19870.0,42745926.082,2026-09-07,13:15,8
2026-09-07 13:30:00,21.48,21.46,21.49,21.44,16056.0,34453121.853,2026-09-07,13:30,9
2026-09-07 13:45:00,21.45,21.52,21.53,21.44,14360.92,30850558.4061,2026-09-07,13:45,10
2026-09-07 14:00:00,21.52,21.57,21.6,21.52,16282.0,35112206.9785,2026-09-07,14:00,11
2026-09-07 14:15:00,21.58,21.59,21.61,21.56,13805.69,29802239.7617,2026-09-07,14:15,12
2026-09-07 14:30:00,21.59,21.58,21.62,21.55,11165.0,24105976.0293,2026-09-07,14:30,13
2026-09-07 14:45:00,21.58,21.61,21.62,21.56,21237.0,45880000.3199,2026-09-07,14:45,14
2026-09-07 15:00:00,21.62,21.61,21.64,21.59,22672.51,49011885.6217,2026-09-07,15:00,15
2026-09-08 09:45:00,21.52,21.53,21.63,21.42,38628.0,83094894.8105,2026-09-08,09:45,0
2026-09-08 10:00:00,21.55,21.52,21.59,21.5,14110.0,30386717.1646,2026-09-08,10:00,1
2026-09-08 10:15:00,21.52,21.47,21.53,21.45,14363.0,30843085.7266,2026-09-08,10:15,2
2026-09-08 10:30:00,21.47,21.41,21.5,21.4,17796.0,38167661.811,2026-09-08,10:30,3
2026-09-08 10:45:00,21.41,21.45,21.48,21.4,17270.88,37007975.857,2026-09-08,10:45,4
2026-09-08 11:00:00,21.45,21.46,21.54,21.42,11813.0,25363719.937,2026-09-08,11:00,5
2026-09-08 11:15:00,21.46,21.46,21.47,21.43,6300.0,13516223.8848,2026-09-08,11:15,6
