date,vol_09:45,amt_09:45,vol_10:00,amt_10:00,vol_10:15,amt_10:15,vol_10:30,amt_10:30,vol_10:45,amt_10:45,vol_11:00,amt_11:00,vol_11:15,amt_11:15,vol_11:30,amt_11:30,vol_13:15,amt_13:15,vol_13:30,amt_13:30,vol_13:45,amt_13:45,vol_14:00,amt_14:00,vol_14:15,amt_14:15,vol_14:30,amt_14:30,vol_14:45,amt_14:45,vol_15:00,amt_15:00,day_vol,day_amt_wan,open_price,close_price
2026-08-25,59474,12567.2,21864,4625.8,18155,3838.7,24847,5270.5,25863,5508.5,24145,5150.4,15339,3278.4,11989,2556.4,26193,5581.8,11779,2506.8,11194,2383.4,11310,2405.8,10532,2237.0,14235,3020.1,16937,3596.1,24989,5304.1,328845,69830.9,21.08,21.23
2026-08-26,29227,6218.4,28024,5995.5,22580,4844.6,13739,2938.2,19622,4186.3,14350,3052.3,12150,2582.0,10936,2319.6,11656,2474.0,5478,1163.7,6161,1310.8,6225,1324.2,8167,1735.8,15659,3320.5,11928,2526.1,25596,5416.0,241497,51408.1,21.21,21.15
2026-08-27,49709,10475.1,20763,4373.1,17936,3785.6,18935,3989.9,17076,3589.1,18426,3871.0,14013,2950.1,14097,2961.8,13280,2791.8,14300,3017.4,10041,2120.1,9149,1931.0,8643,1823.0,14968,3151.5,14039,2961.0,28308,5976.3,283682,59767.8,21.02,21.12
2026-08-28,97609,20236.8,42698,8945.6,26189,5500.0,11792,2474.9,12278,2571.4,23882,5018.5,11841,2492.8,10726,2257.1,12523,2635.2,11248,2369.7,14999,3168.9,10688,2257.6,14567,3077.6,15030,3174.1,31630,6687.8,19688,4157.5,367388,77025.4,20.66,21.12
2026-08-31,48367,10174.2,26030,5472.1,13444,2822.1,12149,2550.2,10894,2290.3,11688,2457.5,11780,2474.9,8221,1727.6,10268,2159.9,16670,3514.3,8218,1732.0,9551,2010.0,13943,2934.3,12734,2678.8,18375,3873.3,44774,9460.0,277105,58331.6,21.07,21.18
2026-09-01,78298,16725.7,26035,5554.5,25750,5515.9,37093,7961.2,22161,4767.7,15829,3404.2,22602,4869.9,11178,2408.1,12509,2690.8,10454,2246.5,13034,2800.3,10816,2323.5,10939,2348.9,10961,2350.6,23450,5022.6,19943,4272.0,351053,75262.3,21.12,21.42
2026-09-02,39181,8379.5,36325,7749.2,21209,4521.3,8486,1812.8,8157,1737.2,5862,1249.6,6599,1406.4,8378,1786.0,8854,1891.2,9051,1936.8,8008,1711.5,8873,1894.1,9412,2008.6,8389,1790.5,13709,2924.3,21400,4567.8,221893,47367.0,21.4,21.33
2026-09-03,27181,5816.7,55482,11996.3,23346,5058.2,28398,6162.6,49358,10756.4,40085,8763.1,27257,5971.4,17161,3753.6,24613,5384.5,16783,3666.7,13983,3050.1,18438,4020.5,25243,5502.6,22596,4944.1,38584,8439.1,26421,5768.9,454930,99054.8,21.33,21.82
2026-09-04,53805,11709.2,31870,6940.5,22652,4923.7,23249,5063.8,24557,5380.2,21483,4712.8,16304,3574.4,26589,5838.4,21165,4641.9,31537,6940.4,30354,6691.8,34935,7727.5,23219,5127.2,21585,4762.3,30480,6707.7,28110,6185.8,441894,96927.4,21.8,22.0
2026-09-07,83841,18267.2,39743,8589.0,21606,4660.6,30681,6602.9,15373,3313.6,16198,3483.9,15062,3243.0,7053,1520.4,19870,4274.6,16056,3445.3,14361,3085.1,16282,3511.2,13806,2980.2,11165,2410.6,21237,4588.0,22673,4901.2,365007,78876.7,21.99,21.61
2026-09-08,38628,8309.5,14110,3038.7,14363,3084.3,17796,3816.8,17271,3700.8,11813,2536.4,6300,1351.6,6015,1290.2,7780,1668.0,12815,2745.9,10848,2323.2,7795,1671.3,5443,1167.4,9179,1968.0,13688,2932.2,15094,3235.5,208938,44839.7,21.52,21.42
2026-09-09,40967,8705.9,16731,3562.6,8842,1883.3,8435,1797.0,5294,1127.6,7367,1567.1,5477,1166.7,6194,1320.1,7404,1579.2,8846,1886.2,11079,2359.1,10303,2196.7,17544,3740.1,9579,2043.5,17379,3715.6,17125,3656.4,198565,42307.0,21.42,21.3
