datetime,open,close,high,low,volume,amount,date,time_str,slot_idx
2026-08-19 09:45:00,4.91,4.8,4.93,4.78,328023.0,158799078.1298,2026-08-19,09:45,0
2026-08-19 10:00:00,4.8,4.81,4.81,4.78,132635.05,63552232.9604,2026-08-19,10:00,1
2026-08-19 10:15:00,4.8,4.77,4.82,4.77,112481.0,53923724.0244,2026-08-19,10:15,2
2026-08-19 10:30:00,4.77,4.78,4.79,4.76,98005.29,46760309.0961,2026-08-19,10:30,3
2026-08-19 10:45:00,4.77,4.79,4.8,4.77,43208.0,20666950.4007,2026-08-19,10:45,4
2026-08-19 11:00:00,4.78,4.77,4.79,4.77,30459.0,14551794.2983,2026-08-19,11:00,5
2026-08-19 11:15:00,4.77,4.75,4.78,4.75,73675.0,35067957.7483,2026-08-19,11:15,6
2026-08-19 11:30:00,4.75,4.74,4.76,4.73,59316.0,28112895.0253,2026-08-19,11:30,7
2026-08-19 13:15:00,4.74,4.74,4.77,4.73,49953.4,23727383.9747,2026-08-19,13:15,8
2026-08-19 13:30:00,4.74,4.74,4.75,4.73,44146.49,20911332.2155,2026-08-19,13:30,9
2026-08-19 13:45:00,4.73,4.73,4.74,4.72,51590.0,24403004.6831,2026-08-19,13:45,10
2026-08-19 14:00:00,4.72,4.73,4.73,4.72,32059.0,15149648.7019,2026-08-19,14:00,11
2026-08-19 14:15:00,4.73,4.79,4.79,4.71,100755.69,47926807.2238,2026-08-19,14:15,12
2026-08-19 14:30:00,4.78,4.79,4.79,4.77,36928.0,17648166.49,2026-08-19,14:30,13
2026-08-19 14:45:00,4.79,4.77,4.79,4.76,76342.0,36419325.7565,2026-08-19,14:45,14
2026-08-19 15:00:00,4.77,4.74,4.78,4.74,87779.5,41784516.6902,2026-08-19,15:00,15
2026-08-20 09:45:00,4.73,4.78,4.78,4.73,128121.49,60853827.415,2026-08-20,09:45,0
2026-08-20 10:00:00,4.77,4.74,4.78,4.74,52931.0,25196170.583,2026-08-20,10:00,1
2026-08-20 10:15:00,4.74,4.74,4.76,4.74,48016.0,22789687.5391,2026-08-20,10:15,2
2026-08-20 10:30:00,4.74,4.72,4.75,4.71,59349.0,28066784.3344,2026-08-20,10:30,3
2026-08-20 10:45:00,4.71,4.74,4.75,4.71,47477.0,22463940.2934,2026-08-20,10:45,4
2026-08-20 11:00:00,4.74,4.75,4.76,4.73,28725.0,13637418.832,2026-08-20,11:00,5
2026-08-20 11:15:00,4.75,4.74,4.75,4.73,17994.0,8531335.6112,2026-08-20,11:15,6
2026-08-20 11:30:00,4.73,4.73,4.74,4.73,10739.0,5083188.9032,2026-08-20,11:30,7
2026-08-20 13:15:00,4.74,4.73,4.74,4.73,16454.0,7791048.7914,2026-08-20,13:15,8
2026-08-20 13:30:00,4.73,4.73,4.74,4.73,21418.0,10134369.9075,2026-08-20,13:30,9
2026-08-20 13:45:00,4.73,4.72,4.74,4.71,49615.0,23425343.4018,2026-08-20,13:45,10
2026-08-20 14:00:00,4.72,4.72,4.74,4.72,22165.0,10481235.8706,2026-08-20,14:00,11
2026-08-20 14:15:00,4.73,4.73,4.74,4.72,20374.0,9628179.7682,2026-08-20,14:15,12
2026-08-20 14:30:00,4.73,4.74,4.75,4.73,29985.0,14205269.4531,2026-08-20,14:30,13
2026-08-20 14:45:00,4.75,4.74,4.76,4.74,39997.01,18987874.442,2026-08-20,14:45,14
2026-08-20 15:00:00,4.74,4.75,4.75,4.73,84484.0,40061811.6172,2026-08-20,15:00,15
2026-08-21 09:45:00,4.72,4.68,4.73,4.61,211328.0,98477047.5346,2026-08-21,09:45,0
2026-08-21 10:00:00,4.67,4.66,4.69,4.65,63688.0,29740410.7595,2026-08-21,10:00,1
2026-08-21 10:15:00,4.66,4.59,4.66,4.59,177426.0,82051467.7364,2026-08-21,10:15,2
2026-08-21 10:30:00,4.59,4.61,4.63,4.57,106656.86,49039035.5974,2026-08-21,10:30,3
2026-08-21 10:45:00,4.61,4.63,4.64,4.6,44315.74,20452739.38,2026-08-21,10:45,4
2026-08-21 11:00:00,4.63,4.62,4.64,4.61,21708.0,10034305.9647,2026-08-21,11:00,5
2026-08-21 11:15:00,4.63,4.6,4.63,4.6,21454.0,9898837.0,2026-08-21,11:15,6
2026-08-21 11:30:00,4.61,4.63,4.63,4.6,16863.56,7781126.6001,2026-08-21,11:30,7
2026-08-21 13:15:00,4.62,4.61,4.63,4.59,57741.0,26580309.8414,2026-08-21,13:15,8
2026-08-21 13:30:00,4.61,4.61,4.61,4.6,14139.0,6509109.0,2026-08-21,13:30,9
2026-08-21 13:45:00,4.6,4.61,4.62,4.6,20713.5,9547020.5,2026-08-21,13:45,10
2026-08-21 14:00:00,4.61,4.61,4.62,4.6,16091.0,7412186.0,2026-08-21,14:00,11
2026-08-21 14:15:00,4.6,4.61,4.62,4.6,30320.0,13963754.0,2026-08-21,14:15,12
2026-08-21 14:30:00,4.61,4.62,4.62,4.61,21002.0,9696140.0,2026-08-21,14:30,13
2026-08-21 14:45:00,4.62,4.61,4.62,4.61,37517.14,17311194.5663,2026-08-21,14:45,14
2026-08-21 15:00:00,4.61,4.61,4.62,4.6,87909.86,40489902.5867,2026-08-21,15:00,15
2026-08-24 09:45:00,4.95,4.79,5.06,4.78,937536.68,458169511.18,2026-08-24,09:45,0
