date,vol_09:45,amt_09:45,vol_10:00,amt_10:00,vol_10:15,amt_10:15,vol_10:30,amt_10:30,vol_10:45,amt_10:45,vol_11:00,amt_11:00,vol_11:15,amt_11:15,vol_11:30,amt_11:30,vol_13:15,amt_13:15,vol_13:30,amt_13:30,vol_13:45,amt_13:45,vol_14:00,amt_14:00,vol_14:15,amt_14:15,vol_14:30,amt_14:30,vol_14:45,amt_14:45,vol_15:00,amt_15:00,day_vol,day_amt_wan,open_price,close_price
2026-08-04,285556,14015.0,146215,7130.0,82822,4025.0,44431,2167.4,46606,2269.9,34831,1695.9,24799,1207.6,23903,1164.2,42115,2048.1,40771,1981.5,133774,6478.2,68941,3336.9,38213,1851.8,36626,1771.3,57644,2785.9,105650,5112.6,1212897,59041.2,4.92,4.85
2026-08-05,259806,12418.0,229872,10918.5,111268,5331.2,70647,3401.9,50342,2419.3,25460,1220.6,63464,3044.0,31268,1499.7,42094,2018.7,52548,2516.9,38776,1857.7,38258,1829.5,38741,1850.9,57237,2731.1,87608,4200.2,79963,3841.6,1277352,61100.0,4.85,4.8
2026-08-06,164112,7811.2,139838,6621.4,158247,7451.5,145890,6828.7,57769,2709.0,41333,1931.4,51403,2408.3,40146,1885.2,33694,1581.7,30430,1425.2,21037,986.8,46238,2178.3,64953,3076.5,36558,1732.9,41458,1960.9,79624,3766.2,1152732,54355.1,4.8,4.73
2026-08-07,140096,6554.7,96813,4513.8,74207,3469.2,45573,2124.5,43470,2028.7,35291,1649.8,46341,2169.1,39705,1865.5,31442,1474.5,46836,2196.5,36366,1705.2,41547,1947.7,42254,1979.3,48080,2254.1,95305,4478.7,125366,5902.7,988692,46313.9,4.7,4.72
2026-08-10,176437,8299.7,62441,2942.1,84450,3971.7,39834,1871.7,41070,1926.0,97226,4543.9,43732,2042.1,18450,863.4,23384,1096.9,14187,664.8,25697,1204.6,45111,2120.2,23414,1098.8,27753,1302.1,38879,1824.5,76233,3586.5,838298,39359.1,4.72,4.71
2026-08-11,161102,7590.7,1287689,64558.1,191353,9912.1,152001,7873.7,98143,5083.8,43212,2238.4,19773,1024.2,12139,628.8,29392,1522.5,29119,1508.4,38778,2008.7,18019,933.4,11755,608.9,24156,1251.3,35737,1851.2,31953,1655.2,2184321,110249.3,4.71,5.18
2026-08-12,1241748,64071.9,439747,22456.7,148825,7611.1,135820,6918.3,127404,6488.4,133476,6816.0,79095,4040.8,69194,3534.4,89065,4551.7,73907,3768.6,69359,3536.0,93198,4757.3,84025,4288.6,49225,2508.2,76719,3908.3,202550,10321.3,3113359,159577.5,5.18,5.1
2026-08-13,530629,27056.3,185781,9403.9,142541,7185.5,161261,8099.9,93477,4687.2,121027,6111.2,66386,3334.8,28617,1441.3,42534,2135.7,57761,2902.0,113504,5720.1,302366,15255.2,234610,11827.3,65831,3315.2,128508,6439.5,251773,12609.3,2526606,127524.4,5.11,5.01
2026-08-14,629568,30565.0,150576,7332.1,70273,3410.1,80892,3912.2,146144,7033.1,82752,3969.5,56029,2689.5,46665,2247.7,40878,1968.6,27391,1317.2,33492,1614.8,29546,1427.7,39761,1923.5,54763,2655.9,51921,2518.5,110125,5337.7,1650777,79922.9,4.99,4.85
2026-08-17,274339,13170.4,122078,5836.8,76347,3668.2,50580,2431.3,54496,2617.5,28488,1366.8,35563,1713.1,99711,4839.6,139717,6815.6,51800,2525.5,30325,1478.3,78483,3830.7,52947,2582.4,28998,1412.4,59374,2894.7,109667,5353.2,1292914,62536.7,4.81,4.89
