datetime,open,close,high,low,volume,amount,date,time_str,slot_idx
2026-07-31 09:45:00,57.14,56.66,57.57,56.32,484333.53,2756514318.9935,2026-07-31,09:45,0
2026-07-31 10:00:00,56.67,57.35,57.42,56.63,217096.54,1240627955.6169,2026-07-31,10:00,1
2026-07-31 10:15:00,57.34,56.92,57.38,56.89,99611.93,568371245.9265,2026-07-31,10:15,2
2026-07-31 10:30:00,56.92,56.76,57.0,56.62,77266.12,439066510.6324,2026-07-31,10:30,3
2026-07-31 10:45:00,56.76,56.83,56.95,56.35,68365.74,386709506.592,2026-07-31,10:45,4
2026-07-31 11:00:00,56.82,56.88,56.96,56.51,37813.77,214719950.4417,2026-07-31,11:00,5
2026-07-31 11:15:00,56.86,56.31,56.89,56.3,47456.0,268057197.7334,2026-07-31,11:15,6
2026-07-31 11:30:00,56.31,56.71,56.85,56.3,28887.0,163499379.9959,2026-07-31,11:30,7
2026-07-31 13:15:00,56.72,56.84,56.94,56.63,38252.11,217228173.4216,2026-07-31,13:15,8
2026-07-31 13:30:00,56.85,57.05,57.3,56.83,91894.46,525012972.7039,2026-07-31,13:30,9
2026-07-31 13:45:00,57.03,56.89,57.05,56.84,27260.0,155198253.3438,2026-07-31,13:45,10
2026-07-31 14:00:00,56.89,56.86,56.93,56.8,27747.0,157731068.8381,2026-07-31,14:00,11
2026-07-31 14:15:00,56.86,56.73,56.95,56.7,33389.52,189651712.3973,2026-07-31,14:15,12
2026-07-31 14:30:00,56.73,57.04,57.1,56.71,48411.64,275312659.9115,2026-07-31,14:30,13
2026-07-31 14:45:00,57.04,56.8,57.05,56.77,57598.23,327836679.7114,2026-07-31,14:45,14
2026-07-31 15:00:00,56.8,56.7,56.8,56.64,96449.13,546888960.7363,2026-07-31,15:00,15
2026-08-03 09:45:00,55.53,54.82,55.97,54.7,201243.49,1116121070.8539,2026-08-03,09:45,0
2026-08-03 10:00:00,54.82,55.08,55.32,54.64,114661.98,629882101.4425,2026-08-03,10:00,1
2026-08-03 10:15:00,55.09,55.37,55.44,54.91,52144.84,287835067.673,2026-08-03,10:15,2
2026-08-03 10:30:00,55.37,54.74,55.38,54.74,52537.9,289033340.4956,2026-08-03,10:30,3
2026-08-03 10:45:00,54.75,55.31,55.49,54.74,43996.0,242633857.0117,2026-08-03,10:45,4
2026-08-03 11:00:00,55.31,55.76,55.8,55.08,31551.36,174899027.123,2026-08-03,11:00,5
2026-08-03 11:15:00,55.77,55.94,56.28,55.75,78141.58,437798432.1517,2026-08-03,11:15,6
