date,vol_09:45,amt_09:45,vol_10:00,amt_10:00,vol_10:15,amt_10:15,vol_10:30,amt_10:30,vol_10:45,amt_10:45,vol_11:00,amt_11:00,vol_11:15,amt_11:15,vol_11:30,amt_11:30,vol_13:15,amt_13:15,vol_13:30,amt_13:30,vol_13:45,amt_13:45,vol_14:00,amt_14:00,vol_14:15,amt_14:15,vol_14:30,amt_14:30,vol_14:45,amt_14:45,vol_15:00,amt_15:00,day_vol,day_amt_wan,open_price,close_price
2026-08-07,302176,207136.7,155902,106522.9,74128,50811.2,86217,59175.2,130424,90214.5,56221,38734.1,124538,84928.8,60283,41080.4,70751,48469.8,62838,42932.6,58344,39905.7,64854,44302.4,74831,50914.2,109143,73854.0,72878,49551.7,106911,72889.6,1610439,1101423.8,68.27,68.18
2026-08-10,461885,323249.1,228058,160185.7,154104,106700.1,87118,60051.8,73096,50440.7,52712,36256.0,45765,31585.7,68005,46544.6,77594,52717.0,53453,36411.9,45554,31134.1,32948,22438.2,43425,29725.0,49413,33940.9,75471,51988.4,95578,66028.2,1644179,1139397.5,69.0,69.18
2026-08-11,364163,244211.0,198615,131612.2,158838,104912.8,60831,40751.7,54654,36723.1,44138,29727.3,39582,26614.4,35621,23853.8,37599,25130.2,37634,25092.3,28297,18892.2,29198,19436.6,36721,24386.7,49749,32999.0,76702,50705.5,105998,70061.1,1358341,905109.8,67.93,66.01
2026-08-12,251681,164901.6,117071,76804.5,88000,57414.0,80179,52739.7,45919,30307.4,47083,31025.1,107188,71214.5,49932,32984.8,82318,54110.9,84777,55284.0,45512,29704.1,37207,24247.9,45867,29851.7,42484,27691.5,73001,47855.9,103310,67801.3,1301531,853939.0,66.46,65.6
2026-08-13,341765,230790.2,172740,114917.8,92366,61661.3,65998,44221.3,57906,38551.6,51794,34339.9,69034,45623.9,42119,27794.8,88995,59403.2,69931,46678.8,77917,52083.3,51414,34045.9,38825,25688.0,56132,37034.3,96529,63336.5,95433,62354.4,1468897,978525.3,67.99,65.23
2026-08-14,174348,114075.6,111017,72267.5,55884,36358.9,51539,33645.6,130796,86150.0,47164,30955.9,31794,20831.3,28867,18930.0,32506,21276.1,30911,20186.3,40189,26416.6,58778,38757.3,46538,30709.9,80473,53295.8,61661,40725.8,89038,58891.4,1071503,703474.0,65.6,66.19
2026-08-17,408211,276805.1,188170,126218.3,83568,55879.9,50058,33474.1,43521,29066.3,61477,41292.3,67816,45630.0,33673,22600.4,114640,77707.9,124126,84494.4,60684,41235.1,113386,77410.6,52270,35665.1,56913,38765.7,56587,38509.5,100445,68518.9,1615543,1093273.4,67.0,68.23
2026-08-18,316799,212460.2,175786,117372.2,126680,84619.2,119792,79313.0,63833,42262.4,107694,70986.3,54091,35588.3,34149,22573.7,37781,24920.2,34527,22772.7,25854,17051.3,32707,21645.0,28658,18921.2,29231,19330.5,56423,37380.5,71810,47533.2,1315817,874730.0,67.7,66.2
2026-08-19,247522,158376.3,102843,65712.4,122042,77559.4,106836,67544.7,120145,75565.5,40694,25702.7,35401,22261.6,72737,45498.0,105568,65440.9,69997,43356.3,39412,24596.5,32593,20266.9,35996,22333.8,49070,30379.6,112246,69054.4,90170,55718.4,1383272,869367.3,64.1,61.83
2026-08-20,200136,125267.4,78112,48922.7,58409,36542.9,46547,28973.1,30675,19073.9,28554,17838.8,26473,16547.5,20108,12563.8,26312,16436.4,22366,13941.9,32655,20305.9,35886,22255.5,43416,26820.1,35918,22140.9,41146,25431.8,54433,33771.7,781145,486834.4,62.5,62.13
