datetime,open,close,high,low,volume,amount,date,time_str,slot_idx
2026-08-24 09:45:00,9.5,9.41,9.52,9.38,326689.0,308461098.5329,2026-08-24,09:45,0
2026-08-24 10:00:00,9.4,9.41,9.45,9.36,122873.99,115567442.8387,2026-08-24,10:00,1
2026-08-24 10:15:00,9.4,9.48,9.49,9.39,104445.04,98684683.3862,2026-08-24,10:15,2
2026-08-24 10:30:00,9.48,9.51,9.55,9.46,172822.94,164412208.6139,2026-08-24,10:30,3
2026-08-24 10:45:00,9.52,9.44,9.53,9.43,97870.14,92678345.8967,2026-08-24,10:45,4
2026-08-24 11:00:00,9.44,9.42,9.44,9.37,98879.0,93022125.7483,2026-08-24,11:00,5
2026-08-24 11:15:00,9.42,9.47,9.48,9.41,45679.01,43143138.1259,2026-08-24,11:15,6
2026-08-24 11:30:00,9.47,9.46,9.5,9.44,41724.0,39512414.4962,2026-08-24,11:30,7
2026-08-24 13:15:00,9.46,9.47,9.48,9.42,42696.0,40332014.7425,2026-08-24,13:15,8
2026-08-24 13:30:00,9.47,9.43,9.47,9.42,37514.0,35438641.7728,2026-08-24,13:30,9
2026-08-24 13:45:00,9.43,9.43,9.45,9.41,45428.0,42839980.4914,2026-08-24,13:45,10
2026-08-24 14:00:00,9.43,9.42,9.44,9.4,36073.0,33982843.0192,2026-08-24,14:00,11
2026-08-24 14:15:00,9.43,9.51,9.51,9.42,70725.5,66993947.2156,2026-08-24,14:15,12
2026-08-24 14:30:00,9.51,9.49,9.54,9.49,124751.0,118709978.347,2026-08-24,14:30,13
2026-08-24 14:45:00,9.5,9.48,9.5,9.47,97829.0,92780895.4789,2026-08-24,14:45,14
2026-08-24 15:00:00,9.48,9.5,9.51,9.47,115006.23,109201245.8755,2026-08-24,15:00,15
2026-08-25 09:45:00,9.42,9.37,9.48,9.37,241958.0,228068685.5595,2026-08-25,09:45,0
2026-08-25 10:00:00,9.37,9.31,9.41,9.3,192088.16,179676799.3483,2026-08-25,10:00,1
2026-08-25 10:15:00,9.3,9.32,9.36,9.27,126304.84,117581991.8795,2026-08-25,10:15,2
2026-08-25 10:30:00,9.32,9.36,9.38,9.3,62567.0,58436288.2879,2026-08-25,10:30,3
2026-08-25 10:45:00,9.36,9.29,9.36,9.29,70026.0,65227730.2773,2026-08-25,10:45,4
2026-08-25 11:00:00,9.3,9.25,9.3,9.22,134738.0,124731255.1058,2026-08-25,11:00,5
2026-08-25 11:15:00,9.25,9.28,9.3,9.24,35785.69,33201870.4467,2026-08-25,11:15,6
2026-08-25 11:30:00,9.29,9.28,9.3,9.26,29166.0,27076238.2174,2026-08-25,11:30,7
2026-08-25 13:15:00,9.29,9.32,9.34,9.27,65929.0,61349650.6707,2026-08-25,13:15,8
2026-08-25 13:30:00,9.32,9.33,9.36,9.32,48582.0,45362878.1183,2026-08-25,13:30,9
2026-08-25 13:45:00,9.33,9.31,9.35,9.3,48759.0,45465269.3546,2026-08-25,13:45,10
2026-08-25 14:00:00,9.31,9.31,9.32,9.29,41098.0,38231356.6456,2026-08-25,14:00,11
2026-08-25 14:15:00,9.31,9.34,9.36,9.3,47481.99,44324856.5299,2026-08-25,14:15,12
2026-08-25 14:30:00,9.35,9.35,9.36,9.33,52387.29,48966011.4987,2026-08-25,14:30,13
2026-08-25 14:45:00,9.35,9.35,9.37,9.34,75875.71,70971532.145,2026-08-25,14:45,14
2026-08-25 15:00:00,9.34,9.37,9.37,9.34,79611.24,74457154.9105,2026-08-25,15:00,15
2026-08-26 09:45:00,9.38,9.54,9.55,9.33,364750.47,345231669.6771,2026-08-26,09:45,0
2026-08-26 10:00:00,9.54,9.58,9.62,9.53,337641.4,323506580.7785,2026-08-26,10:00,1
2026-08-26 10:15:00,9.58,9.6,9.6,9.54,156121.36,149427409.2806,2026-08-26,10:15,2
2026-08-26 10:30:00,9.6,9.6,9.62,9.59,155571.47,149417929.9515,2026-08-26,10:30,3
2026-08-26 10:45:00,9.6,9.65,9.67,9.6,221945.32,214139302.0029,2026-08-26,10:45,4
