date,vol_09:45,amt_09:45,vol_10:00,amt_10:00,vol_10:15,amt_10:15,vol_10:30,amt_10:30,vol_10:45,amt_10:45,vol_11:00,amt_11:00,vol_11:15,amt_11:15,vol_11:30,amt_11:30,vol_13:15,amt_13:15,vol_13:30,amt_13:30,vol_13:45,amt_13:45,vol_14:00,amt_14:00,vol_14:15,amt_14:15,vol_14:30,amt_14:30,vol_14:45,amt_14:45,vol_15:00,amt_15:00,day_vol,day_amt_wan,open_price,close_price
2026-08-04,344525,33035.5,148720,14200.8,248832,23865.3,106575,10205.4,72763,6947.0,66881,6405.3,56171,5383.8,42490,4064.0,75784,7259.5,50958,4875.2,52170,4992.6,52850,5061.6,83727,8019.2,69798,6686.7,64217,6147.3,95924,9184.7,1632386,156334.0,9.56,9.58
2026-08-05,335353,32119.8,220203,21191.7,204786,19797.2,167398,16239.6,122140,11856.1,112457,10888.7,85106,8251.0,71046,6897.6,174398,16920.9,113057,11002.6,122118,11894.7,185154,18093.8,106356,10355.6,96416,9382.8,119643,11679.8,182298,17808.8,2417928,234380.7,9.52,9.77
2026-08-06,545907,53705.2,222092,21750.4,140465,13741.6,135408,13244.4,223167,21639.5,236683,22745.2,126457,12120.0,127501,12179.0,153357,14630.2,153826,14603.2,94164,8971.0,119756,11495.0,99252,9541.4,76062,7307.3,110162,10578.4,117889,11331.3,2682148,259583.0,9.86,9.61
2026-08-07,364279,35143.4,252114,24468.1,267934,26177.6,227626,22343.3,125394,12306.3,106986,10436.0,109781,10766.8,50181,4917.1,90477,8860.9,50667,4959.0,75939,7431.0,86816,8503.4,112540,11045.9,83247,8157.6,116074,11383.8,163113,16039.5,2283168,222939.6,9.59,9.85
2026-08-10,626314,62812.1,278150,28030.0,253482,25339.3,101007,10066.8,75929,7585.1,120598,11983.6,95271,9437.5,38541,3821.2,79156,7850.1,55598,5499.5,61097,6073.3,99916,9983.6,79901,7989.5,71703,7181.1,115138,11552.9,127029,12761.6,2278830,227967.1,10.0,10.05
2026-08-11,611175,62260.8,544049,56178.8,336178,34165.7,196230,19831.8,156108,15730.9,85435,8621.6,77019,7758.6,52916,5362.9,148665,14945.6,155050,15485.5,203149,20107.2,133256,13138.1,95700,9445.9,193119,18963.3,146329,14329.9,149783,14717.5,3284160,331044.1,10.15,9.82
2026-08-12,915374,92652.9,304440,30982.0,322074,32800.9,215072,21590.0,191339,19090.4,78380,7880.5,44139,4430.0,40641,4077.1,108186,10814.7,93983,9349.9,86618,8601.5,70952,7046.8,68675,6818.3,90090,8932.3,127177,12636.3,185290,18418.7,2942430,296122.4,9.97,9.94
2026-08-13,625202,60624.5,468324,44951.9,437074,41607.6,267770,25367.3,169000,16026.6,113622,10803.7,70427,6679.3,57624,5473.4,161990,15330.1,73689,6971.8,85685,8105.1,89602,8474.2,132488,12504.0,130379,12270.8,186783,17530.7,195637,18343.2,3265295,311064.0,9.76,9.38
2026-08-14,333560,30503.4,168945,15600.6,113430,10420.5,71961,6592.9,51920,4756.0,57458,5254.2,39671,3635.2,43520,4009.0,40543,3730.0,39865,3664.9,47567,4391.1,59104,5468.5,35753,3311.6,40510,3748.5,55745,5158.1,81561,7546.1,1281113,117790.7,9.11,9.26
2026-08-17,256115,23828.2,145027,13476.0,161371,15102.5,112115,10515.2,88991,8359.1,82131,7725.3,116709,10998.0,49256,4648.0,44123,4156.6,93340,8821.4,133189,12640.8,112417,10718.2,59259,5635.9,60275,5734.8,73093,6958.1,143714,13707.0,1731125,163025.1,9.35,9.54
