中国铝业 异动预警  数据区间 2026-07-27 ~ 2026-08-24  共100条

[2026-08-24] [中] 跳变            14:00  同槽较前日-64.4% (101,365->36,073手)
[2026-08-24] [中] 跳变            14:30  同槽较前日+59.7% (78,127->124,751手)
[2026-08-21] [中] 跳变            10:30  同槽较前日+54.8% (148,610->230,040手)
[2026-08-21] [中] 跳变            11:15  同槽较前日-56.0% (94,000->41,393手)
[2026-08-21] [中] 跳变            11:30  同槽较前日-63.5% (105,718->38,623手)
[2026-08-21] [中] 跳变            14:00  同槽较前日+73.2% (58,527->101,365手)
[2026-08-21] [中] 跳变            14:45  同槽较前日+77.5% (76,241->135,291手)
[2026-08-21] [中] 量价背离             全天  价涨3.3%但量比仅0.82
[2026-08-20] [高] 跳变            09:45  同槽较前日+135.3% (217,934->512,876手)
[2026-08-20] [中] 跳变            10:15  同槽较前日+65.0% (84,056->138,726手)
[2026-08-20] [高] 跳变            10:45  同槽较前日+131.9% (54,332->126,001手)
[2026-08-20] [中] 跳变            11:00  同槽较前日+79.8% (68,622->123,360手)
[2026-08-20] [高] 跳变            11:15  同槽较前日+125.4% (41,699->94,000手)
[2026-08-20] [高] 跳变            11:30  同槽较前日+157.6% (41,032->105,718手)
[2026-08-20] [高] 跳变            13:45  同槽较前日+166.3% (42,591->113,434手)
[2026-08-20] [中] 跳变            14:00  同槽较前日+54.0% (38,007->58,527手)
[2026-08-19] [中] 跳变            13:15  同槽较前日+88.0% (47,792->89,825手)
[2026-08-19] [中] 跳变            13:45  同槽较前日-55.1% (94,893->42,591手)
[2026-08-19] [中] 跳变            14:45  同槽较前日+54.3% (65,913->101,700手)
[2026-08-19] [中] 跳变            15:00  同槽较前日+56.0% (87,525->136,514手)
[2026-08-18] [中] 跳变            10:15  同槽较前日-51.7% (161,371->77,962手)
[2026-08-18] [中] 跳变            11:15  同槽较前日-54.2% (116,709->53,506手)
[2026-08-18] [中] 跳变            14:00  同槽较前日-50.5% (112,417->55,650手)
[2026-08-17] [中] 跳变            10:30  同槽较前日+55.8% (71,961->112,115手)
[2026-08-17] [中] 跳变            10:45  同槽较前日+71.4% (51,920->88,991手)
[2026-08-17] [高] 跳变            11:15  同槽较前日+194.2% (39,671->116,709手)
[2026-08-17] [高] 跳变            13:30  同槽较前日+134.1% (39,865->93,340手)
[2026-08-17] [高] 跳变            13:45  同槽较前日+180.0% (47,567->133,189手)
[2026-08-17] [中] 跳变            14:00  同槽较前日+90.2% (59,104->112,417手)
[2026-08-17] [中] 跳变            14:15  同槽较前日+65.7% (35,753->59,259手)
[2026-08-17] [中] 跳变            15:00  同槽较前日+76.2% (81,561->143,714手)
[2026-08-17] [中] 量价背离             全天  价涨2.0%但量比仅0.80
[2026-08-14] [中] 跳变            10:00  同槽较前日-63.9% (468,324->168,945手)
[2026-08-14] [中] 跳变            10:15  同槽较前日-74.0% (437,074->113,430手)
[2026-08-14] [中] 跳变            10:30  同槽较前日-73.1% (267,770->71,961手)
[2026-08-14] [中] 跳变            10:45  同槽较前日-69.3% (169,000->51,920手)
[2026-08-14] [中] 跳变            13:15  同槽较前日-75.0% (161,990->40,543手)
[2026-08-14] [中] 跳变            14:15  同槽较前日-73.0% (132,488->35,753手)
[2026-08-14] [中] 跳变            14:30  同槽较前日-68.9% (130,379->40,510手)
[2026-08-14] [中] 跳变            14:45  同槽较前日-70.2% (186,783->55,745手)
[2026-08-14] [中] 跳变            15:00  同槽较前日-58.3% (195,637->81,561手)
[2026-08-14] [中] 量价背离             全天  价涨1.6%但量比仅0.59
[2026-08-13] [中] 跳变            10:00  同槽较前日+53.8% (304,440->468,324手)
[2026-08-13] [中] 跳变            11:15  同槽较前日+59.6% (44,139->70,427手)
[2026-08-13] [中] 跳变            14:15  同槽较前日+92.9% (68,675->132,488手)
[2026-08-13] [高] 量价背离             全天  价跌-3.9%但量比达1.51
[2026-08-12] [中] 跳变            13:45  同槽较前日-57.4% (203,149->86,618手)
[2026-08-12] [中] 跳变            14:30  同槽较前日-53.4% (193,119->90,090手)
[2026-08-11] [中] 跳变            10:00  同槽较前日+95.6% (278,150->544,049手)
[2026-08-11] [中] 跳变            10:30  同槽较前日+94.3% (101,007->196,230手)
[2026-08-11] [高] 跳变            10:45  同槽较前日+105.6% (75,929->156,108手)
[2026-08-11] [中] 跳变            13:15  同槽较前日+87.8% (79,156->148,665手)
[2026-08-11] [高] 跳变            13:30  同槽较前日+178.9% (55,598->155,050手)
[2026-08-11] [高] 跳变            13:45  同槽较前日+232.5% (61,097->203,149手)
[2026-08-11] [高] 跳变            14:30  同槽较前日+169.3% (71,703->193,119手)
[2026-08-11] [高] 量价背离             全天  价跌-3.3%但量比达1.52
[2026-08-10] [中] 跳变            09:45  同槽较前日+71.9% (364,279->626,314手)
[2026-08-10] [中] 跳变            10:30  同槽较前日-55.6% (227,626->101,007手)
[2026-08-07] [中] 跳变            10:15  同槽较前日+90.7% (140,465->267,934手)
[2026-08-07] [中] 跳变            10:30  同槽较前日+68.1% (135,408->227,626手)
[2026-08-07] [中] 跳变            11:00  同槽较前日-54.8% (236,683->106,986手)
[2026-08-07] [中] 跳变            11:30  同槽较前日-60.6% (127,501->50,181手)
[2026-08-07] [中] 跳变            13:30  同槽较前日-67.1% (153,826->50,667手)
[2026-08-06] [中] 跳变            09:45  同槽较前日+62.8% (335,353->545,907手)
[2026-08-06] [中] 跳变            10:45  同槽较前日+82.7% (122,140->223,167手)
[2026-08-06] [高] 跳变            11:00  同槽较前日+110.5% (112,457->236,683手)
[2026-08-06] [中] 跳变            11:30  同槽较前日+79.5% (71,046->127,501手)
[2026-08-06] [高] 量价背离             全天  价跌-2.5%但量比达1.24
[2026-08-05] [中] 跳变            10:30  同槽较前日+57.1% (106,575->167,398手)
[2026-08-05] [中] 跳变            10:45  同槽较前日+67.9% (72,763->122,140手)
[2026-08-05] [中] 跳变            11:00  同槽较前日+68.1% (66,881->112,457手)
[2026-08-05] [中] 跳变            11:15  同槽较前日+51.5% (56,171->85,106手)
[2026-08-05] [中] 跳变            11:30  同槽较前日+67.2% (42,490->71,046手)
[2026-08-05] [高] 跳变            13:15  同槽较前日+130.1% (75,784->174,398手)
[2026-08-05] [高] 跳变            13:30  同槽较前日+121.9% (50,958->113,057手)
[2026-08-05] [高] 跳变            13:45  同槽较前日+134.1% (52,170->122,118手)
[2026-08-05] [高] 跳变            14:00  同槽较前日+250.3% (52,850->185,154手)
[2026-08-05] [中] 跳变            14:45  同槽较前日+86.3% (64,217->119,643手)
[2026-08-05] [中] 跳变            15:00  同槽较前日+90.0% (95,924->182,298手)
[2026-08-04] [高] 跳变            10:15  同槽较前日+134.4% (106,140->248,832手)
[2026-08-04] [中] 跳变            13:30  同槽较前日-65.7% (148,676->50,958手)
[2026-08-03] [中] 跳变            10:15  同槽较前日-61.5% (275,425->106,140手)
[2026-08-03] [高] 跳变            13:30  同槽较前日+111.7% (70,221->148,676手)
[2026-07-31] [中] 跳变            10:15  同槽较前日+84.1% (149,575->275,425手)
[2026-07-31] [中] 跳变            11:30  同槽较前日+73.3% (55,469->96,104手)
[2026-07-30] [中] 跳变            13:45  同槽较前日-54.3% (195,947->89,451手)
[2026-07-30] [高] 跳变            14:15  同槽较前日+104.5% (52,249->106,851手)
[2026-07-30] [中] 跳变            14:45  同槽较前日+69.4% (66,117->111,986手)
[2026-07-30] [中] 跳变            15:00  同槽较前日+99.5% (117,771->234,963手)
[2026-07-29] [中] 跳变            09:45  同槽较前日+76.3% (287,387->506,764手)
[2026-07-29] [中] 跳变            10:00  同槽较前日+54.5% (149,380->230,791手)
[2026-07-29] [中] 跳变            11:30  同槽较前日-80.5% (312,899->60,920手)
[2026-07-29] [高] 跳变            13:45  同槽较前日+210.8% (63,046->195,947手)
[2026-07-29] [中] 跳变            14:00  同槽较前日+70.8% (56,036->95,696手)
[2026-07-28] [中] 跳变            10:00  同槽较前日-51.3% (306,630->149,380手)
[2026-07-28] [中] 跳变            10:30  同槽较前日+74.2% (123,533->215,186手)
[2026-07-28] [高] 跳变            11:15  同槽较前日+149.5% (68,320->170,437手)
[2026-07-28] [高] 跳变            11:30  同槽较前日+504.2% (51,790->312,899手)
[2026-07-28] [高] 跳变            13:15  同槽较前日+101.4% (81,590->164,362手)
[2026-07-28] [中] 跳变            13:30  同槽较前日+63.8% (88,094->144,310手)
