datetime,open,close,high,low,volume,amount,date,time_str,slot_idx
2026-07-28 09:45:00,31.2,31.39,31.6,31.03,316816.21,992964115.6625,2026-07-28,09:45,0
2026-07-28 10:00:00,31.39,31.68,31.69,31.32,144091.72,453521369.0786,2026-07-28,10:00,1
2026-07-28 10:15:00,31.67,31.36,31.69,31.33,85621.68,269150569.2794,2026-07-28,10:15,2
2026-07-28 10:30:00,31.35,31.21,31.45,31.16,132411.0,414036387.0354,2026-07-28,10:30,3
2026-07-28 10:45:00,31.22,31.23,31.35,31.19,72698.19,227215939.1802,2026-07-28,10:45,4
2026-07-28 11:00:00,31.23,31.41,31.45,31.22,83989.51,263183358.297,2026-07-28,11:00,5
2026-07-28 11:15:00,31.39,31.43,31.45,31.17,86435.26,270253482.062,2026-07-28,11:15,6
2026-07-28 11:30:00,31.43,31.52,31.8,31.38,175255.14,554712377.4491,2026-07-28,11:30,7
2026-07-28 13:15:00,31.53,31.44,31.55,31.35,86936.0,273299932.5989,2026-07-28,13:15,8
2026-07-28 13:30:00,31.43,31.36,31.55,31.3,85319.33,268230017.9016,2026-07-28,13:30,9
2026-07-28 13:45:00,31.36,31.58,31.58,31.33,87203.02,274307611.9581,2026-07-28,13:45,10
2026-07-28 14:00:00,31.59,31.4,31.6,31.31,76989.0,241805602.0127,2026-07-28,14:00,11
2026-07-28 14:15:00,31.4,31.38,31.45,31.35,51350.07,161278158.9375,2026-07-28,14:15,12
2026-07-28 14:30:00,31.38,31.39,31.45,31.32,81951.02,257203154.757,2026-07-28,14:30,13
2026-07-28 14:45:00,31.4,31.36,31.45,31.33,120023.0,376620008.0,2026-07-28,14:45,14
2026-07-28 15:00:00,31.37,31.69,31.69,31.33,183539.48,578148551.8575,2026-07-28,15:00,15
2026-07-29 09:45:00,31.94,31.47,32.08,31.18,304607.42,958163117.1066,2026-07-29,09:45,0
2026-07-29 10:00:00,31.47,31.23,31.51,31.18,145815.0,456412359.0,2026-07-29,10:00,1
2026-07-29 10:15:00,31.24,31.71,31.8,31.2,186617.88,588817520.617,2026-07-29,10:15,2
2026-07-29 10:30:00,31.7,31.82,31.88,31.57,140427.0,445811625.0,2026-07-29,10:30,3
2026-07-29 10:45:00,31.82,31.78,31.93,31.68,122320.27,389263113.7159,2026-07-29,10:45,4
2026-07-29 11:00:00,31.78,31.75,31.84,31.61,86214.4,273368720.1992,2026-07-29,11:00,5
2026-07-29 11:15:00,31.76,32.03,32.05,31.73,182817.93,583565694.7431,2026-07-29,11:15,6
2026-07-29 11:30:00,32.03,31.92,32.08,31.83,129355.2,413826482.2183,2026-07-29,11:30,7
2026-07-29 13:15:00,31.92,31.79,32.11,31.73,160698.89,513391682.946,2026-07-29,13:15,8
2026-07-29 13:30:00,31.79,31.97,32.06,31.78,81489.0,260523547.7699,2026-07-29,13:30,9
2026-07-29 13:45:00,31.96,32.25,32.29,31.96,150896.32,485400130.7474,2026-07-29,13:45,10
2026-07-29 14:00:00,32.26,32.01,32.27,32.0,79681.97,256009618.4151,2026-07-29,14:00,11
2026-07-29 14:15:00,32.0,32.05,32.1,31.93,74658.65,238979196.9069,2026-07-29,14:15,12
2026-07-29 14:30:00,32.06,32.0,32.15,31.98,68705.5,220239154.3956,2026-07-29,14:30,13
2026-07-29 14:45:00,32.0,32.0,32.03,31.95,78673.76,251698510.3762,2026-07-29,14:45,14
2026-07-29 15:00:00,32.0,32.15,32.2,31.99,163184.11,523937805.5018,2026-07-29,15:00,15
2026-07-30 09:45:00,32.63,32.79,32.84,32.3,556526.73,1811397675.8434,2026-07-30,09:45,0
2026-07-30 10:00:00,32.76,32.68,33.18,32.68,428782.0,1413315053.4644,2026-07-30,10:00,1
2026-07-30 10:15:00,32.69,32.71,32.98,32.62,178193.21,584275962.3611,2026-07-30,10:15,2
2026-07-30 10:30:00,32.71,32.6,32.8,32.43,171099.79,556803257.1312,2026-07-30,10:30,3
2026-07-30 10:45:00,32.59,32.53,32.65,32.48,93824.1,305681151.9315,2026-07-30,10:45,4
2026-07-30 11:00:00,32.52,32.32,32.55,32.2,118091.82,381914784.2974,2026-07-30,11:00,5
2026-07-30 11:15:00,32.32,32.35,32.53,32.3,108081.19,350438401.6872,2026-07-30,11:15,6
2026-07-30 11:30:00,32.35,32.33,32.37,32.27,99454.03,321416440.8859,2026-07-30,11:30,7
2026-07-30 13:15:00,32.32,32.32,32.36,32.01,220319.65,709330679.517,2026-07-30,13:15,8
2026-07-30 13:30:00,32.32,32.42,32.48,32.2,111740.71,361516570.3947,2026-07-30,13:30,9
2026-07-30 13:45:00,32.42,32.28,32.44,32.18,85624.0,276674483.1599,2026-07-30,13:45,10
2026-07-30 14:00:00,32.28,32.12,32.31,32.08,114096.6,367274128.2256,2026-07-30,14:00,11
2026-07-30 14:15:00,32.12,32.29,32.32,32.06,124414.5,399921751.2645,2026-07-30,14:15,12
2026-07-30 14:30:00,32.29,32.31,32.36,32.13,135402.0,436720831.1286,2026-07-30,14:30,13
2026-07-30 14:45:00,32.31,32.19,32.36,32.15,108116.0,348399719.7732,2026-07-30,14:45,14
2026-07-30 15:00:00,32.2,32.7,32.7,32.17,189213.36,612817537.8289,2026-07-30,15:00,15
2026-07-31 09:45:00,32.38,32.88,33.0,32.27,675024.62,2196497754.4937,2026-07-31,09:45,0
2026-07-31 10:00:00,32.86,33.06,33.07,32.58,320636.05,1051152405.3424,2026-07-31,10:00,1
2026-07-31 10:15:00,33.07,33.29,33.48,33.05,398245.21,1324174010.476,2026-07-31,10:15,2
2026-07-31 10:30:00,33.29,33.11,33.38,33.01,174558.25,579815088.6927,2026-07-31,10:30,3
2026-07-31 10:45:00,33.1,33.26,33.35,33.05,150010.0,498665086.4027,2026-07-31,10:45,4
2026-07-31 11:00:00,33.25,33.12,33.26,32.96,108862.67,359880145.0966,2026-07-31,11:00,5
2026-07-31 11:15:00,33.12,32.97,33.17,32.89,70529.8,232736895.1484,2026-07-31,11:15,6
2026-07-31 11:30:00,32.97,32.84,33.0,32.75,87815.0,288491769.9731,2026-07-31,11:30,7
2026-07-31 13:15:00,32.84,32.98,33.0,32.83,84600.63,278537715.9204,2026-07-31,13:15,8
2026-07-31 13:30:00,32.96,32.97,33.04,32.9,87449.0,288287103.9343,2026-07-31,13:30,9
