date,vol_09:45,amt_09:45,vol_10:00,amt_10:00,vol_10:15,amt_10:15,vol_10:30,amt_10:30,vol_10:45,amt_10:45,vol_11:00,amt_11:00,vol_11:15,amt_11:15,vol_11:30,amt_11:30,vol_13:15,amt_13:15,vol_13:30,amt_13:30,vol_13:45,amt_13:45,vol_14:00,amt_14:00,vol_14:15,amt_14:15,vol_14:30,amt_14:30,vol_14:45,amt_14:45,vol_15:00,amt_15:00,day_vol,day_amt_wan,open_price,close_price
2026-08-04,366975,118946.4,238174,76520.0,258034,82605.5,147131,47053.0,78276,25057.1,93146,29952.8,82067,26301.2,62392,19987.8,115710,37116.0,69187,22153.3,79152,25362.9,88573,28454.0,77080,24805.8,76116,24501.0,102686,33005.8,131899,42374.7,2066598,664197.2,32.45,32.12
2026-08-05,628213,205204.9,464066,153335.1,351443,117096.1,440516,147907.4,277169,93504.5,172252,57939.2,150853,50803.2,100518,33881.7,194864,65737.4,155172,52428.6,266437,90332.6,341394,116219.9,215036,73304.2,130826,44364.3,178241,60712.2,239202,81549.6,4306200,1444320.9,32.39,34.1
2026-08-06,1492780,528166.5,470610,164566.9,344881,120378.2,185629,64632.9,224695,77720.0,146142,50477.9,114034,39439.6,106352,36775.5,163495,56378.0,140631,48184.0,99762,34269.2,92087,31774.9,85946,29706.0,80166,27590.3,111242,38285.3,168223,58017.5,4026674,1406362.6,35.38,34.5
2026-08-07,498538,170776.1,331832,115239.3,362036,126899.5,248499,87426.5,154290,54295.9,108135,37766.6,86564,30324.7,47355,16553.6,88420,30850.9,82789,28884.5,87703,30680.8,127976,44906.4,139126,48923.6,106878,37449.1,105310,36910.6,171674,60330.0,2747124,958218.1,34.09,35.15
2026-08-10,627796,221227.2,324420,115134.2,280246,98420.8,142843,49949.7,100857,35341.2,78178,27395.7,73509,25683.0,50776,17729.6,179728,63140.4,121494,42507.3,100996,35529.7,199840,70728.4,109758,38838.5,89992,31873.6,94051,33306.8,162020,57365.1,2736505,964171.2,35.18,35.45
2026-08-11,476094,169222.1,304022,107128.2,623039,215251.7,415829,142258.2,416046,141504.4,183915,62798.1,117494,40230.7,104742,36031.4,179819,61300.8,221041,74818.4,232121,78168.0,146308,49342.4,213170,71645.3,268278,89668.0,327347,108772.7,246149,81733.4,4475415,1529873.8,35.66,33.18
2026-08-12,420381,140785.6,271746,91917.1,223214,75731.3,121708,40992.7,125039,41959.4,67129,22639.1,53956,18204.4,57071,19248.9,81076,27247.4,127914,42730.2,49909,16697.8,79504,26575.5,76412,25580.5,64172,21529.2,103373,34766.5,122239,41064.0,2044842,687669.4,33.19,33.58
2026-08-13,334948,112367.0,456760,151582.0,330940,109320.8,205473,67727.0,181919,59805.2,137892,45386.5,166185,54533.9,113035,37037.7,161164,52681.1,91408,29911.6,130654,42637.3,145895,47475.7,145012,47092.2,183898,59480.0,273603,88126.9,250284,80522.6,3309070,1085687.4,33.58,32.21
2026-08-14,540579,173674.3,212456,68855.8,118043,37979.3,105938,34000.4,71939,23191.7,57805,18542.3,43744,14048.0,78251,25268.1,84187,27200.3,173711,56357.6,100716,32741.0,61189,19820.8,69499,22598.6,49735,16169.7,71971,23408.2,104001,33829.5,1943765,627685.7,31.8,32.53
2026-08-17,603499,201373.8,149405,49548.3,125761,41783.7,74544,24757.3,83929,27942.1,68152,22599.5,65539,21782.4,79326,26407.4,72501,24064.5,54936,18220.5,103216,34166.6,70200,23267.0,81529,27062.4,74943,24848.6,88803,29493.5,175684,58527.3,1971968,655844.9,33.33,33.36
2026-08-18,372636,124311.8,137389,45512.4,140235,46292.8,60552,20061.4,131175,43268.7,76053,25064.3,87466,28814.4,50511,16645.0,87135,28749.3,63396,20993.6,46218,15264.3,58901,19511.2,83865,27862.7,128342,42840.4,161292,54023.7,160051,53632.0,1845214,612847.9,33.36,33.56
2026-08-19,450785,147114.6,139567,45995.6,117217,38747.9,105445,34911.1,70814,23431.3,56268,18556.3,63526,20851.0,61814,20256.1,116459,38014.8,81548,26607.6,75221,24526.7,67664,22022.4,89726,29209.5,91687,29960.2,99894,32580.5,207674,67934.9,1895308,620720.6,32.5,32.76
2026-08-20,1282037,440566.4,464860,161060.1,525704,183412.2,228408,78913.9,147924,51132.8,100579,34714.2,139470,48047.8,114189,39173.9,204774,70484.3,121791,41824.7,137974,47183.0,91952,31411.2,124743,42553.3,110099,37511.1,125389,42830.1,195818,67046.4,4115712,1417865.5,34.0,34.25
2026-08-21,551905,188055.8,259337,88761.3,158470,54024.6,251836,86561.3,165573,57053.0,77822,26790.6,78400,26992.6,73371,25210.5,147298,50629.6,105730,36172.1,104167,35606.4,134806,46327.6,317877,110002.8,186725,64912.6,141836,49306.9,245879,85386.4,3001033,1031794.1,34.25,34.74
