datetime,open,close,high,low,volume,amount,date,time_str,slot_idx
2026-07-27 09:45:00,6.03,6.04,6.07,6.01,404539.64,244308950.7227,2026-07-27,09:45,0
2026-07-27 10:00:00,6.04,6.0,6.06,5.99,245494.2,147932014.4963,2026-07-27,10:00,1
2026-07-27 10:15:00,6.0,6.02,6.02,5.99,185459.01,111364857.2177,2026-07-27,10:15,2
2026-07-27 10:30:00,6.01,5.99,6.02,5.98,144883.0,86901064.5118,2026-07-27,10:30,3
2026-07-27 10:45:00,5.98,6.0,6.02,5.98,119075.6,71474889.3131,2026-07-27,10:45,4
2026-07-27 11:00:00,6.0,6.0,6.0,5.98,72515.0,43446478.2061,2026-07-27,11:00,5
2026-07-27 11:15:00,6.0,5.97,6.01,5.97,91949.5,55063815.7596,2026-07-27,11:15,6
2026-07-27 11:30:00,5.98,6.0,6.01,5.97,79267.0,47512625.9119,2026-07-27,11:30,7
2026-07-27 13:15:00,6.01,6.05,6.06,5.99,201397.1,121474656.3998,2026-07-27,13:15,8
2026-07-27 13:30:00,6.06,6.05,6.06,6.04,120255.24,72804368.3918,2026-07-27,13:30,9
2026-07-27 13:45:00,6.06,6.05,6.06,6.04,95623.4,57858516.312,2026-07-27,13:45,10
2026-07-27 14:00:00,6.05,6.04,6.06,6.03,104583.0,63212643.2,2026-07-27,14:00,11
2026-07-27 14:15:00,6.03,6.02,6.05,6.02,121034.0,73022968.5132,2026-07-27,14:15,12
2026-07-27 14:30:00,6.03,6.0,6.04,5.98,215710.0,129536856.6154,2026-07-27,14:30,13
2026-07-27 14:45:00,6.0,6.0,6.01,5.99,134295.4,80573823.4929,2026-07-27,14:45,14
2026-07-27 15:00:00,6.0,6.0,6.02,5.99,186689.33,112061145.0075,2026-07-27,15:00,15
2026-07-28 09:45:00,6.03,6.05,6.06,6.0,345332.0,208387536.5745,2026-07-28,09:45,0
2026-07-28 10:00:00,6.05,6.07,6.09,6.04,320941.6,194742495.6276,2026-07-28,10:00,1
2026-07-28 10:15:00,6.07,6.07,6.12,6.05,379669.5,231206446.3923,2026-07-28,10:15,2
2026-07-28 10:30:00,6.08,6.03,6.08,6.02,226521.0,136882740.0205,2026-07-28,10:30,3
2026-07-28 10:45:00,6.03,6.05,6.06,6.02,113665.3,68608277.5085,2026-07-28,10:45,4
2026-07-28 11:00:00,6.05,6.06,6.06,6.04,94107.1,56933311.6601,2026-07-28,11:00,5
2026-07-28 11:15:00,6.06,6.07,6.08,6.03,127999.0,77490694.0842,2026-07-28,11:15,6
2026-07-28 11:30:00,6.07,6.08,6.1,6.06,139315.7,84730901.9011,2026-07-28,11:30,7
2026-07-28 13:15:00,6.08,6.06,6.08,6.05,122662.0,74340167.0923,2026-07-28,13:15,8
2026-07-28 13:30:00,6.07,6.08,6.08,6.05,92708.0,56256003.0,2026-07-28,13:30,9
2026-07-28 13:45:00,6.07,6.06,6.08,6.05,145005.7,87970806.8851,2026-07-28,13:45,10
2026-07-28 14:00:00,6.06,6.07,6.07,6.05,61609.9,37350046.4092,2026-07-28,14:00,11
2026-07-28 14:15:00,6.07,6.07,6.08,6.06,130552.0,79300885.9229,2026-07-28,14:15,12
2026-07-28 14:30:00,6.08,6.08,6.09,6.06,166967.28,101484262.1078,2026-07-28,14:30,13
2026-07-28 14:45:00,6.09,6.08,6.1,6.08,197522.9,120239866.1648,2026-07-28,14:45,14
2026-07-28 15:00:00,6.09,6.1,6.1,6.08,335299.66,204330403.0388,2026-07-28,15:00,15
2026-07-29 09:45:00,6.1,6.07,6.11,6.02,564653.9,342074962.5326,2026-07-29,09:45,0
2026-07-29 10:00:00,6.07,6.09,6.09,6.06,334168.8,203106930.3756,2026-07-29,10:00,1
2026-07-29 10:15:00,6.09,6.06,6.1,6.05,222002.98,134927824.8267,2026-07-29,10:15,2
2026-07-29 10:30:00,6.05,6.05,6.09,6.03,210417.0,127495000.1135,2026-07-29,10:30,3
2026-07-29 10:45:00,6.04,6.03,6.06,6.02,264099.5,159529237.0472,2026-07-29,10:45,4
2026-07-29 11:00:00,6.04,6.05,6.05,6.03,91814.51,55461382.614,2026-07-29,11:00,5
2026-07-29 11:15:00,6.05,6.04,6.05,6.03,138663.0,83747684.3082,2026-07-29,11:15,6
2026-07-29 11:30:00,6.04,6.03,6.05,6.02,108273.0,65275210.6708,2026-07-29,11:30,7
2026-07-29 13:15:00,6.03,6.03,6.04,6.01,216129.45,130185971.9324,2026-07-29,13:15,8
2026-07-29 13:30:00,6.02,6.02,6.05,6.02,131750.0,79488841.7345,2026-07-29,13:30,9
