date,vol_09:45,amt_09:45,vol_10:00,amt_10:00,vol_10:15,amt_10:15,vol_10:30,amt_10:30,vol_10:45,amt_10:45,vol_11:00,amt_11:00,vol_11:15,amt_11:15,vol_11:30,amt_11:30,vol_13:15,amt_13:15,vol_13:30,amt_13:30,vol_13:45,amt_13:45,vol_14:00,amt_14:00,vol_14:15,amt_14:15,vol_14:30,amt_14:30,vol_14:45,amt_14:45,vol_15:00,amt_15:00,day_vol,day_amt_wan,open_price,close_price
2026-08-14,290904,17258.5,171668,10160.9,122084,7237.0,160762,9512.9,151879,8954.6,127536,7531.1,29413,1739.3,89720,5300.8,77753,4595.9,114261,6758.4,119298,7042.4,114964,6769.4,164778,9695.9,52050,3062.9,66863,3939.0,120119,7069.6,1974052,116628.7,5.93,5.88
2026-08-17,291522,17200.8,129884,7659.1,95672,5640.2,115238,6779.9,74044,4355.8,58993,3465.1,158364,9310.8,85339,5030.8,83227,4892.8,55702,3280.8,20939,1233.8,66863,3945.4,73135,4310.6,55592,3274.0,58971,3474.6,151810,8957.3,1575295,92811.7,5.88,5.9
2026-08-18,577955,34368.0,357421,21337.9,214112,12734.5,95108,5668.9,101932,6070.9,94476,5623.0,120105,7149.5,60630,3607.2,217320,12966.1,310092,18560.0,287384,17249.4,123039,7395.2,147012,8824.1,151329,9095.5,192831,11587.7,259587,15632.1,3310334,197869.9,5.89,6.03
2026-08-19,759097,46059.6,204621,12441.2,299535,18230.6,345936,21096.8,187516,11415.2,111375,6783.5,137379,8375.0,68256,4155.7,194104,11805.1,180377,10936.4,140438,8509.2,83960,5089.6,261777,15840.3,176869,10730.1,205790,12476.1,262273,15922.8,3619303,219867.3,6.02,6.08
2026-08-20,401721,24251.0,279335,16851.5,265224,15956.6,90856,5486.5,106766,6432.4,66406,3997.7,147503,8896.6,80854,4880.5,65991,3980.8,96934,5858.2,86126,5211.7,59752,3616.7,103646,6276.9,90847,5504.5,80818,4895.7,155355,9408.0,2178134,131505.1,6.03,6.05
2026-08-21,380902,23130.3,154026,9320.0,140651,8521.4,90965,5501.1,102821,6200.2,62051,3742.9,162813,9841.6,80365,4870.7,73035,4417.3,77601,4699.5,40706,2468.1,95683,5801.0,134940,8185.1,77164,4672.6,146994,8909.6,117246,7103.2,1937963,117384.5,6.03,6.05
2026-08-24,546681,33336.5,243438,14908.0,150049,9173.5,144232,8804.4,115645,7071.9,69371,4241.0,52368,3199.9,52834,3230.8,217813,13343.5,196398,12055.5,341508,21007.0,175940,10819.4,88299,5420.2,56733,3477.1,68416,4197.0,183820,11277.9,2703543,165563.5,6.04,6.13
2026-08-25,276513,16980.2,252041,15496.7,131256,8055.0,152241,9344.5,267852,16532.8,88511,5472.5,192784,11930.2,133789,8260.6,165813,10184.8,169510,10399.1,100050,6143.1,74954,4610.2,100639,6187.7,85724,5264.8,80531,4946.2,251910,15457.1,2524118,155265.5,6.14,6.14
2026-08-26,267686,16475.2,171856,10574.6,600346,37226.1,151079,9367.5,191961,11882.3,71130,4397.2,111472,6890.6,81559,5025.2,113352,6976.0,100421,6206.3,151645,9400.4,59270,3677.5,168867,10487.0,85325,5297.1,115177,7150.9,166069,10297.2,2607214,161331.2,6.12,6.2
2026-08-27,319584,19758.4,160519,9908.5,156186,9625.5,110275,6776.6,177363,10861.4,141502,8632.9,172868,10573.3,121249,7398.6,172242,10543.6,136462,8389.9,170643,10527.8,131242,8096.0,108664,6679.7,109044,6686.9,131181,8059.2,235560,14479.0,2554585,156997.2,6.18,6.14
