中国银行 异动预警  数据区间 2026-08-03 ~ 2026-08-31  共122条

[2026-08-31] [高] 跳变            09:45  同槽较前日+201.9% (297,847->899,097手)
[2026-08-31] [高] 跳变            10:00  同槽较前日+251.4% (141,426->497,029手)
[2026-08-31] [高] 跳变            10:15  同槽较前日+239.1% (135,642->459,986手)
[2026-08-31] [中] 跳变            10:30  同槽较前日+93.0% (134,812->260,228手)
[2026-08-31] [高] 跳变            10:45  同槽较前日+363.2% (54,878->254,199手)
[2026-08-31] [高] 跳变            11:15  同槽较前日+104.5% (106,326->217,400手)
[2026-08-31] [高] 跳变            11:30  同槽较前日+218.4% (65,827->209,600手)
[2026-08-31] [高] 跳变            13:15  同槽较前日+356.1% (133,466->608,737手)
[2026-08-31] [高] 跳变            13:30  同槽较前日+130.5% (92,972->214,292手)
[2026-08-31] [中] 跳变            14:00  同槽较前日-50.1% (270,741->135,013手)
[2026-08-31] [高] 跳变            14:15  同槽较前日+227.7% (72,921->238,956手)
[2026-08-31] [高] 跳变            14:45  同槽较前日+196.8% (70,097->208,019手)
[2026-08-31] [中] 跳变            15:00  同槽较前日+74.1% (179,456->312,435手)
[2026-08-28] [中] 跳变            10:45  同槽较前日-69.1% (177,363->54,878手)
[2026-08-28] [高] 跳变            14:00  同槽较前日+106.3% (131,242->270,741手)
[2026-08-28] [中] 量价背离             全天  价涨1.1%但量比仅0.82
[2026-08-27] [中] 跳变            10:15  同槽较前日-74.0% (600,346->156,186手)
[2026-08-27] [中] 跳变            11:00  同槽较前日+98.9% (71,130->141,502手)
[2026-08-27] [中] 跳变            11:15  同槽较前日+55.1% (111,472->172,868手)
[2026-08-27] [中] 跳变            13:15  同槽较前日+52.0% (113,352->172,242手)
[2026-08-27] [高] 跳变            14:00  同槽较前日+121.4% (59,270->131,242手)
[2026-08-26] [高] 跳变            10:15  同槽较前日+357.4% (131,256->600,346手)
[2026-08-26] [中] 跳变            13:45  同槽较前日+51.6% (100,050->151,645手)
[2026-08-26] [中] 跳变            14:15  同槽较前日+67.8% (100,639->168,867手)
[2026-08-25] [高] 跳变            10:45  同槽较前日+131.6% (115,645->267,852手)
[2026-08-25] [高] 跳变            11:15  同槽较前日+268.1% (52,368->192,784手)
[2026-08-25] [高] 跳变            11:30  同槽较前日+153.2% (52,834->133,789手)
[2026-08-25] [中] 跳变            13:45  同槽较前日-70.7% (341,508->100,050手)
[2026-08-25] [中] 跳变            14:00  同槽较前日-57.4% (175,940->74,954手)
[2026-08-25] [中] 跳变            14:30  同槽较前日+51.1% (56,733->85,724手)
[2026-08-24] [中] 跳变            10:00  同槽较前日+58.1% (154,026->243,438手)
[2026-08-24] [中] 跳变            10:30  同槽较前日+58.6% (90,965->144,232手)
[2026-08-24] [中] 跳变            11:15  同槽较前日-67.8% (162,813->52,368手)
[2026-08-24] [高] 跳变            13:15  同槽较前日+198.2% (73,035->217,813手)
[2026-08-24] [高] 跳变            13:30  同槽较前日+153.1% (77,601->196,398手)
[2026-08-24] [高] 跳变            13:45  同槽较前日+739.0% (40,706->341,508手)
[2026-08-24] [中] 跳变            14:00  同槽较前日+83.9% (95,683->175,940手)
[2026-08-24] [中] 跳变            14:45  同槽较前日-53.5% (146,994->68,416手)
[2026-08-24] [中] 跳变            15:00  同槽较前日+56.8% (117,246->183,820手)
[2026-08-21] [中] 跳变            13:45  同槽较前日-52.7% (86,126->40,706手)
[2026-08-21] [中] 跳变            14:00  同槽较前日+60.1% (59,752->95,683手)
[2026-08-21] [中] 跳变            14:45  同槽较前日+81.9% (80,818->146,994手)
[2026-08-20] [中] 跳变            10:30  同槽较前日-73.7% (345,936->90,856手)
[2026-08-20] [中] 跳变            13:15  同槽较前日-66.0% (194,104->65,991手)
[2026-08-20] [中] 跳变            14:15  同槽较前日-60.4% (261,777->103,646手)
[2026-08-20] [中] 跳变            14:45  同槽较前日-60.7% (205,790->80,818手)
