date,open,close,high,low,turnover_rate_pct
2025-06-10,44.82,44.65,45.07,44.56,0.61
2025-06-11,44.62,44.77,44.94,44.55,0.41
2025-06-12,44.89,44.86,44.99,44.54,0.49
2025-06-13,44.71,44.92,45.04,44.65,0.64
2025-06-16,44.92,44.60,45.15,44.58,0.55
2025-06-17,44.61,44.45,44.72,44.34,0.47
2025-06-18,44.49,44.48,44.85,44.40,0.38
2025-06-19,44.46,44.08,44.54,44.04,0.50
2025-06-20,44.08,44.64,44.66,44.03,0.45
2025-06-23,44.60,44.42,44.72,44.20,0.53
2025-06-24,44.49,44.90,45.00,44.49,0.54
2025-06-25,44.93,45.37,45.49,44.77,0.55
2025-06-26,45.52,45.50,45.79,45.37,0.46
2025-06-27,45.57,45.22,45.92,45.13,0.59
2025-06-30,45.23,44.92,45.54,44.87,0.58
2025-07-01,45.05,45.45,45.48,44.85,0.44
2025-07-02,45.55,46.41,46.72,45.49,0.98
2025-07-03,46.60,46.53,46.67,46.25,0.39
2025-07-04,46.53,46.74,46.84,46.30,0.36
2025-07-07,46.90,46.49,46.94,46.38,0.34
2025-07-08,46.49,46.60,46.92,46.38,0.46
2025-07-09,46.62,46.20,46.68,46.11,0.50
2025-07-10,46.20,46.34,46.52,45.95,0.38
2025-07-11,46.50,46.95,47.15,46.45,0.58
2025-07-14,47.14,47.25,47.68,47.02,0.55
2025-07-15,47.37,47.95,48.09,47.15,0.72
2025-07-16,48.09,47.48,48.09,47.34,0.51
2025-07-17,47.48,47.56,48.05,47.40,0.41
2025-07-18,47.80,47.88,47.90,47.54,0.38
2025-07-21,47.89,47.55,48.08,47.39,0.49
2025-07-22,47.53,47.89,47.92,47.44,0.54
2025-07-23,47.94,48.15,48.47,47.92,0.48
2025-07-24,48.18,47.79,48.24,47.63,0.57
2025-07-25,46.50,46.80,47.59,46.50,1.13
2025-07-28,46.94,46.63,47.10,46.59,0.69
2025-07-29,46.65,46.12,46.78,46.01,0.78
2025-07-30,46.14,46.37,46.66,46.04,0.58
2025-07-31,46.38,45.62,46.40,45.50,0.81
2025-08-01,45.72,45.89,46.05,45.63,0.42
2025-08-04,45.88,46.12,46.25,45.75,0.38
2025-08-05,46.15,46.72,46.79,45.93,0.50
2025-08-06,46.82,46.90,46.98,46.61,0.46
2025-08-07,46.80,47.00,47.15,46.67,0.48
2025-08-08,47.04,47.44,47.61,46.90,0.51
2025-08-11,47.44,47.23,47.55,47.06,0.44
