date,open,close,high,low,volume_lots,amount_yuan,amplitude_pct,change_pct,change_amount,turnover_rate_pct
2026-04-15,37.33,37.39,37.46,37.21,223352,834462048.39,0.67,0.30,0.11,0.40
2026-04-16,37.40,37.32,37.52,37.23,219375,818475410.82,0.78,-0.19,-0.07,0.40
2026-04-17,37.25,36.95,37.25,36.93,389504,1440862485.94,0.86,-0.99,-0.37,0.71
2026-04-20,36.93,36.94,37.01,36.80,269786,995994349.16,0.57,-0.03,-0.01,0.49
2026-04-21,36.98,36.91,37.20,36.88,276517,1023172300.99,0.87,-0.08,-0.03,0.50
2026-04-22,36.91,36.94,36.95,36.61,227739,838683088.05,0.92,0.08,0.03,0.41
2026-04-23,36.95,36.96,37.08,36.78,225089,830889312.63,0.81,0.05,0.02,0.41
2026-04-24,36.81,37.11,37.16,36.71,308383,1141101913.13,1.22,0.41,0.15,0.56
2026-04-27,37.01,37.51,37.85,36.98,451724,1694388405.29,2.34,1.08,0.40,0.82
2026-04-28,37.41,38.44,38.47,37.36,725043,2755183336.41,2.96,2.48,0.93,1.31
2026-04-29,39.99,40.47,40.88,39.60,2007041,8098172737.91,3.33,5.28,2.03,3.63
2026-04-30,40.49,40.05,40.86,40.05,764382,3084996599.17,2.00,-1.04,-0.42,1.38
2026-05-06,40.00,39.95,40.15,39.51,617800,2456659973.45,1.60,-0.25,-0.10,1.12
2026-05-07,39.90,39.89,40.27,39.75,437508,1747721639.82,1.30,-0.15,-0.06,0.79
2026-05-08,39.85,39.91,40.19,39.77,387756,1550905021.00,1.05,0.05,0.02,0.70
2026-05-11,39.85,40.46,40.70,39.60,679354,2746551242.34,2.76,1.38,0.55,1.23
2026-05-12,40.45,40.34,40.85,40.22,464725,1882458840.74,1.56,-0.30,-0.12,0.84
2026-05-13,40.29,40.30,40.56,40.08,337820,1360917807.52,1.19,-0.10,-0.04,0.61
2026-05-14,40.25,40.22,40.59,40.12,373002,1505627121.15,1.17,-0.20,-0.08,0.68
2026-05-15,40.09,40.28,40.68,39.92,489796,1981438232.85,1.89,0.15,0.06,0.89
2026-05-18,40.24,39.71,40.60,39.61,402091,1607481149.89,2.46,-1.42,-0.57,0.73
2026-05-19,39.70,39.56,39.90,39.45,400946,1587822667.33,1.13,-0.38,-0.15,0.73
2026-05-20,39.56,39.51,39.72,39.16,342672,1353385815.56,1.42,-0.13,-0.05,0.62
2026-05-21,39.51,38.86,39.60,38.82,362240,1420574383.08,1.97,-1.65,-0.65,0.66
2026-05-22,38.90,38.74,38.99,38.42,386700,1495945910.61,1.47,-0.31,-0.12,0.70
