date,open,close,high,low,turnover_rate_pct
2025-06-16,15.66,15.55,15.74,15.48,0.85
2025-06-17,15.56,15.48,15.58,15.36,0.58
2025-06-18,15.74,15.66,15.78,15.45,0.88
2025-06-19,15.66,15.24,15.67,15.16,0.91
2025-06-20,15.24,15.22,15.43,15.14,0.69
2025-06-23,15.26,15.37,15.57,15.23,0.75
2025-06-24,15.45,15.61,16.03,15.40,1.27
2025-06-25,15.58,15.53,15.59,15.36,0.98
2025-06-26,15.41,15.53,15.84,15.35,0.97
2025-06-27,15.85,16.19,16.37,15.82,1.79
2025-06-30,16.18,15.98,16.28,15.74,1.45
2025-07-01,15.99,16.58,16.60,15.87,1.36
2025-07-02,16.55,16.79,16.95,16.45,1.42
2025-07-03,16.80,16.70,16.87,16.57,0.89
2025-07-04,16.66,16.70,16.96,16.56,0.91
2025-07-07,16.52,15.82,16.64,15.70,2.04
2025-07-08,15.78,15.88,15.91,15.70,1.24
2025-07-09,16.29,15.96,16.45,15.90,1.56
2025-07-10,15.98,16.27,16.29,15.98,0.99
2025-07-11,16.26,16.28,16.50,16.14,1.06
2025-07-14,16.12,15.86,16.22,15.80,1.61
2025-07-15,15.83,15.70,15.88,15.56,1.15
2025-07-16,15.66,15.55,15.75,15.49,1.15
2025-07-17,15.55,15.69,15.80,15.55,1.00
2025-07-18,15.78,16.01,16.05,15.70,1.39
2025-07-21,16.17,16.75,16.78,16.15,1.98
2025-07-22,16.63,16.92,16.99,16.42,1.62
2025-07-23,16.96,16.44,16.99,16.37,1.48
2025-07-24,16.44,16.81,16.84,16.31,1.41
2025-07-25,16.69,16.41,16.81,16.38,1.11
2025-07-28,16.30,16.16,16.31,15.98,1.16
2025-07-29,16.08,16.21,16.33,16.06,0.88
2025-07-30,16.18,16.16,16.41,16.00,1.09
2025-07-31,16.02,15.56,16.05,15.50,1.72
2025-08-01,15.55,15.68,15.74,15.52,0.79
2025-08-04,15.57,15.77,15.81,15.55,0.80
2025-08-05,15.80,15.91,16.02,15.76,1.01
2025-08-06,15.88,16.10,16.13,15.83,0.84
2025-08-07,16.28,16.24,16.37,15.93,0.91
2025-08-08,16.12,16.87,16.87,16.11,2.05
2025-08-11,16.83,16.76,16.85,16.61,0.99
2025-08-12,16.74,16.78,16.97,16.55,0.92
2025-08-13,17.02,17.20,17.27,16.92,1.40
2025-08-14,17.08,17.02,17.24,16.95,1.07
2025-08-15,16.95,17.68,17.77,16.91,1.37
2025-08-18,17.55,17.32,17.78,17.29,1.30
2025-08-19,17.32,17.22,17.56,17.15,0.76
2025-08-20,17.15,17.35,17.50,17.10,0.82
2025-08-21,17.39,17.43,17.58,17.29,0.75
2025-08-22,17.40,17.43,17.51,17.25,0.75
2025-08-25,17.67,18.04,18.20,17.67,1.25
2025-08-26,18.48,18.84,19.15,18.24,2.03
2025-08-27,18.91,18.70,19.35,18.63,1.75
2025-08-28,18.53,18.61,18.77,18.11,1.26
2025-08-29,18.64,19.39,19.47,18.63,1.69
2025-09-01,19.39,19.41,19.53,18.91,1.55
2025-09-02,19.67,19.50,19.88,19.24,1.36
2025-09-03,19.65,19.15,19.66,18.88,1.29
2025-09-04,19.09,18.69,19.29,18.33,1.35
2025-09-05,18.63,19.18,19.20,18.60,1.28
2025-09-08,19.16,18.91,19.38,18.75,1.24
2025-09-09,19.00,18.80,19.16,18.63,0.87
2025-09-10,18.70,18.58,18.75,18.45,1.00
2025-09-11,18.65,19.36,19.39,18.61,1.27
2025-09-12,20.55,20.81,21.06,20.11,2.56
2025-09-15,20.67,20.73,21.16,20.55,1.75
2025-09-16,20.73,20.58,21.03,19.65,1.80
2025-09-17,20.37,20.91,21.00,20.30,1.42
2025-09-18,20.42,19.86,20.60,19.57,1.40
2025-09-19,19.92,20.06,20.26,19.86,0.87
2025-09-22,20.06,19.70,20.28,19.50,1.45
2025-09-23,19.71,19.25,19.79,18.82,1.50
2025-09-24,19.22,19.35,19.49,19.00,0.98
2025-09-25,19.67,19.41,19.77,19.10,1.36
2025-09-26,19.28,19.70,19.95,19.00,1.19
2025-09-29,19.90,20.25,20.34,19.73,1.22
2025-09-30,20.30,20.60,20.89,20.18,1.21
2025-10-09,21.30,21.64,21.71,20.66,2.44
2025-10-10,21.31,20.99,21.60,20.80,1.80
2025-10-13,20.06,20.77,20.87,20.05,1.60
2025-10-14,21.30,20.55,21.70,20.33,2.37
2025-10-15,20.66,20.90,21.21,20.35,1.65
2025-10-16,20.89,20.79,21.70,20.60,1.79
2025-10-17,21.12,20.68,21.54,20.58,1.72
2025-10-20,20.98,21.04,21.49,20.45,1.64
2025-10-21,21.28,22.00,22.27,20.92,1.92
2025-10-22,21.70,22.18,22.58,21.55,1.88
2025-10-23,22.31,22.93,23.13,22.26,1.91
2025-10-24,23.56,23.18,23.88,22.50,2.28
2025-10-27,22.50,23.20,23.47,22.22,3.27
2025-10-28,22.83,21.95,23.04,21.88,2.06
2025-10-29,22.25,23.61,23.85,22.20,2.59
2025-10-30,23.31,23.58,23.96,23.15,2.00
2025-10-31,23.50,22.99,23.52,22.68,1.48
2025-11-03,23.24,24.29,24.32,22.80,2.46
2025-11-04,24.01,23.67,24.54,23.03,1.93
2025-11-05,22.85,22.96,23.15,22.29,1.65
2025-11-06,22.94,25.00,25.11,22.88,2.78
2025-11-07,24.55,25.32,25.64,24.55,2.02
2025-11-10,25.40,25.23,25.95,24.62,1.85
2025-11-11,25.30,24.93,25.47,24.35,1.42
2025-11-12,24.72,26.00,26.35,24.66,2.27
2025-11-13,26.30,26.70,27.44,26.00,2.83
2025-11-14,26.32,25.95,26.60,25.90,1.48
2025-11-17,25.45,24.98,25.69,24.69,1.60
2025-11-18,24.49,23.70,24.49,23.49,2.31
2025-11-19,23.74,24.12,24.43,23.74,1.34
2025-11-20,24.29,24.00,24.81,24.00,1.03
2025-11-21,23.57,22.95,23.84,22.68,2.25
2025-11-24,23.17,23.22,23.44,22.70,1.29
2025-11-25,23.47,23.54,24.07,23.13,1.51
2025-11-26,24.21,23.95,24.82,23.95,1.92
2025-11-27,24.59,24.44,25.06,24.30,1.64
2025-11-28,24.45,24.70,24.89,24.29,0.92
2025-12-01,25.40,25.24,25.75,25.08,1.50
2025-12-02,25.25,25.14,25.25,24.76,0.87
2025-12-03,25.10,26.44,26.80,25.00,1.88
2025-12-04,27.10,26.72,27.49,26.41,1.89
2025-12-05,26.87,28.31,28.50,26.87,1.82
2025-12-08,28.21,28.31,28.37,27.56,1.70
2025-12-09,27.77,27.09,27.99,26.72,1.87
2025-12-10,27.15,27.28,27.45,26.84,0.88
2025-12-11,27.49,26.90,27.85,26.84,1.00
2025-12-12,27.42,27.42,27.88,27.25,1.20
2025-12-15,26.84,27.12,27.53,26.60,0.91
2025-12-16,26.97,26.56,27.01,26.00,1.20
2025-12-17,26.80,27.49,27.77,26.78,1.16
2025-12-18,27.52,27.45,28.15,27.25,0.80
2025-12-19,27.59,29.23,29.40,27.11,1.71
2025-12-22,29.28,29.38,29.96,29.06,1.49
2025-12-23,29.00,29.44,30.15,28.73,1.26
2025-12-24,29.45,29.96,30.28,28.88,1.17
2025-12-25,29.42,29.62,29.77,28.98,0.75
2025-12-26,29.93,30.50,31.00,29.70,1.48
2025-12-29,30.76,29.63,31.17,29.41,1.59
2025-12-30,29.00,31.65,31.73,28.90,1.76
2025-12-31,31.62,32.84,33.00,31.36,1.69
2026-01-05,34.01,33.78,34.71,32.98,2.07
2026-01-06,34.30,34.90,35.85,33.40,2.60
2026-01-07,34.85,33.78,34.85,33.60,2.26
2026-01-08,33.19,33.14,34.20,32.88,2.08
2026-01-09,32.70,33.53,34.19,32.70,1.65
2026-01-12,34.25,33.24,34.56,32.80,2.04
2026-01-13,32.86,33.21,34.36,32.66,2.75
2026-01-14,33.53,32.69,33.90,32.48,2.93
2026-01-15,32.79,33.16,34.52,32.32,3.14
2026-01-16,33.31,32.46,34.30,32.37,2.37
2026-01-19,32.51,32.98,33.11,31.70,2.03
2026-01-20,33.04,33.31,33.86,32.40,2.17
2026-01-21,33.00,32.86,33.30,32.17,1.76
2026-01-22,32.68,32.70,32.97,32.21,1.31
2026-01-23,32.90,32.64,33.06,31.59,2.19
2026-01-26,33.00,33.59,34.08,33.00,2.94
2026-01-27,33.10,33.03,33.95,32.46,2.29
2026-01-28,33.38,36.33,36.33,33.00,3.31
2026-01-29,37.00,37.00,38.23,35.01,4.10
2026-01-30,35.61,33.64,35.74,33.30,3.75
2026-02-02,32.00,32.22,34.31,31.82,3.62
2026-02-03,33.09,32.54,33.37,31.37,2.66
2026-02-04,32.92,32.80,33.34,32.41,1.60
2026-02-05,32.31,31.49,32.75,30.64,2.04
2026-02-06,30.93,31.70,32.60,30.60,1.62
2026-02-09,32.25,31.70,32.26,31.45,1.21
2026-02-10,31.77,31.61,32.08,31.37,0.93
2026-02-11,31.53,32.04,32.43,31.53,1.03
2026-02-12,31.98,31.24,32.32,31.20,1.34
2026-02-13,30.82,30.20,31.08,29.97,1.80
2026-02-24,30.78,30.38,31.06,30.24,1.32
2026-02-25,30.60,31.36,31.70,30.41,1.73
2026-02-26,31.70,30.99,31.70,30.77,1.27
2026-02-27,30.71,31.20,31.98,30.65,1.45
2026-03-02,31.70,32.85,33.06,30.68,3.31
2026-03-03,33.13,32.46,33.97,32.02,3.76
2026-03-04,33.30,34.24,35.20,33.18,3.54
2026-03-05,35.00,35.46,36.11,34.51,2.98
2026-03-06,34.06,33.58,34.25,32.98,2.18
2026-03-09,34.78,33.60,35.41,33.40,2.66
2026-03-10,32.50,32.76,33.10,32.30,1.54
2026-03-11,33.21,33.65,33.89,32.80,1.48
2026-03-12,34.07,35.24,35.87,33.74,2.52
2026-03-13,35.34,34.75,36.50,34.53,2.15
2026-03-16,35.00,33.85,35.64,32.40,2.30
2026-03-17,33.96,31.91,34.62,31.73,2.00
2026-03-18,31.70,30.94,32.00,30.38,2.16
2026-03-19,30.36,29.10,30.72,28.90,2.77
2026-03-20,29.09,28.38,29.45,28.30,2.13
2026-03-23,27.00,27.30,28.16,26.93,2.24
2026-03-24,27.62,27.81,27.85,26.63,1.94
2026-03-25,28.74,28.41,29.00,28.27,1.51
2026-03-26,28.39,28.13,29.06,28.02,1.11
2026-03-27,27.88,28.73,29.08,27.80,1.26
2026-03-30,31.02,31.46,31.58,30.21,3.33
2026-03-31,31.00,31.00,31.68,30.55,1.87
2026-04-01,31.46,31.82,32.10,31.15,1.84
