date,open,close,high,low,volume_lots,amount_yuan,amplitude_pct,change_pct,change_amount,turnover_rate_pct
2026-04-15,35.38,34.46,35.55,34.30,462907,1609964236.62,3.51,-3.20,-1.14,1.33
2026-04-16,35.10,36.42,36.49,35.08,613318,2196529514.85,4.09,5.69,1.96,1.77
2026-04-17,35.85,36.67,36.83,35.77,447287,1630263971.65,2.91,0.69,0.25,1.29
2026-04-20,36.02,35.14,36.10,34.80,623842,2194330108.65,3.55,-4.17,-1.53,1.80
2026-04-21,35.00,34.36,35.00,34.24,416612,1439293801.71,2.16,-2.22,-0.78,1.20
2026-04-22,34.39,34.22,34.54,33.84,403498,1377988938.96,2.04,-0.41,-0.14,1.16
2026-04-23,34.56,33.55,34.96,33.25,493792,1669740166.04,5.00,-1.96,-0.67,1.42
2026-04-24,34.00,34.17,34.82,33.39,827332,2829345499.09,4.26,1.85,0.62,2.39
2026-04-27,34.20,33.43,34.55,33.35,527633,1791732736.96,3.51,-2.17,-0.74,1.52
2026-04-28,33.15,32.49,33.32,32.35,507835,1660007639.27,2.90,-2.81,-0.94,1.46
2026-04-29,32.35,33.12,33.26,32.29,369179,1217691397.81,2.99,1.94,0.63,1.06
2026-04-30,32.82,31.80,32.95,31.63,676363,2168124537.34,3.99,-3.99,-1.32,1.95
2026-05-06,32.45,32.66,32.78,31.69,713196,2298722255.24,3.43,2.70,0.86,2.06
2026-05-07,32.50,32.13,33.09,31.70,697429,2248095937.94,4.26,-1.62,-0.53,2.01
2026-05-08,31.91,31.52,32.12,31.01,622755,1955957455.32,3.45,-1.90,-0.61,1.80
2026-05-11,31.86,31.28,32.15,31.06,737803,2327995875.04,3.46,-0.76,-0.24,2.13
2026-05-12,31.65,31.16,31.90,31.02,475336,1491899197.72,2.81,-0.38,-0.12,1.37
2026-05-13,31.63,31.83,31.90,31.22,680466,2152229835.40,2.18,2.15,0.67,1.96
2026-05-14,31.91,31.58,33.10,31.58,733701,2365265754.58,4.78,-0.79,-0.25,2.12
2026-05-15,31.28,29.75,31.29,29.51,810634,2443506455.60,5.64,-5.79,-1.83,2.34
2026-05-18,28.99,29.00,29.29,28.68,641729,1858889322.10,2.05,-2.52,-0.75,1.85
2026-05-19,29.29,30.01,30.15,28.82,608878,1795126558.72,4.59,3.48,1.01,1.76
2026-05-20,30.00,30.46,30.79,29.83,626531,1902939069.44,3.20,1.50,0.45,1.81
2026-05-21,30.76,29.99,31.56,29.95,653086,2014211508.19,5.29,-1.54,-0.47,1.88
2026-05-22,30.50,30.76,31.00,30.03,525798,1612758680.49,3.23,2.57,0.77,1.52
2026-05-25,30.89,29.51,31.10,29.25,751474,2248923617.76,6.01,-4.06,-1.25,2.17
2026-05-26,29.52,31.69,32.16,28.92,1341661,4119509947.23,10.98,7.39,2.18,3.87
2026-05-27,31.36,29.84,31.44,29.66,949764,2873864028.02,5.62,-5.84,-1.85,2.74
2026-05-28,29.30,28.77,29.52,28.42,716617,2069063516.54,3.69,-3.59,-1.07,2.07
2026-05-29,29.41,28.49,29.55,28.47,654703,1897111855.11,3.75,-0.97,-0.28,1.89
2026-06-01,28.60,28.91,29.13,28.32,604961,1744729131.67,2.84,1.47,0.42,1.74
2026-06-02,29.71,30.29,30.42,29.23,755706,2257814055.68,4.12,4.77,1.38,2.18
2026-06-03,30.28,30.49,30.86,29.89,640205,1948531800.42,3.20,0.66,0.20,1.85
2026-06-04,29.82,28.60,29.90,28.41,989059,2848276963.36,4.89,-6.20,-1.89,2.85
