date,open,close,high,low,turnover_rate_pct
2025-06-06,124.97,125.09,125.85,124.70,0.31
2025-06-09,125.09,124.96,125.20,124.61,0.51
2025-06-10,124.80,124.39,125.10,124.28,0.44
2025-06-11,124.40,124.70,125.20,124.20,0.37
2025-06-12,124.50,122.50,124.55,122.38,0.98
2025-06-13,121.89,119.12,121.90,119.02,0.95
2025-06-16,117.83,118.27,118.44,117.00,0.70
2025-06-17,118.21,117.71,118.84,117.43,0.51
2025-06-18,118.69,118.33,119.44,117.87,0.52
2025-06-19,117.55,117.28,118.45,117.10,0.42
2025-06-20,117.50,119.56,120.00,117.38,0.76
2025-06-23,118.90,118.28,119.09,117.79,0.45
2025-06-24,118.57,119.75,119.99,118.40,0.46
2025-06-25,120.00,120.18,120.22,118.88,0.46
2025-06-26,120.11,119.73,120.64,119.63,0.43
2025-06-27,119.71,119.18,119.93,119.04,0.41
2025-06-30,119.18,118.90,119.58,118.28,0.58
2025-07-01,118.99,118.63,118.99,118.28,0.31
2025-07-02,118.63,119.18,119.90,118.51,0.40
2025-07-03,119.18,119.62,119.83,118.90,0.32
2025-07-04,119.29,120.39,120.75,119.19,0.44
2025-07-07,120.21,119.91,120.52,119.81,0.22
2025-07-08,119.85,120.78,120.87,119.83,0.30
2025-07-09,120.83,121.60,122.85,120.49,0.52
2025-07-10,121.03,122.58,122.88,120.90,0.42
2025-07-11,122.57,124.30,124.98,122.22,0.74
2025-07-14,124.36,125.41,125.54,123.40,0.56
2025-07-15,124.82,125.00,125.52,124.32,0.50
2025-07-16,124.60,125.28,125.88,124.60,0.46
2025-07-17,125.28,125.82,126.11,124.87,0.45
2025-07-18,122.88,123.78,124.65,121.86,0.54
2025-07-21,123.78,122.56,123.79,122.25,0.48
2025-07-22,122.56,125.53,125.89,122.56,0.78
2025-07-23,125.70,125.20,126.88,125.13,0.59
2025-07-24,125.15,125.55,125.76,124.50,0.40
2025-07-25,125.55,123.54,125.60,123.47,0.47
2025-07-28,123.52,124.06,124.17,122.00,0.46
2025-07-29,123.50,123.52,123.99,122.20,0.48
2025-07-30,123.56,124.52,125.15,123.28,0.58
2025-07-31,124.02,121.15,124.10,120.85,0.78
2025-08-01,121.14,121.00,121.62,120.39,0.32
2025-08-04,120.63,120.92,121.23,120.45,0.22
2025-08-05,120.95,121.95,122.22,120.95,0.36
2025-08-06,121.97,122.16,122.50,121.49,0.31
2025-08-07,122.13,122.55,123.14,121.95,0.30
2025-08-08,122.55,122.22,122.88,121.96,0.21
2025-08-11,122.15,123.94,124.35,122.11,0.47
2025-08-12,123.90,123.19,125.33,123.01,0.54
2025-08-13,123.01,123.19,123.47,122.52,0.40
2025-08-14,123.18,122.84,124.85,122.77,0.51
2025-08-15,122.54,123.10,123.30,121.90,0.50
2025-08-18,123.10,123.75,124.66,122.81,0.66
2025-08-19,123.77,124.41,125.75,123.77,0.84
2025-08-20,124.42,125.78,126.50,123.35,1.04
2025-08-21,125.80,125.45,126.13,124.86,0.60
2025-08-22,125.45,125.79,125.82,124.95,0.53
2025-08-25,126.18,129.93,130.09,126.18,1.24
2025-08-26,129.93,129.74,131.85,128.65,0.90
2025-08-27,129.50,126.62,129.50,126.60,0.89
2025-08-28,126.61,125.47,127.20,124.00,0.89
2025-08-29,126.18,129.53,129.80,126.12,1.12
2025-09-01,130.00,128.87,130.10,127.52,0.82
2025-09-02,128.41,128.56,131.12,128.11,0.90
2025-09-03,129.00,126.62,131.50,126.39,0.78
2025-09-04,126.30,125.51,126.50,124.73,0.67
2025-09-05,125.40,126.81,127.02,124.80,0.52
2025-09-08,126.70,129.09,129.15,126.26,0.79
2025-09-09,129.08,128.80,129.38,127.58,0.48
2025-09-10,128.80,128.06,129.48,127.66,0.51
2025-09-11,127.42,128.52,128.54,126.80,0.59
2025-09-12,128.50,127.19,129.67,127.12,0.68
2025-09-15,126.60,126.65,127.10,126.05,0.43
2025-09-16,126.65,125.80,126.85,125.40,0.49
2025-09-17,125.81,125.96,126.33,124.82,0.47
2025-09-18,125.95,123.94,125.96,123.53,0.71
2025-09-19,123.93,124.08,124.60,122.80,0.51
