date,open,close,high,low,volume_lots,amount_yuan,amplitude_pct,change_pct,change_amount,turnover_rate_pct
2026-04-27,100.50,100.20,100.53,100.05,191048,1913778919.46,0.47,-1.06,-1.07,0.49
2026-04-28,100.08,100.20,100.29,99.90,123415,1234366126.32,0.39,0.00,0.00,0.32
2026-04-29,97.88,98.34,98.58,97.04,338635,3316572049.36,1.54,-1.86,-1.86,0.87
2026-04-30,97.74,97.08,97.95,97.00,248209,2413614788.69,0.97,-1.28,-1.26,0.64
2026-05-06,90.78,92.26,94.50,90.10,871599,7989429629.23,4.53,-4.96,-4.82,2.25
2026-05-07,92.43,92.60,93.85,92.43,536278,4986385438.04,1.54,0.37,0.34,1.38
2026-05-08,92.60,92.13,92.80,91.66,259641,2396026817.67,1.23,-0.51,-0.47,0.67
2026-05-11,92.03,91.81,92.29,91.37,269325,2469941064.28,1.00,-0.35,-0.32,0.69
2026-05-12,91.80,90.56,91.93,90.50,372974,3387693471.87,1.56,-1.36,-1.25,0.96
2026-05-13,90.57,89.15,90.83,88.74,467201,4173652012.86,2.31,-1.56,-1.41,1.20
2026-05-14,88.81,88.99,91.28,87.78,503148,4478188840.70,3.93,-0.18,-0.16,1.30
2026-05-15,88.00,86.87,88.08,86.62,361179,3145651221.47,1.64,-2.38,-2.12,0.93
2026-05-18,86.65,85.57,86.65,85.20,393631,3374154020.11,1.67,-1.50,-1.30,1.01
2026-05-19,85.80,85.78,87.25,85.41,304941,2630415263.70,2.15,0.25,0.21,0.79
2026-05-20,85.21,85.47,86.06,84.54,304617,2599236030.52,1.77,-0.36,-0.31,0.78
2026-05-21,85.51,85.35,87.20,85.23,326630,2812401965.41,2.30,-0.14,-0.12,0.84
2026-05-22,85.58,84.03,85.60,84.03,260371,2196206565.98,1.84,-1.55,-1.32,0.67
2026-05-25,83.63,84.14,84.99,83.02,292025,2456799767.19,2.34,0.13,0.11,0.75
2026-05-26,83.74,83.36,84.59,82.88,277304,2315776876.63,2.03,-0.93,-0.78,0.71
2026-05-27,83.00,83.89,86.25,81.70,603801,5045124428.93,5.46,0.64,0.53,1.56
2026-05-28,82.56,81.49,82.83,81.30,362379,2969342510.00,1.82,-2.86,-2.40,0.93
2026-05-29,80.99,84.89,85.59,80.88,601101,5028433894.52,5.78,4.17,3.40,1.55
2026-06-01,83.95,83.41,83.95,82.83,279987,2332216891.66,1.32,-1.74,-1.48,0.72
2026-06-02,83.38,82.71,83.98,82.42,238179,1977315316.38,1.87,-0.84,-0.70,0.61
2026-06-03,82.60,82.35,82.97,81.62,211544,1737250496.60,1.63,-0.44,-0.36,0.55
2026-06-04,82.35,81.10,82.79,81.10,204211,1668519853.96,2.05,-1.52,-1.25,0.53
2026-06-05,81.50,81.08,82.42,81.03,219364,1789684296.80,1.71,-0.02,-0.02,0.57
2026-06-08,81.01,79.96,81.69,79.56,275252,2207910676.40,2.63,-1.38,-1.12,0.71
2026-06-09,79.90,79.11,80.00,78.88,218412,1731012016.86,1.40,-1.06,-0.85,0.56
2026-06-10,79.03,79.14,79.75,78.60,230726,1830058907.75,1.45,0.04,0.03,0.59
2026-06-11,78.78,79.79,79.98,77.65,378196,2978558092.56,2.94,0.82,0.65,0.97
2026-06-12,79.39,79.92,80.92,79.21,358344,2870646294.71,2.14,0.16,0.13,0.92
2026-06-15,79.96,79.63,80.28,79.10,240611,1916505151.87,1.48,-0.36,-0.29,0.62
2026-06-16,79.39,78.33,79.50,78.15,217566,1708709321.74,1.70,-1.63,-1.30,0.56
2026-06-17,78.30,77.49,78.70,77.25,222588,1727945965.35,1.85,-1.07,-0.84,0.57
2026-06-18,77.28,75.85,77.36,75.85,326843,2499475187.41,1.95,-2.12,-1.64,0.84
2026-06-22,75.50,76.55,77.44,74.79,356276,2704470458.23,3.49,0.92,0.70,0.92
2026-06-23,76.15,74.76,78.32,74.37,466103,3550233244.40,5.16,-2.34,-1.79,1.20
2026-06-24,74.54,73.30,75.45,73.28,300078,2218704130.12,2.90,-1.95,-1.46,0.77
2026-06-25,73.05,75.00,75.68,72.90,491432,3656493221.54,3.79,2.32,1.70,1.27
2026-06-26,74.90,73.17,75.72,73.13,323521,2397332872.70,3.45,-2.44,-1.83,0.83
2026-06-29,73.03,74.00,75.30,71.75,427122,3149108201.35,4.85,1.13,0.83,1.10
2026-06-30,73.50,74.00,74.92,72.44,362653,2662167644.83,3.35,0.00,0.00,0.93
2026-07-01,73.87,74.52,74.88,72.58,380761,2817061597.80,3.11,0.70,0.52,0.98
2026-07-02,74.94,73.50,75.44,73.34,350206,2591988291.98,2.82,-1.37,-1.02,0.90
2026-07-03,73.64,73.21,74.71,72.60,338250,2488093356.99,2.87,-0.39,-0.29,0.87
2026-07-06,72.91,73.76,74.57,72.64,345843,2548673274.84,2.64,0.75,0.55,0.89
2026-07-07,73.59,71.72,73.60,71.68,356731,2580655043.23,2.60,-2.77,-2.04,0.92
2026-07-08,71.70,71.48,72.27,71.22,232078,1663105717.29,1.46,-0.33,-0.24,0.60
2026-07-09,71.00,70.90,71.50,70.52,241921,1713141688.85,1.37,-0.81,-0.58,0.62
2026-07-10,71.11,73.69,74.31,70.69,559655,4085872492.79,5.11,3.94,2.79,1.44
2026-07-13,73.06,72.82,73.45,72.15,306023,2224717872.55,1.76,-1.18,-0.87,0.79
2026-07-14,72.51,73.40,73.49,72.38,283568,2068769750.05,1.52,0.80,0.58,0.73
2026-07-15,72.44,76.40,76.47,72.01,637349,4805702853.56,6.08,4.09,3.00,1.64
2026-07-16,73.33,73.90,74.59,72.60,488921,3599045958.67,2.60,-3.27,-2.50,1.26
2026-07-17,74.60,72.76,75.06,72.35,427399,3130971198.30,3.67,-1.54,-1.14,1.10
2026-07-20,72.80,76.24,76.30,72.80,647586,4885488077.78,4.81,4.78,3.48,1.67
2026-07-21,76.00,74.38,76.76,74.14,633783,4759421669.21,3.44,-2.44,-1.86,1.63
2026-07-22,73.62,74.75,74.80,73.13,407823,3020174420.13,2.25,0.50,0.37,1.05
2026-07-23,74.00,74.84,74.95,73.32,370321,2746776997.16,2.18,0.12,0.09,0.95
2026-07-24,74.60,73.57,75.30,73.47,311399,2315849376.76,2.45,-1.70,-1.27,0.80
2026-07-27,73.66,73.90,74.46,73.51,203331,1502725286.20,1.29,0.45,0.33,0.52
2026-07-28,73.90,74.80,75.16,73.42,314815,2342923235.54,2.35,1.22,0.90,0.81
2026-07-29,74.92,75.17,75.86,74.69,407417,3070589175.91,1.56,0.49,0.37,1.05
2026-07-30,75.10,78.56,78.84,75.01,729039,5681290332.12,5.10,4.51,3.39,1.88
2026-07-31,76.99,78.00,78.68,76.59,497860,3882961624.94,2.66,-0.71,-0.56,1.28
2026-08-03,78.00,78.06,78.66,77.50,279082,2179962618.17,1.49,0.08,0.06,0.72
2026-08-04,78.06,76.88,78.10,76.67,352887,2720290471.88,1.83,-1.51,-1.18,0.91
2026-08-05,76.89,75.50,76.96,75.20,433273,3275120700.71,2.29,-1.80,-1.38,1.12
2026-08-06,75.51,74.48,75.78,74.28,406081,3033081691.90,1.99,-1.35,-1.02,1.05
2026-08-07,75.00,75.11,75.20,74.01,360575,2691877633.82,1.60,0.85,0.63,0.93
2026-08-10,75.32,76.19,76.70,75.27,450511,3430639840.38,1.90,1.44,1.08,1.16
2026-08-11,76.16,75.00,76.16,74.99,336615,2539084634.97,1.54,-1.56,-1.19,0.87
2026-08-12,74.76,75.28,75.90,74.50,312877,2356263123.18,1.87,0.37,0.28,0.81
2026-08-13,75.00,75.12,76.13,74.89,325120,2454570236.06,1.65,-0.21,-0.16,0.84
2026-08-14,75.01,73.75,75.03,73.70,360233,2670378468.45,1.77,-1.82,-1.37,0.93
2026-08-17,72.39,72.55,72.80,71.87,332149,2399834677.66,1.26,-1.63,-1.20,0.86
2026-08-18,72.41,72.56,72.78,72.14,192681,1395188457.21,0.88,0.01,0.01,0.50
2026-08-19,72.56,71.89,72.78,71.81,237201,1708666489.14,1.34,-0.92,-0.67,0.61
2026-08-20,71.91,72.09,72.47,71.91,160334,1156999375.88,0.78,0.28,0.20,0.41
2026-08-21,71.96,71.19,72.00,71.11,197098,1405498851.59,1.23,-1.25,-0.90,0.51
2026-08-24,71.20,71.48,71.74,70.88,212574,1518522411.74,1.21,0.41,0.29,0.55
2026-08-25,71.50,71.52,71.80,71.19,180303,1287974014.66,0.85,0.06,0.04,0.46
2026-08-26,70.98,71.90,72.05,70.93,196907,1412878688.71,1.57,0.53,0.38,0.51
2026-08-27,71.81,71.12,71.82,70.96,320800,2282088195.46,1.20,-1.08,-0.78,0.83
2026-08-28,71.12,71.51,71.69,70.93,230365,1643217892.52,1.07,0.55,0.39,0.59
2026-08-31,71.42,71.27,71.59,70.90,252421,1795566849.31,0.96,-0.34,-0.24,0.65
2026-09-01,71.18,71.83,72.44,71.04,301307,2163805209.69,1.96,0.79,0.56,0.78
2026-09-02,71.61,70.82,71.76,70.81,262205,1864459059.59,1.32,-1.41,-1.01,0.68
2026-09-03,70.82,70.68,71.11,70.55,180061,1273832600.66,0.79,-0.20,-0.14,0.46
