date,open,close,high,low,turnover_rate_pct
2025-06-12,46.77,48.78,48.99,46.67,0.68
2025-06-13,48.40,48.99,49.29,48.20,0.48
2025-06-16,48.95,49.80,50.17,48.56,0.56
2025-06-17,50.10,49.68,50.20,49.60,0.41
2025-06-18,49.89,50.15,50.50,49.50,0.39
2025-06-19,50.00,49.16,50.10,48.97,0.42
2025-06-20,49.44,50.65,51.13,49.44,0.64
2025-06-23,50.25,49.90,50.58,49.46,0.43
2025-06-24,50.20,50.70,50.95,49.97,0.40
2025-06-25,50.70,50.29,50.70,49.70,0.42
2025-06-26,48.80,49.15,49.65,47.50,0.80
2025-06-27,48.97,48.69,49.22,48.59,0.37
2025-06-30,48.70,48.76,49.21,48.60,0.31
2025-07-01,48.77,49.20,49.66,48.74,0.27
2025-07-02,49.45,48.27,49.46,48.20,0.34
2025-07-03,48.24,47.45,48.26,47.19,0.55
2025-07-04,47.50,47.91,48.26,47.34,0.36
2025-07-07,47.99,47.76,48.19,47.63,0.18
2025-07-08,47.77,47.73,47.88,47.18,0.37
2025-07-09,47.70,47.67,48.15,47.51,0.26
2025-07-10,47.74,48.15,48.98,47.71,0.57
2025-07-11,48.26,47.35,48.60,47.25,0.50
2025-07-14,47.12,47.48,47.77,47.12,0.30
2025-07-15,47.58,46.96,47.63,46.79,0.37
2025-07-16,46.97,47.04,47.18,46.61,0.28
2025-07-17,46.64,46.36,46.91,46.29,0.40
2025-07-18,46.37,47.71,47.86,46.35,0.51
2025-07-21,47.75,47.60,48.28,47.43,0.30
2025-07-22,47.55,47.76,47.80,46.94,0.37
2025-07-23,47.85,47.63,47.97,47.00,0.41
2025-07-24,47.60,47.82,48.08,47.43,0.32
2025-07-25,47.82,47.95,48.87,47.30,0.47
2025-07-28,48.00,47.58,48.22,47.36,0.29
2025-07-29,47.42,47.49,47.64,46.95,0.33
2025-07-30,47.66,47.68,48.54,47.50,0.46
2025-07-31,47.36,46.00,47.66,45.90,0.54
2025-08-01,46.13,46.17,46.98,45.80,0.46
2025-08-04,46.17,46.44,46.49,46.01,0.25
2025-08-05,46.44,46.60,46.68,46.25,0.24
2025-08-06,46.62,46.42,46.68,46.22,0.25
2025-08-07,46.54,47.12,47.32,46.43,0.42
2025-08-08,47.07,47.58,47.83,46.87,0.38
2025-08-11,47.50,47.10,47.58,46.81,0.34
2025-08-12,47.08,46.88,47.20,46.69,0.27
2025-08-13,46.95,46.80,47.10,46.41,0.41
2025-08-14,46.80,46.70,47.19,46.65,0.31
2025-08-15,46.60,46.51,46.69,46.26,0.41
2025-08-18,46.55,46.78,47.09,45.90,0.57
2025-08-19,46.74,46.63,47.26,46.38,0.53
2025-08-20,46.60,48.00,48.12,46.26,0.70
2025-08-21,48.00,48.19,48.55,47.61,0.45
2025-08-22,48.19,47.92,48.40,47.68,0.44
2025-08-25,48.21,48.34,48.60,47.79,0.46
2025-08-26,48.30,48.96,49.60,48.18,0.64
2025-08-27,48.93,47.91,49.02,47.82,0.50
2025-08-28,47.78,48.40,48.42,47.51,0.41
2025-08-29,47.92,44.57,47.92,43.88,3.50
