date,open,close,high,low,volume_lots,amount_yuan,amplitude_pct,change_pct,change_amount,turnover_rate_pct
2026-04-24,36.60,36.50,36.68,36.36,124896,455802268.47,0.87,-0.54,-0.20,0.26
2026-04-27,36.55,36.88,37.28,36.41,213997,791202887.03,2.38,1.04,0.38,0.45
2026-04-28,36.89,37.02,37.15,36.73,193603,714337199.26,1.14,0.38,0.14,0.41
2026-04-29,37.40,36.84,37.57,36.67,370202,1369028166.86,2.43,-0.49,-0.18,0.78
2026-04-30,36.77,37.10,37.28,36.66,304984,1127988249.58,1.68,0.71,0.26,0.64
2026-05-06,37.00,37.28,37.40,36.60,321669,1190924958.57,2.16,0.49,0.18,0.67
2026-05-07,37.31,37.57,37.81,37.21,276856,1037853417.20,1.61,0.78,0.29,0.58
2026-05-08,37.41,37.70,37.78,37.30,243685,916644880.11,1.28,0.35,0.13,0.51
2026-05-11,37.80,37.42,37.80,37.11,297022,1109499644.07,1.83,-0.74,-0.28,0.62
2026-05-12,37.36,36.96,37.48,36.96,194874,723985296.24,1.39,-1.23,-0.46,0.41
2026-05-13,36.96,36.66,36.99,36.34,281031,1027254742.23,1.76,-0.81,-0.30,0.59
2026-05-14,36.60,36.23,36.72,36.22,188305,685457757.30,1.36,-1.17,-0.43,0.39
2026-05-15,36.18,35.85,36.21,35.75,215912,775454932.88,1.27,-1.05,-0.38,0.45
2026-05-18,35.99,35.73,35.99,35.52,168959,602317796.47,1.31,-0.33,-0.12,0.35
2026-05-19,35.51,35.29,35.58,35.12,173396,611928398.14,1.29,-1.23,-0.44,0.36
2026-05-20,35.35,35.72,35.96,35.00,234112,826741250.88,2.72,1.22,0.43,0.49
2026-05-21,35.72,35.48,35.85,35.31,205599,732404804.43,1.51,-0.67,-0.24,0.43
2026-05-22,35.40,35.15,35.45,35.00,217439,764275814.17,1.27,-0.93,-0.33,0.46
2026-05-25,35.14,35.62,35.64,35.00,182789,645927220.90,1.82,1.34,0.47,0.38
2026-05-26,35.49,35.93,35.95,35.14,213898,760720210.90,2.27,0.87,0.31,0.45
2026-05-27,35.75,35.73,36.00,35.36,220529,786883451.06,1.78,-0.56,-0.20,0.46
2026-05-28,35.50,35.24,35.60,35.06,180735,637438717.14,1.51,-1.37,-0.49,0.38
2026-05-29,35.18,34.95,35.52,34.74,196719,690357516.18,2.21,-0.82,-0.29,0.41
2026-06-01,34.90,35.13,35.13,34.53,125684,438859141.25,1.72,0.52,0.18,0.26
2026-06-02,35.13,34.90,35.21,34.87,131363,459463279.45,0.97,-0.65,-0.23,0.28
2026-06-03,35.05,34.57,35.05,34.36,187466,648690846.34,1.98,-0.95,-0.33,0.39
2026-06-04,34.41,34.25,34.69,34.01,172110,590582302.70,1.97,-0.93,-0.32,0.36
2026-06-05,34.25,34.86,34.88,34.25,170435,592074781.72,1.84,1.78,0.61,0.36
