date,open,close,high,low,turnover_rate_pct
2025-06-16,63.78,62.74,63.78,62.51,0.85
2025-06-17,62.78,62.19,63.11,62.05,0.58
2025-06-18,62.05,62.45,62.64,61.98,0.41
2025-06-19,62.28,61.95,63.09,61.93,0.60
2025-06-20,61.86,61.85,62.45,61.56,0.45
2025-06-23,61.50,61.95,62.16,61.44,0.45
2025-06-24,62.23,64.06,64.10,62.23,1.09
2025-06-25,64.00,64.95,65.00,63.66,0.93
2025-06-26,65.00,64.27,65.31,64.27,0.88
2025-06-27,65.56,63.82,65.56,63.80,1.03
2025-06-30,64.00,64.57,64.91,63.80,0.85
2025-07-01,64.50,64.22,64.57,63.81,0.58
2025-07-02,64.30,64.42,65.19,64.21,0.94
2025-07-03,64.40,64.75,65.15,64.12,0.75
2025-07-04,64.60,64.11,64.85,63.80,0.69
2025-07-07,63.83,62.32,64.09,62.22,0.97
2025-07-08,62.37,63.03,63.37,62.28,0.87
2025-07-09,63.35,62.64,64.16,62.55,0.81
2025-07-10,62.49,62.56,62.95,62.19,0.52
2025-07-11,62.80,64.00,64.71,62.56,1.21
2025-07-14,64.30,64.38,64.99,63.73,0.87
2025-07-15,64.45,64.15,64.80,63.70,0.78
2025-07-16,64.27,64.52,65.30,64.00,0.91
2025-07-17,64.55,65.13,65.22,64.06,0.96
2025-07-18,65.48,65.19,66.20,64.98,0.94
2025-07-21,65.59,65.22,66.35,64.58,1.40
2025-07-22,65.17,64.72,65.17,64.37,0.98
2025-07-23,64.71,64.76,65.50,64.56,1.02
2025-07-24,65.02,66.10,66.35,64.87,1.43
2025-07-25,65.81,65.41,65.95,64.90,1.00
2025-07-28,65.90,65.40,66.49,65.20,0.87
2025-07-29,65.20,65.07,65.35,64.37,0.99
2025-07-30,64.99,64.16,65.48,63.91,0.96
2025-07-31,64.10,63.39,65.15,63.28,1.25
2025-08-01,63.48,63.41,64.44,62.88,0.90
2025-08-04,63.32,64.56,64.95,63.18,1.15
2025-08-05,64.79,64.81,65.16,64.50,0.81
2025-08-06,65.00,65.86,66.50,64.76,1.69
2025-08-07,66.00,65.50,66.03,64.90,0.99
2025-08-08,65.73,64.51,66.18,64.48,0.89
2025-08-11,64.52,65.50,66.08,64.52,0.95
2025-08-12,65.53,65.40,65.67,64.88,0.71
2025-08-13,65.26,66.02,66.23,65.02,1.23
2025-08-14,66.23,66.54,67.26,65.67,2.05
2025-08-15,66.19,67.34,67.60,66.19,1.64
2025-08-18,67.59,67.80,68.48,66.81,2.08
2025-08-19,67.70,68.10,69.44,66.76,2.11
2025-08-20,67.84,68.88,68.90,67.07,1.65
2025-08-21,69.20,68.30,69.99,68.06,1.69
2025-08-22,68.00,69.70,69.70,67.80,1.94
2025-08-25,71.00,71.85,72.08,70.06,2.53
2025-08-26,72.00,71.20,72.76,71.00,1.99
2025-08-27,71.50,72.15,76.36,71.50,3.41
2025-08-28,72.08,73.78,73.80,71.51,2.81
2025-08-29,75.00,75.03,76.28,72.64,2.74
2025-09-01,75.03,75.90,77.68,74.53,2.28
2025-09-02,75.88,74.90,76.09,73.03,2.65
2025-09-03,75.05,73.07,75.40,72.47,2.19
2025-09-04,72.91,71.42,73.73,69.89,2.48
2025-09-05,71.43,73.35,73.40,70.81,1.59
2025-09-08,73.51,82.01,85.45,73.50,5.09
2025-09-09,80.51,78.88,80.90,78.46,3.32
2025-09-10,78.88,79.52,80.43,77.22,2.62
2025-09-11,79.00,80.70,81.12,77.89,2.44
2025-09-12,81.34,79.68,82.21,79.49,2.50
2025-09-15,79.60,80.15,82.17,79.35,2.21
2025-09-16,79.96,83.49,85.55,79.51,3.41
2025-09-17,83.50,84.05,84.44,82.48,2.52
2025-09-18,83.66,82.60,87.48,81.31,4.05
2025-09-19,82.70,81.70,84.00,81.60,2.37
2025-09-22,81.70,81.79,82.38,81.01,1.86
2025-09-23,81.80,82.60,83.94,80.75,2.55
2025-09-24,82.62,86.33,87.40,82.10,3.06
2025-09-25,87.00,85.91,89.65,85.10,2.87
2025-09-26,85.66,81.54,85.85,81.45,2.65
2025-09-29,82.01,83.40,83.50,80.57,2.13
2025-09-30,83.05,83.82,84.41,82.50,1.73
2025-10-09,84.80,88.91,91.00,84.09,3.82
2025-10-10,89.60,84.33,89.86,83.75,3.15
2025-10-13,80.35,81.51,82.57,79.80,2.78
2025-10-14,82.50,79.15,83.47,78.90,2.14
2025-10-15,79.05,80.71,81.19,78.18,1.68
2025-10-16,80.60,80.78,82.31,79.96,1.40
2025-10-17,80.79,77.59,80.88,77.47,1.58
2025-10-20,78.42,78.54,79.72,77.86,1.28
2025-10-21,78.65,79.42,79.96,77.94,1.08
2025-10-22,79.00,79.25,81.66,78.30,1.59
2025-10-23,78.70,79.25,79.55,77.40,1.10
2025-10-24,77.00,78.38,78.70,76.00,2.09
2025-10-27,79.07,78.27,79.73,77.32,1.97
2025-10-28,78.00,77.31,78.79,77.20,1.72
2025-10-29,77.38,79.03,79.03,77.31,1.44
2025-10-30,79.00,77.00,79.45,77.00,1.73
2025-10-31,77.05,77.01,79.60,76.95,1.62
2025-11-03,77.38,74.85,77.38,73.83,1.73
2025-11-04,74.49,73.09,74.70,72.52,1.40
2025-11-05,72.29,73.10,73.42,71.90,1.08
2025-11-06,73.19,74.50,74.75,73.01,1.10
