date,open,close,high,low,volume_lots,amount_yuan,amplitude_pct,change_pct,change_amount,turnover_rate_pct
2026-04-16,68.33,66.84,68.68,66.66,410580,2760707600.00,2.97,-1.56,-1.06,1.71
2026-04-17,66.71,65.66,66.72,65.51,389907,2568352087.00,1.81,-1.77,-1.18,1.63
2026-04-20,66.00,66.52,66.97,65.61,332160,2206315506.00,2.07,1.31,0.86,1.38
2026-04-21,66.66,66.04,66.94,65.10,291632,1916895326.00,2.77,-0.72,-0.48,1.22
2026-04-22,65.86,66.91,67.12,65.32,280312,1863570827.00,2.73,1.32,0.87,1.17
2026-04-23,67.00,65.34,67.19,65.28,305367,2014868116.00,2.85,-2.35,-1.57,1.27
2026-04-24,65.02,64.75,65.29,63.63,345264,2218960594.00,2.54,-0.90,-0.59,1.43
2026-04-27,64.11,65.74,66.55,64.02,372452,2447230438.00,3.91,1.53,0.99,1.55
2026-04-28,64.00,61.36,64.00,60.13,675496,4143372812.00,5.89,-6.66,-4.38,2.80
2026-04-29,61.99,67.59,67.67,61.80,892550,5844835677.00,9.57,10.15,6.23,3.70
2026-04-30,67.67,68.60,70.41,67.42,557797,3846940894.00,4.42,1.49,1.01,2.31
2026-05-06,69.98,71.07,71.55,69.01,552991,3915095099.00,3.70,3.60,2.47,2.29
2026-05-07,71.90,75.55,76.19,71.77,867603,6499895135.00,6.22,6.30,4.48,3.60
2026-05-08,74.67,75.00,76.21,74.53,510291,3836723947.00,2.22,-0.73,-0.55,2.12
2026-05-11,75.50,77.49,78.24,75.20,628510,4857420947.00,4.05,3.32,2.49,2.61
2026-05-12,77.48,75.45,78.08,75.25,445457,3385422163.00,3.65,-2.63,-2.04,1.85
2026-05-13,75.37,76.46,76.77,73.78,510121,3824393136.00,3.96,1.34,1.01,2.12
2026-05-14,76.46,74.42,76.55,74.40,291108,2194065357.00,2.81,-2.67,-2.04,1.21
2026-05-15,74.49,77.32,79.88,74.49,719096,5585106676.00,7.24,3.90,2.90,2.98
2026-05-18,77.42,77.36,79.30,76.62,547055,4246901535.00,3.47,0.05,0.04,2.27
2026-05-19,77.60,77.80,77.88,75.90,354101,2733799971.00,2.56,0.57,0.44,1.47
2026-05-20,77.16,76.76,77.58,75.69,324445,2486425900.00,2.43,-1.34,-1.04,1.35
