date,open,close,high,low,turnover_rate_pct
2025-06-16,237.78,236.61,239.96,234.56,0.31
2025-06-17,236.30,232.01,237.13,231.60,0.38
2025-06-18,231.41,229.30,232.60,229.30,0.22
2025-06-19,229.06,225.95,229.96,225.30,0.28
2025-06-20,226.00,227.26,227.83,225.02,0.25
2025-06-23,227.26,225.83,229.26,224.89,0.27
2025-06-24,226.04,224.84,228.00,224.77,0.43
2025-06-25,225.45,229.05,229.58,224.01,0.36
2025-06-26,228.85,227.50,231.90,227.50,0.32
2025-06-27,227.97,226.64,229.50,226.03,0.32
2025-06-30,224.10,224.75,226.20,223.00,0.46
2025-07-01,224.77,226.50,227.77,224.36,0.31
2025-07-02,226.96,224.99,227.93,224.50,0.24
2025-07-03,225.21,220.20,225.99,219.88,0.63
2025-07-04,220.91,223.80,224.19,220.00,0.50
2025-07-07,224.50,216.41,226.16,216.03,0.76
2025-07-08,216.41,217.33,218.29,214.11,0.44
2025-07-09,217.33,214.48,217.34,214.30,0.66
2025-07-10,214.49,218.65,219.36,214.13,0.56
2025-07-11,219.76,221.08,222.98,218.20,0.51
2025-07-14,221.08,217.00,221.75,216.87,0.45
2025-07-15,216.63,215.06,217.99,214.86,0.41
2025-07-16,214.86,214.65,216.29,214.00,0.43
2025-07-17,214.59,217.18,217.19,214.06,0.49
2025-07-18,217.28,225.32,225.52,217.27,0.93
2025-07-21,225.50,225.79,226.98,224.09,0.47
2025-07-22,225.50,226.00,226.19,222.03,0.51
2025-07-23,226.04,228.50,232.42,226.04,0.73
2025-07-24,228.74,232.07,236.28,226.00,0.92
2025-07-25,231.96,231.84,235.93,230.18,0.59
2025-07-28,232.50,233.18,234.66,230.68,0.45
2025-07-29,232.85,231.82,234.40,228.01,0.65
2025-07-30,231.80,237.96,242.00,228.70,1.12
2025-07-31,237.96,231.20,238.00,229.99,0.70
2025-08-01,231.00,227.23,233.44,226.00,0.59
2025-08-04,226.99,227.30,228.00,224.66,0.49
2025-08-05,227.31,228.03,228.56,226.14,0.30
2025-08-06,228.60,228.31,229.98,226.68,0.33
2025-08-07,228.00,230.79,235.30,227.34,0.60
2025-08-08,231.61,230.71,235.97,229.18,0.53
2025-08-11,231.00,230.50,231.86,227.01,0.52
2025-08-12,230.50,234.30,238.68,230.10,0.90
2025-08-13,234.50,236.49,236.70,232.53,0.61
2025-08-14,238.05,233.44,240.50,232.53,0.63
2025-08-15,233.40,235.23,237.47,232.16,0.62
2025-08-18,235.24,236.65,238.00,234.36,0.67
2025-08-19,236.65,234.18,238.49,234.14,0.57
2025-08-20,233.70,236.56,236.99,231.80,0.52
2025-08-21,236.98,245.71,248.83,236.88,1.37
2025-08-22,245.49,244.25,247.00,242.20,0.75
2025-08-25,246.46,245.50,247.18,243.27,0.78
2025-08-26,244.11,246.77,250.26,244.00,0.83
2025-08-27,245.60,247.31,257.00,245.56,1.35
2025-08-28,243.00,247.08,251.00,240.51,1.44
2025-08-29,244.34,242.79,246.66,241.60,0.98
2025-09-01,244.42,246.48,248.35,242.52,0.91
2025-09-02,246.26,242.16,250.75,240.78,0.87
2025-09-03,241.96,238.81,244.16,238.01,0.73
2025-09-04,238.97,233.50,240.81,231.31,0.81
2025-09-05,233.40,237.96,238.61,231.46,0.62
2025-09-08,236.00,248.04,252.95,236.00,1.34
2025-09-09,246.33,241.00,248.04,240.05,0.95
2025-09-10,240.96,238.71,241.93,237.65,0.53
2025-09-11,237.70,243.74,243.95,236.41,0.63
2025-09-12,243.70,240.99,247.25,240.78,0.57
2025-09-15,241.50,239.60,242.53,239.00,0.56
2025-09-16,239.70,239.60,242.23,238.50,0.48
2025-09-17,239.60,239.39,242.48,238.07,0.50
2025-09-18,239.98,237.80,242.99,236.51,0.82
2025-09-19,238.50,235.00,240.78,235.00,0.62
2025-09-22,236.08,237.15,240.25,235.60,0.63
2025-09-23,236.28,233.50,236.73,230.00,0.74
2025-09-24,232.60,233.89,235.87,232.60,0.46
2025-09-25,233.68,245.00,246.45,232.72,1.34
2025-09-26,244.36,238.55,244.36,238.30,0.66
2025-09-29,238.55,239.00,240.38,234.33,0.68
2025-09-30,238.79,245.69,246.65,237.80,0.85
2025-10-09,244.00,248.24,248.98,240.01,0.91
2025-10-10,246.30,242.00,247.00,241.72,0.64
2025-10-13,238.00,235.20,239.99,233.05,0.90
2025-10-14,237.70,230.68,239.79,230.23,0.86
2025-10-15,232.00,230.50,233.43,229.70,0.68
2025-10-16,230.51,230.93,233.95,229.10,0.50
2025-10-17,230.03,225.50,231.49,225.28,0.62
2025-10-20,227.02,223.47,227.81,222.73,0.52
2025-10-21,223.47,223.57,226.95,223.24,0.54
