date,open,close,high,low,volume_lots,amount_yuan,amplitude_pct,change_pct,change_amount,turnover_rate_pct
2026-04-16,160.32,160.46,160.86,159.46,54493,872440529.00,0.87,0.10,0.16,0.45
2026-04-17,159.92,156.75,159.92,156.71,89171,1404800005.00,2.00,-2.31,-3.71,0.74
2026-04-20,156.50,158.10,159.77,154.60,91233,1433529677.00,3.30,0.86,1.35,0.75
2026-04-21,158.13,158.85,161.81,158.00,79928,1273422195.00,2.41,0.47,0.75,0.66
2026-04-22,157.01,159.60,160.99,157.01,70472,1119470513.00,2.51,0.47,0.75,0.58
2026-04-23,159.49,161.04,162.46,159.00,102520,1652382265.00,2.17,0.90,1.44,0.85
2026-04-24,160.25,161.00,162.76,158.63,92238,1485053892.00,2.56,-0.02,-0.04,0.76
2026-04-27,160.30,158.01,160.92,157.81,80514,1280012693.00,1.93,-1.86,-2.99,0.66
2026-04-28,157.77,161.11,162.90,157.60,126775,2035785399.00,3.35,1.96,3.10,1.05
2026-04-29,162.30,168.40,169.01,162.11,195908,3272550512.00,4.28,4.52,7.29,1.62
2026-04-30,167.50,168.40,169.88,166.81,97616,1643218327.00,1.82,0.00,0.00,0.81
2026-05-06,168.39,172.68,173.30,168.00,127733,2198045329.00,3.15,2.54,4.28,1.05
2026-05-07,173.19,170.50,176.56,170.25,103423,1777293308.00,3.65,-1.26,-2.18,0.85
2026-05-08,170.40,170.61,172.67,170.32,71134,1220721296.00,1.38,0.06,0.11,0.59
2026-05-11,170.00,169.21,170.90,167.03,122537,2063686520.00,2.27,-0.82,-1.40,1.01
2026-05-12,168.68,166.39,169.84,166.26,81037,1357088446.00,2.12,-1.67,-2.82,0.67
2026-05-13,166.30,165.94,167.25,164.22,71098,1175652869.00,1.82,-0.27,-0.45,0.59
2026-05-14,165.10,161.24,166.49,161.24,85949,1404118577.00,3.16,-2.83,-4.70,0.71
2026-05-15,161.11,160.37,163.10,160.07,70137,1132546314.00,1.88,-0.54,-0.87,0.58
2026-05-18,160.25,156.33,160.37,155.69,90449,1421831475.00,2.92,-2.52,-4.04,0.75
2026-05-19,156.00,158.15,159.38,156.00,65190,1028633130.00,2.16,1.16,1.82,0.54
2026-05-20,158.20,154.80,158.30,154.80,81295,1264191901.00,2.21,-2.12,-3.35,0.67
2026-05-21,154.80,158.26,165.89,154.10,152873,2461681917.00,7.62,2.24,3.46,1.26
2026-05-22,158.00,153.00,158.30,152.90,136239,2107886621.00,3.41,-3.32,-5.26,1.12
2026-05-25,152.58,153.63,155.17,151.36,69034,1059469930.00,2.49,0.41,0.63,0.57
2026-05-26,152.50,153.15,155.59,152.50,69249,1064947260.00,2.01,-0.31,-0.48,0.57
2026-05-27,152.80,154.00,155.68,150.10,109337,1668289244.00,3.64,0.56,0.85,0.90
2026-05-28,152.00,150.78,152.50,148.44,96816,1452862748.00,2.64,-2.09,-3.22,0.80
2026-05-29,150.71,151.83,154.36,150.00,104303,1591733174.00,2.89,0.70,1.05,0.86
2026-06-01,151.65,149.43,152.55,148.80,85597,1284034079.00,2.47,-1.58,-2.40,0.71
2026-06-02,149.02,146.99,149.16,146.71,82259,1213625584.00,1.64,-1.63,-2.44,0.68
2026-06-03,146.69,144.59,146.72,144.58,79354,1151309128.00,1.46,-1.63,-2.40,0.66
2026-06-04,143.33,142.59,143.78,141.88,89145,1271483395.00,1.31,-1.38,-2.00,0.74
2026-06-05,143.64,144.39,145.47,142.93,77960,1124932247.00,1.78,1.26,1.80,0.64
2026-06-08,143.37,142.74,145.00,141.08,80154,1143298111.00,2.71,-1.14,-1.65,0.66
2026-06-09,142.88,142.33,143.50,140.64,62916,893180542.00,2.00,-0.29,-0.41,0.52
2026-06-10,141.43,143.50,143.88,141.00,65778,938962205.00,2.02,0.82,1.17,0.54
2026-06-11,142.60,146.88,147.65,142.50,96108,1398520176.00,3.59,2.36,3.38,0.79
2026-06-12,145.85,151.04,152.29,143.85,125936,1885965177.00,5.75,2.83,4.16,1.04
2026-06-15,151.20,146.50,151.21,146.00,94240,1390759559.00,3.45,-3.01,-4.54,0.78
2026-06-16,146.00,142.90,146.20,142.58,69018,991774773.00,2.47,-2.46,-3.60,0.57
2026-06-17,142.69,143.35,144.24,142.49,53958,773093740.00,1.22,0.31,0.45,0.45
2026-06-18,143.35,140.01,145.25,140.01,104818,1485815106.00,3.66,-2.33,-3.34,0.87
2026-06-22,139.96,141.85,142.50,136.93,106401,1477642494.00,3.98,1.31,1.84,0.88
2026-06-23,141.33,139.38,144.50,139.01,90101,1278496391.00,3.87,-1.74,-2.47,0.74
2026-06-24,141.00,136.73,143.17,136.65,106482,1480071257.00,4.68,-1.90,-2.65,0.88
2026-06-25,135.01,138.16,139.44,134.01,130453,1782104386.00,3.97,1.05,1.43,1.08
2026-06-26,138.98,133.98,140.79,133.83,106566,1447654322.00,5.04,-3.03,-4.18,0.88
2026-06-29,133.34,137.49,139.76,130.66,158541,2156209231.00,6.79,2.62,3.51,1.31
2026-06-30,136.97,135.83,137.49,134.71,89205,1210623026.00,2.02,-1.21,-1.66,0.74
2026-07-01,135.73,141.70,142.50,134.77,130570,1826413720.00,5.69,4.32,5.87,1.08
2026-07-02,142.13,139.20,144.08,137.91,134438,1878805247.00,4.35,-1.76,-2.50,1.11
2026-07-03,140.41,140.02,144.06,138.50,121739,1710892993.00,3.99,0.59,0.82,1.00
2026-07-06,139.85,140.60,142.46,138.31,123219,1735279183.00,2.96,0.41,0.58,1.02
2026-07-07,139.12,138.17,139.88,137.37,83056,1147918635.00,1.79,-1.73,-2.43,0.69
2026-07-08,137.98,138.00,139.15,136.08,72916,1003961633.00,2.22,-0.12,-0.17,0.60
2026-07-09,136.80,139.50,140.77,136.02,90373,1255901563.00,3.44,1.09,1.50,0.75
2026-07-10,139.29,141.57,143.50,137.23,112170,1581801417.00,4.49,1.48,2.07,0.93
2026-07-13,140.10,139.68,140.97,138.42,89955,1254362905.00,1.80,-1.34,-1.89,0.74
2026-07-14,140.61,139.96,141.66,138.55,86751,1213361881.00,2.23,0.20,0.28,0.72
2026-07-15,139.00,146.00,147.56,138.15,190810,2767272548.00,6.72,4.32,6.04,1.58
2026-07-16,145.80,150.31,151.88,145.03,212099,3162466677.00,4.69,2.95,4.31,1.75
2026-07-17,150.31,149.43,152.93,147.55,158473,2367383223.00,3.58,-0.59,-0.88,1.31
2026-07-20,147.61,154.50,155.00,146.76,164064,2484639309.00,5.51,3.39,5.07,1.35
2026-07-21,152.81,152.25,156.00,150.26,166150,2540172900.00,3.72,-1.46,-2.25,1.37
2026-07-22,151.00,152.27,153.39,149.87,106336,1611500665.00,2.31,0.01,0.02,0.88
2026-07-23,150.50,150.80,151.50,149.01,78330,1177755052.00,1.64,-0.97,-1.47,0.65
2026-07-24,150.03,146.38,151.96,146.38,89637,1326910843.00,3.70,-2.93,-4.42,0.74
