date,open,close,high,low,turnover_rate_pct
2025-06-06,22.04,22.27,22.34,22.04,1.06
2025-06-09,22.20,22.14,22.23,21.97,0.79
2025-06-10,22.25,22.08,22.29,21.95,0.71
2025-06-11,22.08,22.30,22.44,22.08,0.77
2025-06-12,22.30,22.45,22.48,22.10,0.62
2025-06-13,22.36,22.32,22.62,22.25,0.85
2025-06-16,22.32,22.23,22.47,22.17,0.67
2025-06-17,22.21,22.19,22.34,22.15,0.41
2025-06-18,22.21,22.13,22.24,21.90,0.51
2025-06-19,22.03,21.63,22.12,21.55,0.64
2025-06-20,21.63,21.59,21.74,21.54,0.44
2025-06-23,21.55,21.65,21.72,21.53,0.39
2025-06-24,21.75,21.92,22.04,21.66,0.68
2025-06-25,21.98,22.13,22.13,21.89,0.67
2025-06-26,22.17,22.21,22.39,22.13,0.86
2025-06-27,22.63,23.57,23.75,22.61,2.96
2025-06-30,24.00,23.43,24.04,23.09,2.09
2025-07-01,23.31,23.79,23.79,22.95,1.92
2025-07-02,23.52,23.79,24.36,23.46,2.98
2025-07-03,23.89,23.83,24.09,23.63,1.75
2025-07-04,23.66,23.48,23.66,23.31,1.51
2025-07-07,23.35,23.27,23.50,23.23,0.89
2025-07-08,23.32,23.41,23.56,23.32,0.87
2025-07-09,23.83,22.91,23.86,22.86,2.52
2025-07-10,22.90,23.06,23.14,22.85,1.23
2025-07-11,23.10,23.48,23.93,23.05,2.59
2025-07-14,23.60,23.60,23.93,23.57,1.61
2025-07-15,23.46,23.41,23.76,23.30,1.12
2025-07-16,23.41,23.21,23.49,23.10,0.77
2025-07-17,23.20,23.17,23.27,23.07,0.84
2025-07-18,23.24,23.57,23.63,23.24,1.31
2025-07-21,23.70,24.40,24.47,23.68,2.53
2025-07-22,23.73,24.09,24.10,23.50,2.52
2025-07-23,24.09,23.84,24.11,23.73,1.84
2025-07-24,23.88,24.38,24.49,23.79,2.11
2025-07-25,24.22,23.96,24.36,23.92,1.41
2025-07-28,23.74,23.89,23.91,23.51,1.19
2025-07-29,23.75,23.65,23.87,23.49,1.10
2025-07-30,23.66,23.45,23.85,23.28,1.12
2025-07-31,23.00,22.48,23.00,22.40,2.34
2025-08-01,22.45,22.56,22.71,22.35,1.02
2025-08-04,22.49,22.71,22.72,22.44,0.96
2025-08-05,22.78,22.93,23.02,22.69,1.06
2025-08-06,22.80,23.52,23.73,22.76,2.08
2025-08-07,23.52,23.46,23.65,23.14,1.30
2025-08-08,23.44,23.83,23.96,23.34,1.65
2025-08-11,23.98,24.02,24.23,23.72,1.53
2025-08-12,24.01,24.03,24.10,23.82,1.04
2025-08-13,24.28,24.91,25.26,24.25,2.64
2025-08-14,24.89,24.72,25.35,24.71,1.95
2025-08-15,24.67,25.34,25.67,24.67,2.05
2025-08-18,25.37,24.88,25.37,24.74,2.32
2025-08-19,24.82,24.51,24.95,24.39,1.67
2025-08-20,24.49,24.82,24.93,24.45,1.29
2025-08-21,24.85,24.64,25.08,24.56,1.08
2025-08-22,24.60,24.72,24.76,24.41,1.18
2025-08-25,25.16,26.97,27.19,25.16,4.51
2025-08-26,26.90,26.83,27.11,26.63,2.52
2025-08-27,26.81,26.09,26.92,26.08,2.13
2025-08-28,25.71,26.08,26.22,25.40,1.99
2025-08-29,26.49,27.90,28.41,26.44,3.91
2025-09-01,28.45,28.96,29.17,27.59,4.71
2025-09-02,29.18,29.00,29.94,28.58,4.27
2025-09-03,29.90,29.70,30.80,29.28,4.75
2025-09-04,29.72,28.61,30.66,28.10,3.96
2025-09-05,28.45,29.39,29.46,28.45,2.98
2025-09-08,29.69,28.53,29.70,28.36,2.72
2025-09-09,28.40,28.66,29.30,28.39,2.81
2025-09-10,28.00,28.60,28.77,27.77,2.17
2025-09-11,28.70,29.00,29.13,28.53,2.19
2025-09-12,29.48,30.97,31.65,29.48,4.38
2025-09-15,30.55,30.28,30.97,30.17,2.84
2025-09-16,30.90,30.06,31.16,29.15,3.27
2025-09-17,29.73,31.06,31.41,29.43,3.50
2025-09-18,30.05,29.07,30.05,28.72,3.82
2025-09-19,28.68,29.00,29.35,28.50,1.90
2025-09-22,29.46,28.65,29.50,28.20,1.98
2025-09-23,28.59,28.44,29.12,28.04,1.76
2025-09-24,28.15,28.52,28.65,27.97,1.46
2025-09-25,30.87,30.26,30.89,29.78,4.88
2025-09-26,30.75,31.30,32.90,30.71,4.11
2025-09-29,31.97,32.26,32.38,31.17,3.54
2025-09-30,33.00,35.49,35.49,32.78,5.00
2025-10-09,39.03,39.04,39.04,38.35,1.71
2025-10-10,40.00,42.10,42.94,39.60,8.70
2025-10-13,38.77,41.40,41.80,38.66,7.45
2025-10-14,42.00,38.58,43.23,38.45,6.68
2025-10-15,38.58,39.69,39.86,36.72,3.85
2025-10-16,39.30,38.46,39.66,38.12,2.93
2025-10-17,38.80,37.32,39.27,37.00,3.29
2025-10-20,37.31,37.21,38.18,36.91,2.82
2025-10-21,37.52,37.72,38.30,37.28,2.56
2025-10-22,36.00,37.12,37.38,35.71,2.19
2025-10-23,36.78,37.13,37.21,36.00,1.87
2025-10-24,37.87,39.09,39.09,37.50,3.91
2025-10-27,40.30,41.53,41.97,39.68,4.67
2025-10-28,41.00,39.19,41.01,39.05,3.95
2025-10-29,39.65,42.94,43.11,39.65,4.96
2025-10-30,42.00,43.35,45.15,41.90,5.89
2025-10-31,42.88,41.09,43.30,41.05,3.64
2025-11-03,40.40,39.91,40.83,38.69,3.05
2025-11-04,39.45,38.60,39.83,38.33,2.25
2025-11-05,37.07,39.17,39.46,37.07,2.48
2025-11-06,39.19,39.95,40.38,39.00,2.98
2025-11-07,39.28,39.87,40.23,38.88,2.18
2025-11-10,40.30,40.25,40.96,39.60,2.53
2025-11-11,40.67,39.27,40.95,39.10,2.30
2025-11-12,38.98,39.02,39.82,38.55,1.64
2025-11-13,39.35,40.47,40.88,38.89,3.09
2025-11-14,39.55,39.14,40.10,38.80,1.89
2025-11-17,38.76,37.83,38.89,37.55,2.11
2025-11-18,37.30,36.96,37.57,36.60,1.78
2025-11-19,37.11,37.40,37.80,36.90,1.55
2025-11-20,37.74,37.12,38.10,37.06,1.24
2025-11-21,36.10,35.67,36.38,35.50,1.73
2025-11-24,35.94,35.90,36.25,35.39,1.11
2025-11-25,36.33,36.86,37.30,36.18,1.43
2025-11-26,36.95,37.11,37.55,36.61,1.24
2025-11-27,37.81,37.28,38.11,37.21,1.42
2025-11-28,36.86,37.43,37.58,36.76,0.98
2025-12-01,39.65,40.86,41.17,39.65,4.32
2025-12-02,39.54,40.46,40.46,39.54,2.46
2025-12-03,40.10,40.47,41.18,39.76,2.31
2025-12-04,42.00,41.11,42.75,41.06,3.27
2025-12-05,41.00,43.32,43.90,41.00,3.83
2025-12-08,43.33,44.74,44.93,42.32,3.93
2025-12-09,43.95,42.03,43.95,41.88,3.46
2025-12-10,42.38,42.39,42.75,41.81,2.08
2025-12-11,43.24,41.18,43.48,41.15,2.45
2025-12-12,42.20,41.66,42.40,41.30,2.13
2025-12-15,40.35,41.16,42.18,40.35,1.86
2025-12-16,41.01,40.56,41.90,40.02,1.82
2025-12-17,40.71,41.37,41.72,40.38,1.88
2025-12-18,41.08,41.01,42.13,40.70,1.57
2025-12-19,41.01,41.85,42.10,40.47,1.80
2025-12-22,42.03,42.58,42.87,42.02,2.21
2025-12-23,42.57,42.08,42.96,41.70,2.22
2025-12-24,42.90,43.10,43.38,42.26,2.19
2025-12-25,42.30,43.92,44.55,41.61,2.87
2025-12-26,44.54,48.31,48.31,44.54,4.84
2025-12-29,50.41,48.99,51.50,48.88,6.56
2025-12-30,46.85,50.25,51.30,46.42,4.48
2025-12-31,50.25,54.92,55.28,50.24,6.21
2026-01-05,55.02,54.30,55.28,52.80,4.91
2026-01-06,56.00,56.97,57.46,54.73,4.68
2026-01-07,55.50,55.28,56.50,54.50,4.02
2026-01-08,54.00,55.03,56.50,53.80,3.22
2026-01-09,54.19,56.50,57.98,54.00,3.53
2026-01-12,57.26,56.02,58.00,55.42,3.24
2026-01-13,55.66,57.21,58.76,55.40,3.43
2026-01-14,57.60,59.80,62.26,57.60,4.68
2026-01-15,59.09,62.00,64.41,58.13,4.53
2026-01-16,62.01,64.11,66.66,61.20,4.99
2026-01-19,62.92,60.50,62.92,57.70,4.45
2026-01-20,61.64,60.90,62.30,58.80,3.40
2026-01-21,60.60,62.19,62.19,59.31,3.10
2026-01-22,61.06,60.30,61.55,59.80,2.48
2026-01-23,60.30,59.61,61.38,59.39,3.81
2026-01-26,60.87,62.82,64.10,60.85,5.19
2026-01-27,60.88,60.80,63.07,59.80,3.83
2026-01-28,60.86,64.32,65.60,59.40,6.21
2026-01-29,65.54,70.47,70.70,61.00,8.15
2026-01-30,65.30,63.42,67.51,63.42,4.37
2026-02-02,57.08,57.08,57.08,57.08,0.67
2026-02-03,55.00,59.05,59.75,54.46,5.34
2026-02-04,60.82,58.86,60.87,58.21,3.13
2026-02-05,56.80,55.86,58.13,54.36,3.44
2026-02-06,53.00,55.12,56.18,52.01,2.60
2026-02-09,56.19,55.46,56.48,55.05,1.95
2026-02-10,55.59,55.60,57.05,55.20,1.77
2026-02-11,55.45,56.47,56.98,55.42,1.87
2026-02-12,56.30,56.59,57.53,56.25,1.85
2026-02-13,55.26,55.03,56.25,55.00,1.80
2026-02-24,56.89,57.11,57.62,56.23,1.98
2026-02-25,57.11,57.64,59.40,56.50,3.29
2026-02-26,57.67,56.90,57.99,56.43,1.87
2026-02-27,56.50,58.04,58.26,56.50,2.49
2026-03-02,58.40,59.61,60.30,55.72,4.30
2026-03-03,58.46,55.82,58.49,55.81,3.00
2026-03-04,54.15,54.86,56.24,54.00,1.93
2026-03-05,55.60,55.08,55.85,54.16,1.79
2026-03-06,54.30,53.59,54.73,52.65,1.91
2026-03-09,51.51,51.77,52.32,49.60,2.80
2026-03-10,52.80,52.44,53.10,52.16,1.55
2026-03-11,52.88,52.08,53.15,51.86,1.53
2026-03-12,51.80,51.55,52.55,50.83,1.67
2026-03-13,51.50,50.74,52.83,50.64,1.75
2026-03-16,49.90,49.25,50.50,47.95,2.61
2026-03-17,49.99,48.52,50.19,48.50,1.43
2026-03-18,48.60,48.26,48.71,47.52,1.44
2026-03-19,46.18,45.67,47.63,45.46,2.39
2026-03-20,46.01,45.00,46.50,44.90,1.62
2026-03-23,43.20,42.45,44.48,42.20,2.25
2026-03-24,43.50,43.73,43.86,42.68,1.87
2026-03-25,45.06,44.74,45.37,44.28,1.93
2026-03-26,44.74,44.21,45.33,44.05,1.19
2026-03-27,42.82,43.89,44.27,42.82,1.60
2026-03-30,43.70,43.78,44.15,43.07,1.29
2026-03-31,44.10,43.00,44.30,42.90,1.21
2026-04-01,44.29,44.55,45.23,43.80,1.72
2026-04-02,44.27,43.26,44.27,42.90,1.12
2026-04-03,43.30,42.46,43.56,42.30,0.81
2026-04-07,42.71,42.84,43.10,42.45,0.80
2026-04-08,45.00,45.64,45.73,44.53,2.44
2026-04-09,44.99,45.05,45.51,44.68,1.21
2026-04-10,45.45,44.90,45.68,44.85,1.35
2026-04-13,44.95,45.54,45.75,44.95,1.80
2026-04-14,46.80,46.34,47.37,45.82,2.25
2026-04-15,47.57,46.87,48.84,46.55,3.37
