date,open,close,high,low,volume_lots,amount_yuan,amplitude_pct,change_pct,change_amount,turnover_rate_pct
2026-04-28,44.44,44.28,44.60,43.80,226917,1003220187.00,1.79,-1.14,-0.51,1.09
2026-04-29,44.00,46.38,46.40,43.95,542468,2470102570.00,5.53,4.74,2.10,2.61
2026-04-30,46.05,45.46,46.15,44.91,413751,1883060227.00,2.67,-1.98,-0.92,1.99
2026-05-06,45.60,46.93,47.10,45.28,594253,2748440368.00,4.00,3.23,1.47,2.86
2026-05-07,47.45,47.60,48.56,46.94,583553,2773784459.00,3.45,1.43,0.67,2.81
2026-05-08,47.00,48.76,49.30,46.51,701111,3352855794.00,5.86,2.44,1.16,3.38
2026-05-11,48.78,48.27,48.78,47.51,642158,3091206774.00,2.60,-1.00,-0.49,3.09
2026-05-12,49.66,49.14,50.37,48.82,830310,4119549202.00,3.21,1.80,0.87,4.00
2026-05-13,50.07,50.06,50.89,49.72,740399,3721572978.00,2.38,1.87,0.92,3.57
2026-05-14,49.81,48.40,51.88,48.39,706381,3532822523.00,6.97,-3.32,-1.66,3.40
2026-05-15,48.03,46.37,48.10,45.86,589999,2748444874.00,4.63,-4.19,-2.03,2.84
2026-05-18,44.78,45.44,45.53,44.20,458871,2059540494.00,2.87,-2.01,-0.93,2.21
2026-05-19,45.11,44.12,45.19,43.37,382938,1687106252.00,4.01,-2.90,-1.32,1.85
2026-05-20,43.20,44.96,45.64,42.75,563322,2480020694.00,6.55,1.90,0.84,2.71
2026-05-21,45.56,43.48,46.32,43.43,435985,1963812526.00,6.43,-3.29,-1.48,2.10
2026-05-22,43.60,45.28,46.01,43.19,487025,2184081918.00,6.49,4.14,1.80,2.35
2026-05-25,46.19,45.03,46.34,44.70,396800,1802157265.00,3.62,-0.55,-0.25,1.91
2026-05-26,44.68,46.54,46.80,43.90,595692,2714145218.00,6.44,3.35,1.51,2.87
2026-05-27,46.53,44.12,46.54,43.93,514472,2303888637.00,5.61,-5.20,-2.42,2.48
2026-05-28,44.00,43.47,44.00,42.30,353298,1523243886.00,3.85,-1.47,-0.65,1.70
2026-05-29,44.25,43.50,45.20,43.20,481312,2119819471.00,4.60,0.07,0.03,2.32
2026-06-01,43.52,43.16,44.29,43.05,337888,1475817349.00,2.85,-0.78,-0.34,1.63
2026-06-02,44.00,47.48,47.48,44.00,840926,3844118712.00,8.06,10.01,4.32,4.05
2026-06-03,48.50,48.02,49.48,47.43,1014734,4930404139.00,4.32,1.14,0.54,4.89
2026-06-04,47.06,46.05,47.70,45.82,576324,2675192725.00,3.92,-4.10,-1.97,2.78
