date,open,close,high,low,turnover_rate_pct
2025-06-09,7.37,7.56,7.57,7.29,0.64
2025-06-10,7.52,7.52,7.66,7.46,0.47
2025-06-11,7.52,7.49,7.58,7.45,0.30
2025-06-12,7.46,7.43,7.49,7.39,0.32
2025-06-13,7.44,7.24,7.44,7.14,0.84
2025-06-16,7.24,7.23,7.32,7.15,0.42
2025-06-17,7.25,7.12,7.25,7.11,0.55
2025-06-18,7.10,7.10,7.12,7.04,0.39
2025-06-19,7.07,6.91,7.11,6.85,0.88
2025-06-20,6.91,6.98,7.04,6.87,0.46
2025-06-23,6.95,6.89,7.06,6.89,0.60
2025-06-24,6.90,6.95,7.00,6.89,0.58
2025-06-25,6.96,7.01,7.03,6.88,0.55
2025-06-26,7.00,6.95,7.04,6.90,0.57
2025-06-27,6.96,6.97,7.01,6.94,0.40
2025-06-30,7.00,6.96,7.01,6.93,0.43
2025-07-01,6.96,7.36,7.43,6.96,1.54
2025-07-02,7.36,7.30,7.42,7.22,0.54
2025-07-03,7.30,7.27,7.36,7.25,0.42
2025-07-04,7.27,7.23,7.34,7.20,0.49
2025-07-07,7.23,7.50,7.52,7.22,0.98
2025-07-08,7.47,7.44,7.52,7.38,0.42
2025-07-09,7.42,7.46,7.53,7.36,0.45
2025-07-10,7.26,7.20,7.28,7.17,0.42
2025-07-11,7.20,7.21,7.24,7.17,0.37
2025-07-14,7.23,7.27,7.32,7.22,0.39
2025-07-15,7.25,7.14,7.29,7.10,0.52
2025-07-16,7.14,7.09,7.16,7.07,0.36
2025-07-17,7.09,7.05,7.13,7.00,0.52
2025-07-18,7.04,6.99,7.06,6.95,0.63
2025-07-21,7.00,6.99,7.01,6.94,0.74
2025-07-22,6.99,7.13,7.15,6.97,0.82
2025-07-23,7.14,7.08,7.18,7.07,0.49
2025-07-24,7.10,7.19,7.20,7.08,0.54
2025-07-25,7.19,7.14,7.22,7.13,0.49
2025-07-28,7.14,6.92,7.16,6.89,1.46
2025-07-29,6.96,6.96,7.06,6.91,0.51
2025-07-30,6.93,7.00,7.08,6.92,0.68
2025-07-31,6.99,6.82,6.99,6.78,0.97
2025-08-01,6.80,6.84,6.88,6.78,0.44
2025-08-04,6.80,6.84,6.85,6.70,0.51
2025-08-05,6.83,6.89,6.93,6.82,0.38
2025-08-06,6.88,6.94,6.94,6.85,0.44
2025-08-07,6.91,6.93,6.99,6.89,0.43
2025-08-08,6.92,6.90,6.94,6.88,0.27
2025-08-11,6.90,6.99,7.02,6.88,0.55
2025-08-12,6.96,7.00,7.08,6.96,0.51
2025-08-13,7.01,6.96,7.03,6.89,0.84
2025-08-14,6.94,6.82,7.00,6.81,1.01
2025-08-15,6.81,6.84,6.89,6.75,0.83
2025-08-18,6.84,6.98,7.12,6.82,1.11
2025-08-19,6.98,7.06,7.10,6.98,0.70
2025-08-20,7.04,7.14,7.18,7.01,0.66
2025-08-21,7.17,7.15,7.23,7.11,0.58
2025-08-22,7.17,7.19,7.20,7.08,0.69
2025-08-25,7.17,7.16,7.19,7.06,0.94
2025-08-26,7.15,7.37,7.43,7.13,1.30
2025-08-27,7.36,7.10,7.36,7.10,0.90
2025-08-28,7.08,7.05,7.15,6.96,1.13
2025-08-29,7.07,6.97,7.12,6.95,1.05
2025-09-01,6.94,6.92,6.96,6.88,1.10
2025-09-02,6.92,6.85,6.97,6.82,0.72
2025-09-03,6.87,6.87,6.90,6.82,0.57
2025-09-04,6.88,6.89,6.91,6.76,0.62
2025-09-05,6.87,6.90,6.91,6.79,0.58
2025-09-08,6.88,6.89,6.93,6.82,0.95
2025-09-09,6.87,6.91,7.08,6.82,0.97
2025-09-10,6.94,6.91,6.94,6.84,0.60
2025-09-11,6.89,6.93,6.94,6.83,0.69
2025-09-12,6.92,6.85,6.98,6.83,0.77
2025-09-15,6.85,6.68,6.85,6.66,1.37
2025-09-16,6.68,6.69,6.78,6.63,0.95
2025-09-17,6.69,6.69,6.74,6.65,0.64
2025-09-18,6.69,6.57,6.69,6.53,1.07
2025-09-19,6.57,6.61,6.63,6.48,0.78
2025-09-22,6.58,6.44,6.58,6.40,1.06
2025-09-23,6.42,6.54,6.62,6.41,0.96
2025-09-24,6.50,6.54,6.56,6.44,0.43
2025-09-25,6.53,6.46,6.55,6.45,0.45
2025-09-26,6.45,6.40,6.50,6.38,0.63
2025-09-29,6.42,6.40,6.43,6.29,0.83
2025-09-30,6.38,6.47,6.50,6.35,0.64
2025-10-09,6.47,6.45,6.47,6.32,0.67
2025-10-10,6.43,6.55,6.57,6.41,0.83
2025-10-13,6.47,6.50,6.54,6.41,0.67
2025-10-14,6.52,6.55,6.60,6.49,0.87
2025-10-15,6.54,6.54,6.56,6.48,0.64
2025-10-16,6.52,6.54,6.68,6.51,1.05
2025-10-17,6.53,6.56,6.68,6.51,0.94
2025-10-20,6.58,6.48,6.59,6.42,0.74
2025-10-21,6.48,6.50,6.53,6.45,0.45
2025-10-22,6.50,6.48,6.55,6.47,0.39
2025-10-23,6.48,6.48,6.49,6.40,0.45
2025-10-24,6.48,6.39,6.54,6.37,0.72
2025-10-27,6.40,6.29,6.41,6.27,1.67
2025-10-28,6.29,6.28,6.31,6.27,0.56
2025-10-29,6.28,6.21,6.28,6.17,1.02
2025-10-30,6.19,6.16,6.24,6.15,0.60
2025-10-31,6.19,6.19,6.23,6.16,1.17
2025-11-03,6.20,6.21,6.22,6.17,0.61
2025-11-04,6.21,6.23,6.31,6.18,1.01
2025-11-05,6.21,6.25,6.28,6.19,0.80
2025-11-06,6.25,6.23,6.27,6.21,0.55
2025-11-07,6.23,6.22,6.26,6.21,0.52
2025-11-10,6.24,6.35,6.35,6.22,1.17
2025-11-11,6.35,6.31,6.36,6.26,0.79
2025-11-12,6.30,6.41,6.49,6.30,1.13
2025-11-13,6.42,6.42,6.44,6.35,0.60
2025-11-14,6.41,6.38,6.47,6.38,0.64
2025-11-17,6.38,6.32,6.38,6.27,0.66
2025-11-18,6.30,6.27,6.34,6.24,0.50
2025-11-19,6.25,6.26,6.31,6.24,0.33
2025-11-20,6.27,6.36,6.39,6.26,0.73
2025-11-21,6.33,6.28,6.37,6.24,0.63
2025-11-24,6.29,6.11,6.31,6.11,1.32
2025-11-25,6.12,6.09,6.14,6.05,0.69
2025-11-26,6.09,6.12,6.14,6.06,0.66
2025-11-27,6.12,6.12,6.20,6.10,0.63
2025-11-28,6.12,6.16,6.17,6.07,0.44
2025-12-01,6.16,6.19,6.21,6.13,0.67
2025-12-02,6.19,6.20,6.24,6.17,0.47
2025-12-03,6.21,6.18,6.22,6.15,0.38
2025-12-04,6.18,6.18,6.21,6.13,0.45
2025-12-05,6.17,6.27,6.32,6.15,0.82
2025-12-08,6.26,6.19,6.30,6.18,0.59
2025-12-09,6.18,6.11,6.19,6.11,0.51
2025-12-10,6.11,6.12,6.13,6.09,0.34
2025-12-11,6.12,6.10,6.13,6.06,0.50
2025-12-12,6.11,6.12,6.14,6.05,0.80
2025-12-15,6.11,6.14,6.17,6.07,0.59
2025-12-16,6.14,6.20,6.23,6.12,0.71
2025-12-17,6.20,6.24,6.26,6.14,0.60
2025-12-18,6.22,6.23,6.30,6.19,0.67
2025-12-19,6.23,6.27,6.30,6.19,0.83
2025-12-22,6.27,6.18,6.27,6.18,0.61
2025-12-23,6.18,6.12,6.19,6.12,0.52
2025-12-24,6.12,6.12,6.14,6.08,0.45
2025-12-25,6.11,6.17,6.18,6.11,0.40
2025-12-26,6.16,6.12,6.18,6.10,0.50
2025-12-29,6.12,6.17,6.34,6.11,1.48
2025-12-30,6.19,6.13,6.19,6.12,0.60
2025-12-31,6.14,6.05,6.20,6.02,1.24
2026-01-05,6.05,6.06,6.08,5.98,0.66
2026-01-06,6.07,6.17,6.19,6.05,0.90
2026-01-07,6.16,6.10,6.17,6.10,0.55
2026-01-08,6.10,6.13,6.14,6.07,0.38
2026-01-09,6.13,6.15,6.16,6.10,0.50
2026-01-12,6.15,6.32,6.40,6.12,1.62
2026-01-13,6.30,6.22,6.33,6.21,0.85
2026-01-14,6.24,6.19,6.30,6.14,0.93
2026-01-15,6.18,6.15,6.22,6.14,0.60
2026-01-16,6.15,6.22,6.22,6.10,0.73
2026-01-19,6.20,6.28,6.31,6.18,0.65
2026-01-20,6.27,6.31,6.32,6.25,0.65
2026-01-21,6.30,6.30,6.38,6.28,0.53
2026-01-22,6.31,6.33,6.37,6.26,0.65
2026-01-23,6.34,6.27,6.35,6.21,0.76
2026-01-26,6.29,6.14,6.29,6.11,1.26
2026-01-27,6.13,6.08,6.15,6.05,0.83
2026-01-28,6.09,6.17,6.19,6.08,0.89
2026-01-29,6.17,6.27,6.28,6.15,0.93
2026-01-30,6.27,6.13,6.30,6.12,0.80
2026-02-02,6.12,6.02,6.16,6.01,1.08
2026-02-03,6.04,6.05,6.08,5.98,0.70
2026-02-04,6.03,6.10,6.12,6.02,0.62
2026-02-05,6.10,6.36,6.38,6.08,2.20
2026-02-06,6.33,6.27,6.36,6.26,0.89
2026-02-09,6.29,6.29,6.30,6.22,0.61
2026-02-10,6.28,6.24,6.29,6.22,0.38
2026-02-11,6.24,6.22,6.26,6.20,0.37
2026-02-12,6.22,6.17,6.23,6.13,0.62
2026-02-13,6.17,6.08,6.17,6.08,0.71
2026-02-24,6.11,6.16,6.25,6.08,0.75
2026-02-25,6.16,6.28,6.38,6.14,1.28
2026-02-26,6.28,6.23,6.29,6.17,0.76
2026-02-27,6.20,6.48,6.50,6.19,1.75
2026-03-02,6.36,6.31,6.37,6.26,1.10
2026-03-03,6.25,6.37,6.54,6.25,1.62
2026-03-04,6.33,6.30,6.50,6.22,1.09
2026-03-05,6.32,6.15,6.34,6.13,1.00
2026-03-06,6.13,6.25,6.27,6.12,0.59
