date,open,close,high,low,volume_lots,amount_yuan,amplitude_pct,change_pct,change_amount,turnover_rate_pct
2026-04-24,6.35,6.38,6.40,6.29,272881,173298607.00,1.73,0.31,0.02,0.57
2026-04-27,6.35,6.41,6.45,6.34,230022,147580786.00,1.72,0.47,0.03,0.48
2026-04-28,6.41,6.40,6.45,6.34,201300,128662226.00,1.72,-0.16,-0.01,0.42
2026-04-29,6.39,6.46,6.50,6.38,271224,175149092.00,1.88,0.94,0.06,0.56
2026-04-30,6.55,6.61,6.67,6.55,468238,309613278.00,1.86,2.32,0.15,0.97
2026-05-06,6.66,6.63,6.66,6.56,397078,262583195.00,1.51,0.30,0.02,0.83
2026-05-07,6.63,6.51,6.64,6.44,444073,289523960.00,3.02,-1.81,-0.12,0.92
2026-05-08,6.51,6.61,6.65,6.49,482338,318739046.00,2.46,1.54,0.10,1.00
2026-05-11,6.23,6.15,6.23,6.10,434087,266915612.00,1.97,-6.96,-0.46,0.90
2026-05-12,6.16,6.16,6.17,6.07,324900,198649336.00,1.63,0.16,0.01,0.68
2026-05-13,6.13,6.11,6.18,6.06,360299,219894137.00,1.95,-0.81,-0.05,0.75
2026-05-14,6.11,6.00,6.13,6.00,289495,174856024.00,2.13,-1.80,-0.11,0.60
2026-05-15,6.01,6.00,6.04,5.96,257349,154337460.00,1.33,0.00,0.00,0.54
2026-05-18,5.98,5.90,5.99,5.86,324283,191337011.00,2.17,-1.67,-0.10,0.68
2026-05-19,5.89,5.93,5.95,5.88,212046,125380212.00,1.19,0.51,0.03,0.44
2026-05-20,5.91,6.05,6.09,5.88,300342,180780821.00,3.54,2.02,0.12,0.63
2026-05-21,6.03,5.93,6.11,5.92,286062,171583427.00,3.14,-1.98,-0.12,0.60
2026-05-22,5.95,5.85,5.96,5.83,255518,149820182.00,2.19,-1.35,-0.08,0.53
2026-05-25,5.83,5.79,5.86,5.75,278809,161681103.00,1.88,-1.03,-0.06,0.58
2026-05-26,5.78,5.81,5.85,5.77,206331,119987309.00,1.38,0.35,0.02,0.43
2026-05-27,5.81,5.69,5.83,5.63,325254,184932973.00,3.44,-2.07,-0.12,0.68
2026-05-28,5.67,5.62,5.72,5.60,180123,102013209.00,2.11,-1.23,-0.07,0.38
2026-05-29,5.63,5.70,5.78,5.61,281876,160434169.00,3.02,1.42,0.08,0.59
2026-06-01,5.70,5.87,5.87,5.67,338111,196234003.00,3.51,2.98,0.17,0.70
2026-06-02,5.87,5.87,5.96,5.81,234307,137932190.00,2.56,0.00,0.00,0.49
2026-06-03,5.87,5.81,5.88,5.76,222786,129479983.00,2.04,-1.02,-0.06,0.46
2026-06-04,5.81,5.74,5.87,5.70,196744,113696638.00,2.93,-1.20,-0.07,0.41
2026-06-05,5.74,5.77,5.83,5.71,198060,114557031.00,2.09,0.52,0.03,0.41
2026-06-08,5.78,5.75,5.78,5.68,205783,117957122.00,1.73,-0.35,-0.02,0.43
2026-06-09,5.74,5.76,5.83,5.71,164127,94736228.00,2.09,0.17,0.01,0.34
2026-06-10,5.75,5.85,5.87,5.72,202623,117721647.00,2.60,1.56,0.09,0.42
2026-06-11,5.83,5.84,5.87,5.76,195354,113431733.00,1.88,-0.17,-0.01,0.41
2026-06-12,5.85,5.96,6.00,5.80,395214,234206236.00,3.42,2.05,0.12,0.82
2026-06-15,5.98,5.90,6.02,5.85,357336,211275094.00,2.85,-1.01,-0.06,0.74
2026-06-16,5.90,5.79,5.90,5.77,236618,137229812.00,2.20,-1.86,-0.11,0.49
2026-06-17,5.76,5.67,5.80,5.65,278905,158804694.00,2.59,-2.07,-0.12,0.58
2026-06-18,5.66,5.60,5.71,5.58,305074,172292991.00,2.29,-1.23,-0.07,0.64
2026-06-22,5.59,5.62,5.64,5.49,267326,148650094.00,2.68,0.36,0.02,0.56
2026-06-23,5.61,5.62,5.71,5.60,224012,126690667.00,1.96,0.00,0.00,0.47
2026-06-24,5.62,5.52,5.66,5.49,239919,133269990.00,3.02,-1.78,-0.10,0.50
2026-06-25,5.50,5.45,5.54,5.41,229372,125293896.00,2.36,-1.27,-0.07,0.48
2026-06-26,5.43,5.37,5.44,5.36,217333,117083114.00,1.47,-1.47,-0.08,0.45
2026-06-29,5.36,5.34,5.44,5.20,352844,188000443.00,4.47,-0.56,-0.03,0.73
2026-06-30,5.32,5.23,5.34,5.09,389887,202722586.00,4.68,-2.06,-0.11,0.81
2026-07-01,5.22,5.36,5.40,5.19,315604,167820164.00,4.02,2.49,0.13,0.66
2026-07-02,5.38,5.46,5.49,5.34,290004,157312217.00,2.80,1.87,0.10,0.60
2026-07-03,5.45,5.56,5.57,5.44,231893,128361880.00,2.38,1.83,0.10,0.48
2026-07-06,5.53,5.64,5.66,5.50,219683,123187907.00,2.88,1.44,0.08,0.46
2026-07-07,5.67,5.57,5.68,5.52,188109,104967860.00,2.84,-1.24,-0.07,0.39
2026-07-08,5.57,5.65,5.66,5.53,243065,136507332.00,2.33,1.44,0.08,0.51
2026-07-09,5.61,5.59,5.66,5.56,274249,153882459.00,1.77,-1.06,-0.06,0.57
2026-07-10,5.60,5.60,5.63,5.51,210018,117160128.00,2.15,0.18,0.01,0.44
2026-07-13,5.58,5.67,5.73,5.57,254785,144383903.00,2.86,1.25,0.07,0.53
2026-07-14,5.66,5.76,5.80,5.65,305441,175699902.00,2.65,1.59,0.09,0.64
2026-07-15,5.77,5.86,5.88,5.73,269379,157334070.00,2.60,1.74,0.10,0.56
2026-07-16,5.87,5.93,5.97,5.83,280718,165693066.00,2.39,1.19,0.07,0.58
2026-07-17,5.93,5.89,6.00,5.88,385674,229173015.00,2.02,-0.67,-0.04,0.80
2026-07-20,5.89,5.99,6.03,5.88,476299,285063466.00,2.55,1.70,0.10,0.99
2026-07-21,5.98,5.95,6.18,5.94,592320,359715400.00,4.01,-0.67,-0.04,1.23
2026-07-22,5.96,5.99,6.01,5.84,366906,217502949.00,2.86,0.67,0.04,0.76
2026-07-23,5.98,5.99,6.04,5.94,305950,183500119.00,1.67,0.00,0.00,0.64
2026-07-24,5.99,5.98,6.05,5.97,262585,157900407.00,1.34,-0.17,-0.01,0.55
2026-07-27,5.97,5.99,6.07,5.94,327156,196277187.00,2.17,0.17,0.01,0.68
