date,open,close,high,low,turnover_rate_pct
2025-06-16,24.35,24.42,24.49,24.27,0.34
2025-06-17,24.48,24.91,24.95,24.46,0.68
2025-06-18,24.86,25.00,25.19,24.83,0.42
2025-06-19,24.95,24.70,25.07,24.62,0.36
2025-06-20,24.70,24.65,24.83,24.60,0.36
2025-06-23,24.47,24.55,24.67,24.25,0.39
2025-06-24,24.55,24.72,24.92,24.55,0.43
2025-06-25,24.78,24.93,24.95,24.65,0.48
2025-06-26,24.93,24.72,25.01,24.71,0.41
2025-06-27,24.80,24.84,25.04,24.62,0.54
2025-06-30,24.88,24.78,24.97,24.74,0.46
2025-07-01,24.80,24.76,24.82,24.71,0.29
2025-07-02,24.77,25.58,25.69,24.73,1.25
2025-07-03,25.59,25.75,25.78,25.33,0.61
2025-07-04,25.69,25.85,26.00,25.55,0.57
2025-07-07,25.85,25.61,25.91,25.43,0.36
2025-07-08,25.66,25.52,25.70,25.45,0.37
2025-07-09,25.55,25.29,25.73,25.25,0.55
2025-07-10,25.31,25.25,25.46,25.16,0.54
2025-07-11,25.30,25.35,25.76,25.26,0.92
2025-07-14,25.41,25.41,25.62,25.35,0.48
2025-07-15,25.53,25.80,25.91,25.43,0.75
2025-07-16,25.83,25.68,26.03,25.62,0.42
2025-07-17,25.68,25.81,26.10,25.63,0.61
2025-07-18,25.88,25.79,25.99,25.63,0.52
2025-07-21,25.85,26.05,26.05,25.78,0.63
2025-07-22,26.04,26.81,26.85,25.95,1.30
2025-07-23,26.81,27.50,27.58,26.81,1.38
2025-07-24,27.50,27.41,27.56,27.04,1.02
2025-07-25,26.45,25.83,26.49,25.80,0.77
2025-07-28,25.83,25.65,25.93,25.60,0.52
2025-07-29,25.61,25.41,25.69,25.32,0.51
2025-07-30,25.43,25.58,25.82,25.30,0.50
2025-07-31,25.57,24.84,25.57,24.75,0.84
2025-08-01,24.92,24.90,25.07,24.79,0.39
2025-08-04,24.79,24.96,25.02,24.77,0.32
2025-08-05,25.01,25.03,25.12,24.83,0.38
2025-08-06,25.04,25.23,25.25,24.91,0.55
2025-08-07,25.19,25.06,25.21,24.95,0.43
2025-08-08,25.06,25.12,25.37,25.00,0.45
2025-08-11,25.14,25.11,25.20,24.98,0.51
2025-08-12,25.18,25.53,25.87,25.17,1.04
2025-08-13,25.67,25.50,25.90,25.41,0.61
2025-08-14,25.50,25.51,25.80,25.46,0.67
2025-08-15,25.46,25.46,25.74,25.20,0.82
2025-08-18,25.51,25.39,25.71,25.39,1.00
2025-08-19,25.57,25.20,25.83,25.20,1.02
2025-08-20,25.28,25.30,25.30,24.91,0.87
2025-08-21,25.32,25.59,25.73,25.12,0.88
2025-08-22,25.68,25.78,25.83,25.55,0.76
2025-08-25,25.79,26.19,26.24,25.79,0.84
2025-08-26,26.20,26.26,26.49,26.02,0.68
2025-08-27,26.26,25.78,26.52,25.78,0.97
2025-08-28,25.77,26.00,26.12,25.61,0.67
2025-08-29,26.60,26.26,27.16,26.23,1.74
2025-09-01,26.49,25.95,26.80,25.94,1.53
2025-09-02,25.99,26.30,26.40,25.74,1.18
2025-09-03,26.35,26.19,26.58,26.00,0.75
2025-09-04,26.11,25.69,26.14,25.48,0.90
