date,open,close,high,low,volume_lots,amount_yuan,amplitude_pct,change_pct,change_amount,turnover_rate_pct
2026-04-21,20.80,20.83,20.95,20.50,687325,1422607435.00,2.17,0.29,0.06,1.10
2026-04-22,20.75,20.68,20.82,20.64,462541,958263970.00,0.86,-0.72,-0.15,0.74
2026-04-23,20.67,20.53,20.71,20.43,511444,1051661719.00,1.35,-0.73,-0.15,0.82
2026-04-24,20.50,20.48,20.56,20.27,468874,957805253.00,1.41,-0.24,-0.05,0.75
2026-04-27,20.48,20.52,20.72,20.44,552433,1136484953.00,1.37,0.20,0.04,0.88
2026-04-28,20.41,21.34,21.36,20.34,1249193,2647450254.00,4.97,4.00,0.82,2.00
2026-04-29,21.38,21.64,21.83,21.38,821626,1777319752.00,2.11,1.41,0.30,1.31
2026-04-30,21.50,21.53,21.81,21.40,506243,1092963470.00,1.89,-0.51,-0.11,0.81
2026-05-06,21.51,21.58,21.66,21.41,526509,1133022076.00,1.16,0.23,0.05,0.84
2026-05-07,21.71,21.44,21.85,21.41,488350,1053850392.00,2.04,-0.65,-0.14,0.78
2026-05-08,21.44,21.39,21.54,21.32,380369,813986706.00,1.03,-0.23,-0.05,0.61
2026-05-11,21.38,21.49,21.73,21.11,888491,1910250701.00,2.90,0.47,0.10,1.42
2026-05-12,21.50,21.22,21.59,21.18,471069,1005999791.00,1.91,-1.26,-0.27,0.75
2026-05-13,21.23,21.08,21.33,20.95,457674,963477251.00,1.79,-0.66,-0.14,0.73
2026-05-14,21.29,21.28,21.58,21.23,745392,1595044044.00,1.66,0.95,0.20,1.19
2026-05-15,21.38,21.40,21.81,21.12,796216,1718087242.00,3.24,0.56,0.12,1.27
2026-05-18,21.40,21.09,21.40,20.82,656719,1380161836.00,2.71,-1.45,-0.31,1.05
2026-05-19,21.09,20.98,21.20,20.91,327701,688866830.00,1.38,-0.52,-0.11,0.52
2026-05-20,20.92,20.88,21.04,20.74,309378,645415526.00,1.43,-0.48,-0.10,0.49
2026-05-21,20.90,20.44,21.02,20.44,493968,1023364168.00,2.78,-2.11,-0.44,0.79
2026-05-22,20.45,20.38,20.55,20.13,451843,918580950.00,2.05,-0.29,-0.06,0.72
2026-05-25,20.34,20.31,20.47,20.18,291053,591383775.00,1.42,-0.34,-0.07,0.47
2026-05-26,20.27,20.22,20.35,20.15,298467,603280003.00,0.98,-0.44,-0.09,0.48
2026-05-27,20.23,20.16,20.33,19.91,428726,860887927.00,2.08,-0.30,-0.06,0.69
2026-05-28,20.05,20.11,20.18,19.93,319537,640717110.00,1.24,-0.25,-0.05,0.51
2026-05-29,20.09,20.88,21.16,20.06,834823,1736036402.00,5.47,3.83,0.77,1.34
2026-06-01,20.88,21.08,21.17,20.71,555967,1166834237.00,2.20,0.96,0.20,0.89
2026-06-02,21.00,21.13,21.28,20.80,408229,857244858.00,2.28,0.24,0.05,0.65
2026-06-03,21.00,20.70,21.01,20.58,569257,1184767224.00,2.04,-2.04,-0.43,0.91
2026-06-04,20.63,20.36,20.79,20.16,373162,762825464.00,3.04,-1.64,-0.34,0.60
2026-06-05,20.36,20.31,20.69,20.29,339541,692757104.00,1.96,-0.25,-0.05,0.54
2026-06-08,20.17,20.17,20.45,20.09,384520,777837969.00,1.77,-0.69,-0.14,0.61
2026-06-09,20.15,20.07,20.23,19.96,408509,819212882.00,1.34,-0.50,-0.10,0.65
2026-06-10,20.08,20.42,20.69,20.02,576166,1176163048.00,3.34,1.74,0.35,0.92
2026-06-11,20.37,21.11,21.13,20.32,770234,1605722996.00,3.97,3.38,0.69,1.23
2026-06-12,20.88,21.13,21.26,20.76,721931,1523058168.00,2.37,0.09,0.02,1.15
2026-06-15,21.20,20.97,21.23,20.69,623387,1303973280.00,2.56,-0.76,-0.16,1.00
2026-06-16,20.91,20.72,20.94,20.56,455209,942132416.00,1.81,-1.19,-0.25,0.73
2026-06-17,20.70,20.49,20.80,20.42,343510,706164509.00,1.83,-1.11,-0.23,0.55
2026-06-18,20.41,19.45,20.46,19.45,903314,1791509069.00,4.93,-5.08,-1.04,1.44
2026-06-22,19.50,19.98,20.11,19.25,488574,961842204.00,4.42,2.72,0.53,0.78
2026-06-23,20.07,19.72,20.33,19.67,446227,890961383.00,3.30,-1.30,-0.26,0.71
2026-06-24,19.80,19.34,19.84,19.30,369036,718327487.00,2.74,-1.93,-0.38,0.59
2026-06-25,19.39,19.86,20.17,19.29,566520,1124243105.00,4.55,2.69,0.52,0.91
