date,open,close,high,low,turnover_rate_pct
2025-06-09,4.13,4.19,4.19,4.13,0.75
2025-06-10,4.19,4.23,4.23,4.17,1.10
2025-06-11,4.22,4.19,4.23,4.19,0.61
2025-06-12,4.19,4.21,4.23,4.17,0.73
2025-06-13,4.21,4.22,4.25,4.21,0.93
2025-06-16,4.22,4.19,4.23,4.17,0.63
2025-06-17,4.19,4.22,4.22,4.15,0.67
2025-06-18,4.22,4.19,4.24,4.19,0.54
2025-06-19,4.19,4.15,4.20,4.13,0.72
2025-06-20,4.15,4.13,4.18,4.13,0.54
2025-06-23,4.13,4.10,4.14,4.09,0.66
2025-06-24,4.11,4.11,4.13,4.10,0.47
2025-06-25,4.12,4.15,4.16,4.11,0.57
2025-06-26,4.15,4.15,4.18,4.14,0.68
2025-06-27,4.15,4.09,4.16,4.08,1.29
2025-06-30,4.10,4.11,4.12,4.10,0.57
2025-07-01,4.10,4.16,4.18,4.10,1.00
2025-07-02,4.17,4.17,4.20,4.15,0.61
2025-07-03,4.17,4.16,4.18,4.13,0.52
2025-07-04,4.16,4.18,4.20,4.15,0.74
2025-07-07,4.19,4.27,4.28,4.18,1.54
2025-07-08,4.28,4.25,4.29,4.22,1.08
2025-07-09,4.26,4.26,4.29,4.24,0.77
2025-07-10,4.27,4.27,4.34,4.26,1.19
2025-07-11,4.28,4.29,4.33,4.27,1.03
2025-07-14,4.29,4.31,4.35,4.28,1.01
2025-07-15,4.32,4.27,4.32,4.25,0.90
2025-07-16,4.27,4.28,4.29,4.25,0.64
2025-07-17,4.29,4.29,4.32,4.28,0.81
2025-07-18,4.30,4.30,4.31,4.28,0.74
2025-07-21,4.31,4.35,4.35,4.31,1.12
2025-07-22,4.35,4.42,4.42,4.34,1.55
2025-07-23,4.43,4.40,4.45,4.39,1.05
2025-07-24,4.40,4.37,4.40,4.34,1.42
2025-07-25,4.37,4.38,4.40,4.36,1.01
2025-07-28,4.17,4.06,4.17,4.04,1.69
2025-07-29,4.07,4.05,4.08,4.03,0.72
2025-07-30,4.05,4.07,4.10,4.05,1.13
2025-07-31,4.05,4.03,4.06,4.00,0.84
2025-08-01,4.03,4.04,4.06,4.02,0.62
2025-08-04,4.03,4.03,4.04,4.00,0.60
2025-08-05,4.03,4.05,4.06,4.02,0.64
2025-08-06,4.04,4.06,4.06,4.03,0.46
2025-08-07,4.06,4.08,4.09,4.04,0.60
2025-08-08,4.08,4.10,4.12,4.06,0.63
2025-08-11,4.10,4.06,4.10,4.04,0.80
2025-08-12,4.06,4.07,4.08,4.03,0.54
2025-08-13,4.07,4.05,4.07,4.04,0.55
2025-08-14,4.05,4.04,4.07,4.03,0.63
2025-08-15,4.04,4.04,4.05,4.02,0.66
2025-08-18,4.05,4.04,4.06,4.03,0.75
2025-08-19,4.05,4.06,4.08,4.04,0.71
2025-08-20,4.06,4.06,4.08,4.03,0.67
2025-08-21,4.06,4.09,4.10,4.05,0.81
2025-08-22,4.09,4.07,4.09,4.04,0.76
2025-08-25,4.07,4.09,4.09,4.06,0.84
2025-08-26,4.09,4.07,4.09,4.07,0.60
2025-08-27,4.08,4.05,4.11,4.04,1.09
2025-08-28,4.05,4.03,4.06,3.99,1.00
2025-08-29,4.03,4.05,4.07,4.02,0.75
2025-09-01,4.05,4.03,4.06,4.02,0.80
2025-09-02,4.03,4.05,4.08,4.02,1.10
2025-09-03,4.05,4.02,4.07,4.01,0.64
2025-09-04,4.02,4.00,4.02,3.96,1.26
2025-09-05,4.00,4.03,4.04,3.98,0.81
2025-09-08,4.04,4.12,4.13,4.03,1.84
2025-09-09,4.12,4.15,4.15,4.09,0.98
2025-09-10,4.15,4.14,4.15,4.09,0.78
2025-09-11,4.14,4.15,4.17,4.12,1.00
2025-09-12,4.15,4.14,4.16,4.13,0.74
2025-09-15,4.14,4.15,4.17,4.13,0.81
2025-09-16,4.15,4.11,4.17,4.10,0.62
2025-09-17,4.12,4.14,4.15,4.10,0.75
2025-09-18,4.14,4.07,4.14,4.06,0.92
2025-09-19,4.09,4.06,4.09,4.04,0.69
2025-09-22,4.06,4.06,4.07,4.03,0.62
2025-09-23,4.05,4.09,4.09,4.04,0.81
2025-09-24,4.09,4.07,4.11,4.05,0.67
2025-09-25,4.07,4.03,4.08,4.02,0.60
2025-09-26,4.03,4.08,4.09,4.02,0.70
2025-09-29,4.08,4.10,4.10,4.04,0.69
2025-09-30,4.10,4.09,4.11,4.06,0.57
2025-10-09,4.09,4.24,4.24,4.08,1.54
2025-10-10,4.23,4.23,4.25,4.20,0.83
2025-10-13,4.17,4.20,4.22,4.12,0.93
2025-10-14,4.20,4.28,4.28,4.18,1.26
2025-10-15,4.26,4.24,4.31,4.19,1.17
2025-10-16,4.24,4.27,4.29,4.20,0.86
2025-10-17,4.27,4.24,4.31,4.23,0.81
2025-10-20,4.25,4.26,4.26,4.16,1.03
2025-10-21,4.25,4.25,4.28,4.23,0.78
2025-10-22,4.24,4.21,4.27,4.19,0.58
2025-10-23,4.21,4.26,4.27,4.18,0.69
2025-10-24,4.25,4.19,4.26,4.18,0.66
2025-10-27,4.19,4.23,4.27,4.16,1.15
