date,open,close,high,low,volume_lots,amount_yuan,amplitude_pct,change_pct,change_amount,turnover_rate_pct
2026-04-21,4.65,4.80,4.81,4.63,839573,397845704.00,3.89,3.67,0.17,1.29
2026-04-22,4.78,4.77,4.88,4.75,639976,308018144.00,2.71,-0.63,-0.03,0.98
2026-04-23,4.60,4.65,4.69,4.50,1328615,609954145.00,3.98,-2.52,-0.12,2.04
2026-04-24,4.62,4.71,4.79,4.61,836727,394338488.00,3.87,1.29,0.06,1.28
2026-04-27,4.69,4.56,4.70,4.55,950713,436033676.00,3.18,-3.18,-0.15,1.46
2026-04-28,4.54,4.65,4.67,4.52,748984,344018755.00,3.29,1.97,0.09,1.15
2026-04-29,4.65,4.69,4.74,4.63,601613,282608346.00,2.37,0.86,0.04,0.92
2026-04-30,4.68,4.64,4.70,4.61,425890,197491554.00,1.92,-1.07,-0.05,0.65
2026-05-06,4.65,4.73,4.74,4.61,715413,334104726.00,2.80,1.94,0.09,1.10
2026-05-07,4.73,4.85,4.86,4.71,904882,435426025.00,3.17,2.54,0.12,1.39
2026-05-08,4.86,4.85,5.09,4.79,958409,470143193.00,6.19,0.00,0.00,1.47
2026-05-11,4.84,4.80,4.94,4.78,1003768,485990639.00,3.30,-1.03,-0.05,1.54
2026-05-12,4.80,4.86,4.93,4.80,1093111,532554907.00,2.71,1.25,0.06,1.67
2026-05-13,4.88,4.95,5.08,4.86,1492818,742675178.00,4.53,1.85,0.09,2.29
2026-05-14,5.00,4.87,5.06,4.87,1170511,580211138.00,3.84,-1.62,-0.08,1.79
2026-05-15,4.85,4.84,4.91,4.73,859409,412641747.00,3.70,-0.62,-0.03,1.32
2026-05-18,4.81,4.93,4.97,4.80,817070,399143283.00,3.51,1.86,0.09,1.25
2026-05-19,4.97,5.42,5.42,4.97,1600658,854031356.00,9.13,9.94,0.49,2.45
2026-05-20,5.70,5.38,5.96,5.36,5110476,2921152283.00,11.07,-0.74,-0.04,7.83
2026-05-21,5.18,5.58,5.88,5.16,3932989,2162883333.00,13.38,3.72,0.20,6.03
2026-05-22,5.32,5.39,5.75,5.19,3009513,1634095276.00,10.04,-3.41,-0.19,4.61
2026-05-25,5.34,5.93,5.93,5.34,3738015,2127525480.00,10.95,10.02,0.54,5.73
2026-05-26,5.92,6.10,6.30,5.70,4593723,2798053604.00,10.12,2.87,0.17,7.04
2026-05-27,5.93,6.71,6.71,5.93,4003190,2543200265.00,12.79,10.00,0.61,6.13
2026-05-28,6.90,6.64,7.31,6.56,6405349,4457842351.00,11.18,-1.04,-0.07,9.81
2026-05-29,6.64,7.30,7.30,6.47,5952848,4214506686.00,12.50,9.94,0.66,9.12
2026-06-01,7.66,7.92,8.03,7.00,7790381,5838420893.00,14.11,8.49,0.62,11.94
2026-06-02,7.49,7.38,7.59,7.20,5832057,4299085599.00,4.92,-6.82,-0.54,8.94
2026-06-03,7.03,7.39,7.79,6.70,6982130,4959862388.00,14.77,0.14,0.01,10.70
2026-06-04,7.14,6.88,7.39,6.86,4325552,3070065674.00,7.17,-6.90,-0.51,6.63
2026-06-05,6.80,6.23,7.08,6.19,4402007,2867241385.00,12.94,-9.45,-0.65,6.74
2026-06-08,5.98,6.06,6.39,5.97,3289652,2033767343.00,6.74,-2.73,-0.17,5.04
2026-06-09,6.00,6.08,6.15,5.76,3491677,2088040760.00,6.44,0.33,0.02,5.35
2026-06-10,5.98,5.62,5.98,5.56,3150896,1800525132.00,6.91,-7.57,-0.46,4.83
2026-06-11,5.50,5.49,5.67,5.46,2243180,1239677223.00,3.74,-2.31,-0.13,3.44
2026-06-12,5.47,5.52,5.58,5.40,2444120,1346627535.00,3.28,0.55,0.03,3.74
2026-06-15,5.50,5.67,5.70,5.41,2252792,1264559196.00,5.25,2.72,0.15,3.45
2026-06-16,5.68,5.72,5.92,5.65,2457737,1415927268.00,4.76,0.88,0.05,3.77
2026-06-17,5.70,5.68,5.83,5.52,2355163,1338665341.00,5.42,-0.70,-0.04,3.61
2026-06-18,5.76,5.36,5.94,5.31,3431623,1921932524.00,11.09,-5.63,-0.32,5.26
2026-06-22,5.36,5.28,5.39,5.17,2409569,1273444927.00,4.10,-1.49,-0.08,3.69
2026-06-23,5.25,5.14,5.34,5.11,1867045,971467889.00,4.36,-2.65,-0.14,2.86
2026-06-24,5.07,5.01,5.13,4.99,1791948,902164599.00,2.72,-2.53,-0.13,2.75
2026-06-25,4.96,4.92,5.02,4.87,1674339,824933144.00,2.99,-1.80,-0.09,2.57
2026-06-26,4.92,4.84,5.09,4.83,1860227,922425099.00,5.28,-1.63,-0.08,2.85
2026-06-29,4.80,4.83,4.90,4.73,1465546,705050315.00,3.51,-0.21,-0.01,2.25
2026-06-30,4.81,4.70,4.82,4.67,1446743,681156554.00,3.11,-2.69,-0.13,2.22
2026-07-01,4.70,4.85,4.87,4.64,1615437,772919097.00,4.89,3.19,0.15,2.48
2026-07-02,4.85,4.66,4.95,4.64,1740743,828403379.00,6.39,-3.92,-0.19,2.67
2026-07-03,4.64,4.60,4.71,4.55,1302953,600354099.00,3.43,-1.29,-0.06,2.00
2026-07-06,4.58,4.47,4.62,4.46,1314966,596003181.00,3.48,-2.83,-0.13,2.01
2026-07-07,4.46,4.31,4.48,4.30,1073527,468843487.00,4.03,-3.58,-0.16,1.64
2026-07-08,4.30,4.36,4.39,4.26,1235243,537252424.00,3.02,1.16,0.05,1.89
2026-07-09,4.34,4.49,4.57,4.32,1807997,805145272.00,5.73,2.98,0.13,2.77
2026-07-10,4.47,4.77,4.84,4.40,2615676,1222072868.00,9.80,6.24,0.28,4.01
2026-07-13,4.69,4.75,4.83,4.66,2135804,1012415687.00,3.56,-0.42,-0.02,3.27
2026-07-14,4.68,4.82,4.82,4.66,1623096,771763925.00,3.37,1.47,0.07,2.49
2026-07-15,4.77,4.77,4.90,4.72,1345835,644652198.00,3.73,-1.04,-0.05,2.06
2026-07-16,4.75,4.62,4.79,4.60,1294004,603977999.00,3.98,-3.14,-0.15,1.98
2026-07-17,4.60,4.56,4.69,4.49,2173309,1000289952.00,4.33,-1.30,-0.06,3.33
2026-07-20,4.56,5.02,5.02,4.54,3321777,1615379088.00,10.53,10.09,0.46,5.09
2026-07-21,5.00,5.16,5.34,4.80,4120345,2081941287.00,10.76,2.79,0.14,6.31
2026-07-22,5.05,5.33,5.39,5.00,3233750,1695213104.00,7.56,3.29,0.17,4.95
2026-07-23,5.20,5.23,5.46,5.12,2986758,1570950339.00,6.38,-1.88,-0.10,4.58
2026-07-24,5.16,4.88,5.20,4.86,2228425,1112384417.00,6.50,-6.69,-0.35,3.41
2026-07-27,4.77,4.96,4.98,4.72,1450010,710352135.00,5.33,1.64,0.08,2.22
2026-07-28,4.74,4.66,4.85,4.64,1338860,631355386.00,4.23,-6.05,-0.30,2.05
2026-07-29,4.64,4.84,4.86,4.59,1666890,796471515.00,5.79,3.86,0.18,2.55
2026-07-30,4.78,5.03,5.03,4.70,2211260,1071612280.00,6.82,3.93,0.19,3.39
2026-07-31,4.91,4.93,5.03,4.89,1712384,847146173.00,2.78,-1.99,-0.10,2.62
2026-08-03,4.90,4.92,4.99,4.86,1219520,600352292.00,2.64,-0.20,-0.01,1.87
