date,open,close,high,low,turnover_rate_pct
2025-06-17,21.31,20.60,21.38,20.56,0.44
2025-06-18,20.65,21.16,21.25,20.27,0.59
2025-06-19,21.10,20.81,21.56,20.74,0.41
2025-06-20,20.91,20.59,21.00,20.58,0.25
2025-06-23,20.43,20.20,20.66,19.98,0.39
2025-06-24,20.41,20.29,20.55,20.23,0.36
2025-06-25,20.49,20.98,21.07,20.49,0.58
2025-06-26,21.40,21.04,21.70,21.02,0.59
2025-06-27,21.04,21.35,21.65,20.72,0.58
2025-06-30,21.48,21.38,21.55,21.20,0.38
2025-07-01,21.26,21.40,21.63,21.00,0.38
2025-07-02,21.20,21.16,21.31,21.05,0.27
2025-07-03,21.26,23.28,23.28,21.26,1.72
2025-07-04,23.31,23.81,24.35,23.28,1.63
2025-07-07,23.80,23.98,24.33,23.34,0.83
2025-07-08,24.88,26.38,26.38,24.80,1.46
2025-07-09,27.00,26.60,27.12,26.50,1.34
2025-07-10,26.90,26.16,26.99,25.88,0.94
2025-07-11,26.10,26.00,26.57,25.88,0.72
2025-07-14,26.00,25.92,26.22,25.40,0.55
2025-07-15,26.30,27.25,27.41,26.17,1.39
2025-07-16,26.99,26.73,27.41,26.65,0.73
2025-07-17,26.63,27.50,27.63,26.63,0.79
2025-07-18,27.49,27.11,27.99,27.06,0.65
2025-07-21,27.00,27.02,27.55,26.75,0.44
2025-07-22,27.00,26.96,28.26,26.80,0.71
2025-07-23,26.50,26.58,26.76,26.35,0.57
2025-07-24,27.19,28.45,28.95,27.05,1.13
2025-07-25,28.45,28.66,29.15,28.41,0.54
2025-07-28,28.94,29.57,29.57,28.61,0.77
2025-07-29,29.56,31.19,31.28,29.31,0.90
2025-07-30,31.00,33.28,34.25,30.29,1.04
2025-07-31,33.26,34.61,35.90,33.20,1.52
2025-08-01,34.00,33.00,34.30,32.48,1.10
2025-08-04,32.40,32.97,33.10,32.21,0.70
2025-08-05,33.50,35.05,35.34,33.11,1.23
2025-08-06,34.10,34.30,34.69,33.55,0.74
2025-08-07,36.20,35.65,37.64,34.72,1.23
2025-08-08,35.73,36.59,37.55,35.06,0.91
2025-08-11,36.50,36.35,37.19,35.10,0.97
2025-08-12,36.47,39.71,39.71,36.47,1.12
2025-08-13,39.72,43.68,43.68,38.95,1.22
2025-08-14,43.96,43.22,45.78,42.98,1.22
2025-08-15,42.59,44.86,45.70,42.50,1.16
2025-08-18,44.80,44.46,45.25,41.66,1.32
2025-08-19,44.02,48.91,48.91,43.68,1.37
2025-08-20,46.50,47.91,48.96,45.80,1.27
2025-08-21,47.42,45.29,48.40,44.57,1.17
2025-08-22,44.50,45.83,47.29,44.00,1.21
2025-08-25,46.50,48.00,48.07,44.70,1.54
2025-08-26,46.88,45.48,47.00,45.48,1.12
2025-08-27,45.00,45.72,47.89,44.51,1.31
2025-08-28,44.60,48.94,49.95,44.22,1.74
2025-08-29,48.00,53.83,53.83,47.14,1.73
2025-09-01,53.99,55.62,56.96,52.30,1.36
2025-09-02,56.70,53.88,58.00,52.51,1.37
2025-09-03,53.88,54.24,55.60,51.08,1.12
2025-09-04,56.50,53.13,57.88,49.93,1.68
2025-09-05,53.30,55.83,57.20,50.60,1.71
2025-09-08,55.00,51.40,56.14,50.38,1.53
2025-09-09,50.40,48.79,51.50,47.50,1.32
2025-09-10,51.60,53.67,53.67,50.60,1.74
2025-09-11,55.80,59.04,59.04,54.65,1.37
2025-09-12,58.88,61.90,63.10,58.03,1.59
2025-09-15,60.00,59.90,61.28,58.50,0.97
2025-09-16,59.87,59.73,61.90,58.87,0.90
2025-09-17,58.90,61.12,63.00,57.71,1.22
2025-09-18,59.39,64.36,67.23,59.39,1.59
2025-09-19,65.64,66.10,68.63,65.00,1.19
2025-09-22,66.55,70.50,71.89,64.64,1.21
2025-09-23,74.72,70.87,74.72,68.50,1.34
2025-09-24,68.80,68.63,69.94,67.50,0.99
2025-09-25,67.88,68.46,69.86,66.19,0.95
2025-09-26,67.55,64.87,68.51,64.65,0.97
2025-09-29,64.85,66.58,67.50,64.85,0.78
2025-09-30,66.80,66.01,69.48,65.52,0.83
2025-10-09,67.11,68.45,70.88,67.00,1.12
2025-10-10,68.31,66.41,69.99,65.46,0.93
2025-10-13,61.00,63.48,64.63,61.00,0.86
2025-10-14,64.99,59.72,65.66,59.25,0.98
2025-10-15,59.72,63.38,63.90,58.50,0.96
2025-10-16,62.00,63.59,64.35,61.70,0.58
2025-10-17,63.00,60.01,63.27,59.90,0.69
2025-10-20,62.00,62.06,63.82,61.07,0.73
2025-10-21,62.94,68.00,68.19,62.42,1.27
2025-10-22,66.99,65.46,67.00,64.50,0.84
2025-10-23,64.80,63.99,65.02,62.70,0.56
2025-10-24,65.18,67.25,67.70,64.06,0.90
2025-10-27,69.26,72.76,73.58,69.26,1.18
2025-10-28,71.18,73.99,75.76,71.05,1.02
2025-10-29,78.12,80.80,81.39,77.90,1.00
2025-10-30,80.00,77.97,83.88,77.70,1.21
2025-10-31,77.95,72.00,78.67,71.50,1.24
2025-11-03,70.36,74.89,76.00,70.21,1.08
2025-11-04,74.77,73.49,75.20,72.47,0.66
2025-11-05,70.31,75.24,75.80,69.87,0.84
2025-11-06,75.24,76.22,76.70,74.10,0.87
2025-11-07,74.07,72.70,74.50,71.63,0.80
2025-11-10,72.00,71.50,72.21,68.00,1.07
2025-11-11,72.00,68.03,72.06,68.00,0.71
2025-11-12,66.45,68.60,69.55,65.66,0.69
2025-11-13,67.58,67.99,68.87,66.19,0.61
2025-11-14,65.80,64.27,66.49,64.26,0.78
2025-11-17,64.39,64.94,66.49,64.32,0.59
2025-11-18,63.65,64.72,66.50,63.20,0.58
2025-11-19,64.50,65.06,66.62,64.20,0.73
2025-11-20,68.06,65.94,68.33,65.00,0.72
2025-11-21,63.05,60.67,63.45,60.08,0.96
2025-11-24,61.00,55.94,61.80,54.60,1.67
2025-11-25,56.36,56.61,58.34,56.16,1.14
2025-11-26,55.31,58.93,61.10,55.02,1.42
2025-11-27,60.02,60.27,63.45,59.91,1.39
2025-11-28,60.24,60.72,60.76,59.02,0.84
2025-12-01,60.03,59.81,60.21,58.00,0.91
2025-12-02,59.83,60.96,62.70,59.72,1.05
2025-12-03,61.00,61.68,62.77,61.00,0.94
2025-12-04,60.88,61.40,62.96,59.68,0.79
2025-12-05,61.99,61.12,62.26,60.00,0.66
2025-12-08,60.75,63.41,64.27,60.38,1.21
2025-12-09,64.00,67.99,68.38,63.18,1.48
2025-12-10,66.84,65.21,66.96,64.00,1.11
2025-12-11,64.01,62.30,64.88,61.61,0.97
2025-12-12,61.00,61.75,62.50,59.86,0.85
2025-12-15,59.50,59.14,60.68,59.11,0.69
2025-12-16,58.95,58.95,60.32,58.38,0.65
2025-12-17,59.10,61.50,61.56,58.68,0.82
2025-12-18,59.56,58.28,59.86,58.25,0.89
2025-12-19,59.19,58.30,59.22,57.74,0.50
2025-12-22,59.47,60.62,61.00,59.12,0.89
2025-12-23,60.56,62.86,63.38,60.32,1.09
2025-12-24,64.18,65.14,66.00,63.59,1.10
2025-12-25,65.40,66.72,68.15,65.40,1.02
2025-12-26,66.50,63.84,66.50,63.80,0.97
2025-12-29,63.74,65.24,66.39,63.73,0.95
2025-12-30,63.80,64.23,65.30,63.01,0.75
2025-12-31,64.24,62.05,64.54,61.86,0.79
2026-01-05,63.29,63.67,64.28,62.71,0.80
2026-01-06,63.67,64.05,64.97,62.86,0.86
2026-01-07,63.41,63.15,64.66,62.60,0.83
2026-01-08,63.31,61.33,63.47,61.07,0.94
2026-01-09,60.50,61.48,61.75,60.05,0.79
