date,open,close,high,low,volume_lots,amount_yuan,amplitude_pct,change_pct,change_amount,turnover_rate_pct
2026-04-27,66.01,67.25,68.00,65.38,2358367,15753240739.00,4.03,3.45,2.24,1.19
2026-04-28,67.25,68.20,68.99,66.92,2371396,16104810976.00,3.08,1.41,0.95,1.20
2026-04-29,67.77,66.26,67.77,64.00,2823039,18504468732.00,5.53,-2.84,-1.94,1.42
2026-04-30,65.90,62.88,66.20,62.71,2924075,18634450951.00,5.27,-5.10,-3.38,1.47
2026-05-06,63.28,63.08,63.88,61.74,2652838,16736719749.00,3.40,0.32,0.20,1.34
2026-05-07,64.09,64.18,64.59,63.00,2103300,13456075113.00,2.52,1.74,1.10,1.06
2026-05-08,63.00,63.28,64.20,62.77,1620171,10254090368.00,2.23,-1.40,-0.90,0.82
2026-05-11,64.20,65.85,65.87,63.00,2724029,17645516254.00,4.54,4.06,2.57,1.37
2026-05-12,65.87,64.40,65.90,63.23,2135259,13728801889.00,4.05,-2.20,-1.45,1.08
2026-05-13,64.10,70.84,70.84,63.86,4073570,28051301354.00,10.84,10.00,6.44,2.05
2026-05-14,74.00,68.60,74.00,67.28,4017452,28126042207.00,9.49,-3.16,-2.24,2.02
2026-05-15,69.50,67.62,71.76,67.37,3425679,23796804494.00,6.40,-1.43,-0.98,1.73
2026-05-18,65.88,68.98,70.23,64.95,2518482,17163107305.00,7.81,2.01,1.36,1.27
2026-05-19,68.30,68.56,69.04,66.40,1914641,12976776949.00,3.83,-0.61,-0.42,0.96
2026-05-20,68.20,68.15,68.49,66.50,2102607,14152923401.00,2.90,-0.60,-0.41,1.06
2026-05-21,69.20,65.50,69.50,65.00,2096550,14161386862.00,6.60,-3.89,-2.65,1.06
2026-05-22,66.11,67.16,67.66,64.50,1947455,12964388899.00,4.82,2.53,1.66,0.98
2026-05-25,68.00,70.30,70.50,67.30,2659917,18455962193.00,4.76,4.68,3.14,1.34
2026-05-26,69.86,69.98,70.80,68.00,2189253,15170852152.00,3.98,-0.46,-0.32,1.10
2026-05-27,69.90,70.08,73.74,69.69,2892366,20706825172.00,5.79,0.14,0.10,1.46
2026-05-28,70.00,75.00,76.28,68.89,3616913,26437566091.00,10.55,7.02,4.92,1.82
2026-05-29,78.75,73.40,79.63,73.10,3593584,27385462209.00,8.71,-2.13,-1.60,1.81
2026-06-01,75.20,73.75,76.50,72.19,3013251,22439242130.00,5.87,0.48,0.35,1.52
2026-06-02,75.00,80.01,81.11,73.85,3778912,29404852121.00,9.84,8.49,6.26,1.90
2026-06-03,79.95,81.05,84.95,78.43,3866136,31591777538.00,8.15,1.30,1.04,1.95
2026-06-04,80.00,78.55,80.86,77.35,2805857,22120464645.00,4.33,-3.08,-2.50,1.41
2026-06-05,77.50,74.06,78.21,73.10,2616486,19787640639.00,6.51,-5.72,-4.49,1.32
2026-06-08,69.99,70.48,73.30,69.34,1973161,14013578688.00,5.35,-4.83,-3.58,0.99
2026-06-09,71.99,74.74,74.88,70.88,2025786,14788287833.00,5.68,6.04,4.26,1.02
2026-06-10,72.90,71.13,73.50,70.25,1464118,10529777250.00,4.35,-4.83,-3.61,0.74
2026-06-11,69.82,69.52,71.55,68.20,1484767,10344069361.00,4.71,-2.26,-1.61,0.75
2026-06-12,71.94,70.13,72.26,70.00,1465028,10432761744.00,3.25,0.88,0.61,0.74
2026-06-15,71.47,73.40,73.40,70.48,1626218,11779207886.00,4.16,4.66,3.27,0.82
2026-06-16,73.40,72.90,74.99,72.50,1741995,12770877348.00,3.39,-0.68,-0.50,0.88
2026-06-17,71.70,72.64,72.83,71.00,1654286,11897341771.00,2.51,-0.36,-0.26,0.83
2026-06-18,72.00,78.08,79.90,71.95,4249682,33063388881.00,10.94,7.49,5.44,2.14
2026-06-22,78.08,78.88,79.41,75.80,2989520,23317728240.00,4.62,1.02,0.80,1.51
2026-06-23,78.88,74.10,78.89,73.70,2416537,18313377283.00,6.58,-6.06,-4.78,1.22
2026-06-24,73.00,76.78,76.99,73.00,2147290,16215753143.00,5.38,3.62,2.68,1.08
2026-06-25,77.59,76.99,77.70,74.85,1961813,14951305125.00,3.71,0.27,0.21,0.99
2026-06-26,75.00,70.22,75.00,70.00,2623513,18933025618.00,6.49,-8.79,-6.77,1.32
2026-06-29,69.30,69.61,71.46,66.50,1964970,13558013854.00,7.06,-0.87,-0.61,0.99
2026-06-30,69.56,72.15,72.96,69.18,1637706,11723794622.00,5.43,3.65,2.54,0.83
2026-07-01,73.00,70.00,73.88,69.50,1629668,11646584106.00,6.07,-2.98,-2.15,0.82
2026-07-02,67.46,64.02,67.47,63.63,1935915,12656687222.00,5.49,-8.54,-5.98,0.98
2026-07-03,63.50,64.72,66.22,62.99,1301297,8461745562.00,5.05,1.09,0.70,0.66
2026-07-06,65.77,63.59,66.00,61.50,1231123,7815327977.00,6.95,-1.75,-1.13,0.62
2026-07-07,63.17,63.78,64.65,62.50,958989,6117004011.00,3.38,0.30,0.19,0.48
2026-07-08,65.00,66.01,67.57,64.32,1803771,11892708830.00,5.10,3.50,2.23,0.91
2026-07-09,66.61,69.53,69.66,65.61,1736829,11766028778.00,6.14,5.33,3.52,0.88
2026-07-10,71.00,66.27,71.00,66.20,2082384,14277350494.00,6.90,-4.69,-3.26,1.05
2026-07-13,65.30,63.08,66.16,62.50,1264134,8102096295.00,5.52,-4.81,-3.19,0.64
2026-07-14,62.90,65.60,65.75,62.08,1422285,9114464714.00,5.82,3.99,2.52,0.72
2026-07-15,65.88,63.62,65.99,63.50,917560,5924843328.00,3.80,-3.02,-1.98,0.46
2026-07-16,62.35,63.02,64.94,61.46,982867,6234675296.00,5.47,-0.94,-0.60,0.50
2026-07-17,62.02,57.59,62.44,56.82,1549043,9200843618.00,8.92,-8.62,-5.43,0.78
2026-07-20,58.88,56.50,59.69,55.04,1477885,8488593157.00,8.07,-1.89,-1.09,0.74
2026-07-21,57.50,60.98,61.90,55.31,1856786,10894852394.00,11.66,7.93,4.48,0.94
2026-07-22,60.26,60.71,62.98,59.88,1586872,9759614577.00,5.08,-0.44,-0.27,0.80
2026-07-23,61.99,62.88,64.15,60.99,1599235,10074798902.00,5.21,3.57,2.17,0.81
2026-07-24,61.05,60.25,61.42,60.17,1110640,6745295976.00,1.99,-4.18,-2.63,0.56
2026-07-27,59.88,61.55,61.55,59.50,815802,4963719056.00,3.40,2.16,1.30,0.41
2026-07-28,58.88,58.08,60.79,57.80,1245020,7363428136.00,4.86,-5.64,-3.47,0.63
2026-07-29,58.08,57.75,58.90,55.70,1156169,6609570232.00,5.51,-0.57,-0.33,0.58
2026-07-30,57.00,53.80,57.38,53.22,1525984,8348593165.00,7.20,-6.84,-3.95,0.77
2026-07-31,57.14,56.70,57.57,56.30,1481833,8432426547.00,2.36,5.39,2.90,0.75
2026-08-03,55.53,55.90,56.80,54.64,948043,5277380191.00,3.81,-1.41,-0.80,0.48
2026-08-04,56.81,59.93,60.00,56.81,1679347,9861684404.00,5.71,7.21,4.03,0.85
2026-08-05,59.00,65.92,65.92,58.90,2882234,18553114802.00,11.71,9.99,5.99,1.45
2026-08-06,65.55,68.27,69.80,64.87,2466615,16718421116.00,7.48,3.56,2.35,1.24
2026-08-07,68.27,68.18,69.65,67.48,1610439,11014238377.00,3.18,-0.13,-0.09,0.81
2026-08-10,69.00,69.18,70.97,67.65,1644179,11393974962.00,4.87,1.47,1.00,0.83
2026-08-11,67.93,66.01,68.19,65.52,1358341,9051098041.00,3.86,-4.58,-3.17,0.68
2026-08-12,66.46,65.60,66.77,64.51,1301531,8539389599.00,3.42,-0.62,-0.41,0.66
2026-08-13,67.99,65.23,68.08,65.20,1468897,9785252845.00,4.39,-0.56,-0.37,0.74
2026-08-14,65.60,66.19,66.48,64.80,1071503,7034739811.00,2.58,1.47,0.96,0.54
2026-08-17,67.00,68.23,68.50,66.43,1615543,10932733891.00,3.13,3.08,2.04,0.81
2026-08-18,67.70,66.20,67.70,65.65,1315817,8747299765.00,3.00,-2.98,-2.03,0.66
2026-08-19,64.10,61.83,64.38,61.30,1389270,8731974574.00,4.65,-6.60,-4.37,0.70
2026-08-20,62.50,62.13,62.95,61.50,781185,4868591182.00,2.35,0.49,0.30,0.39
2026-08-21,61.65,62.84,63.38,61.38,794348,4961497062.00,3.22,1.14,0.71,0.40
2026-08-24,62.70,60.40,62.70,59.22,980155,5939783475.00,5.54,-3.88,-2.44,0.49
