date,open,close,high,low,turnover_rate_pct
2025-06-12,6.94,6.92,6.98,6.90,0.90
2025-06-13,6.92,6.80,6.95,6.80,1.62
2025-06-16,6.82,6.90,6.95,6.80,0.99
2025-06-17,6.89,6.93,6.95,6.85,0.61
2025-06-18,6.96,6.92,7.00,6.86,0.59
2025-06-19,6.90,6.79,6.91,6.77,0.71
2025-06-20,6.80,6.90,6.92,6.77,0.79
2025-06-23,6.87,6.91,6.95,6.85,0.62
2025-06-24,6.92,6.94,7.05,6.91,1.01
2025-06-25,6.94,6.92,6.95,6.85,0.98
2025-06-26,6.91,6.97,7.02,6.90,1.10
2025-06-27,7.02,7.12,7.18,7.02,1.48
2025-06-30,7.13,7.04,7.14,7.01,1.17
2025-07-01,7.05,7.08,7.08,6.95,1.01
2025-07-02,7.06,7.19,7.20,7.03,1.36
2025-07-03,7.21,7.18,7.23,7.15,0.87
2025-07-04,7.16,7.16,7.23,7.09,0.90
2025-07-07,7.12,7.04,7.13,7.03,0.93
2025-07-08,7.01,7.06,7.07,7.01,0.79
2025-07-09,7.09,6.98,7.11,6.97,1.15
2025-07-10,7.00,7.13,7.17,7.00,1.46
2025-07-11,7.14,7.27,7.39,7.12,1.76
2025-07-14,7.22,7.18,7.32,7.18,1.14
2025-07-15,7.18,7.15,7.25,7.06,0.84
2025-07-16,7.11,7.11,7.17,7.09,0.63
2025-07-17,7.11,7.14,7.20,7.09,0.66
2025-07-18,7.17,7.24,7.28,7.15,0.92
2025-07-21,7.42,7.63,7.70,7.36,2.28
2025-07-22,7.58,7.77,7.77,7.54,1.78
2025-07-23,7.78,7.64,7.81,7.63,1.30
2025-07-24,7.61,7.81,7.83,7.60,1.53
2025-07-25,7.80,7.72,7.93,7.70,1.37
2025-07-28,7.60,7.63,7.71,7.50,1.06
2025-07-29,7.63,7.71,7.73,7.62,0.95
2025-07-30,7.72,7.73,7.84,7.70,1.02
2025-07-31,7.62,7.43,7.67,7.40,1.34
2025-08-01,7.41,7.39,7.52,7.36,0.73
2025-08-04,7.35,7.44,7.45,7.32,0.74
2025-08-05,7.44,7.48,7.48,7.40,0.93
2025-08-06,7.47,7.53,7.58,7.45,0.95
2025-08-07,7.59,7.54,7.64,7.43,1.01
2025-08-08,7.39,7.54,7.61,7.36,1.10
2025-08-11,7.55,7.51,7.58,7.48,0.97
2025-08-12,7.51,7.59,7.63,7.47,1.02
2025-08-13,7.63,7.73,7.79,7.61,1.49
2025-08-14,7.70,7.65,7.76,7.65,1.15
2025-08-15,7.63,7.96,8.04,7.62,2.08
2025-08-18,7.93,7.72,7.95,7.72,2.29
2025-08-19,7.73,7.63,7.80,7.60,1.48
2025-08-20,7.58,7.67,7.73,7.56,1.21
2025-08-21,7.67,7.66,7.75,7.63,1.10
2025-08-22,7.66,7.72,7.74,7.60,1.16
2025-08-25,7.82,8.08,8.12,7.82,2.83
2025-08-26,8.03,8.18,8.22,7.97,1.80
2025-08-27,8.18,7.97,8.27,7.96,2.04
2025-08-28,7.85,7.89,7.90,7.67,2.38
2025-08-29,7.91,7.83,8.10,7.80,3.05
2025-09-01,7.93,7.85,7.97,7.77,2.47
2025-09-02,7.90,7.83,7.97,7.75,2.31
2025-09-03,7.89,7.80,7.98,7.71,2.39
2025-09-04,7.76,7.43,7.81,7.32,2.63
2025-09-05,7.41,7.70,7.73,7.38,1.87
2025-09-08,7.69,7.62,7.75,7.56,1.44
2025-09-09,7.64,7.66,7.82,7.59,1.69
2025-09-10,7.60,7.60,7.64,7.48,1.18
2025-09-11,7.60,7.83,7.85,7.58,1.77
2025-09-12,7.98,8.04,8.19,7.97,3.15
2025-09-15,8.08,8.07,8.17,8.00,1.80
2025-09-16,8.13,7.88,8.17,7.71,2.74
2025-09-17,7.84,7.95,7.99,7.78,1.57
2025-09-18,7.84,7.64,7.84,7.58,2.16
2025-09-19,7.69,7.74,7.84,7.64,1.43
2025-09-22,7.78,7.69,7.81,7.60,1.15
2025-09-23,7.65,7.58,7.72,7.49,1.31
2025-09-24,7.53,7.60,7.61,7.44,1.28
2025-09-25,7.68,7.61,7.76,7.56,1.70
2025-09-26,7.56,7.62,7.72,7.53,1.72
2025-09-29,7.69,8.15,8.18,7.64,3.76
2025-09-30,8.13,8.24,8.27,8.09,2.41
2025-10-09,8.49,8.68,8.69,8.32,4.08
2025-10-10,8.58,8.62,8.82,8.48,2.81
2025-10-13,8.28,8.57,8.62,8.28,2.85
2025-10-14,8.82,8.64,9.27,8.58,4.74
2025-10-15,8.74,8.87,8.98,8.62,2.95
2025-10-16,8.80,8.72,8.98,8.62,2.35
2025-10-17,8.72,8.47,8.86,8.45,2.13
2025-10-20,8.51,8.37,8.57,8.32,1.77
2025-10-21,8.45,8.62,8.77,8.43,2.26
2025-10-22,8.42,8.75,8.80,8.39,2.14
2025-10-23,8.78,9.04,9.14,8.70,3.57
2025-10-24,9.20,9.23,9.48,9.02,3.15
2025-10-27,9.27,9.40,9.41,9.11,3.07
2025-10-28,9.35,9.26,9.72,9.24,3.50
2025-10-29,9.38,9.91,10.05,9.34,3.75
2025-10-30,9.81,10.31,10.50,9.78,4.18
2025-10-31,10.25,9.99,10.30,9.95,3.23
2025-11-03,10.14,10.17,10.22,9.75,3.06
2025-11-04,10.16,9.85,10.39,9.76,2.87
2025-11-05,9.51,9.87,9.90,9.46,2.18
2025-11-06,9.87,10.86,10.86,9.83,5.29
2025-11-07,10.70,10.75,10.99,10.65,3.79
2025-11-10,10.82,11.10,11.26,10.68,4.21
2025-11-11,11.10,10.98,11.22,10.90,2.57
2025-11-12,10.98,11.71,11.74,10.93,4.44
2025-11-13,11.70,12.17,12.30,11.55,4.68
2025-11-14,11.85,11.66,12.06,11.65,3.42
2025-11-17,11.41,11.16,11.49,11.03,3.89
2025-11-18,10.91,10.75,11.05,10.62,3.49
2025-11-19,10.78,10.98,11.11,10.78,2.68
2025-11-20,11.10,11.04,11.30,10.99,2.23
2025-11-21,10.72,10.52,10.91,10.50,2.82
2025-11-24,10.58,10.49,10.65,10.19,2.53
2025-11-25,10.67,10.55,10.70,10.42,1.94
2025-11-26,10.54,10.39,10.63,10.33,1.62
2025-11-27,10.61,10.44,10.76,10.42,1.86
2025-11-28,10.39,10.51,10.64,10.31,1.32
2025-12-01,10.78,10.69,10.92,10.57,2.71
2025-12-02,10.61,10.58,10.64,10.44,1.24
2025-12-03,10.55,11.03,11.27,10.55,3.05
2025-12-04,11.27,10.89,11.30,10.84,2.41
2025-12-05,10.92,11.40,11.49,10.92,2.93
2025-12-08,11.33,11.27,11.34,11.02,2.64
2025-12-09,11.14,10.59,11.15,10.48,3.09
2025-12-10,10.58,10.72,10.73,10.47,1.56
2025-12-11,10.80,10.47,10.88,10.46,1.81
2025-12-12,10.68,10.75,10.79,10.60,2.40
2025-12-15,10.53,10.54,10.80,10.47,1.55
2025-12-16,10.44,10.28,10.50,10.09,1.54
2025-12-17,10.38,10.59,10.66,10.32,1.37
2025-12-18,10.59,10.53,10.77,10.51,1.10
2025-12-19,10.58,10.85,10.93,10.43,1.74
2025-12-22,11.05,10.97,11.10,10.86,1.55
2025-12-23,10.89,10.97,11.25,10.85,1.72
2025-12-24,11.00,11.07,11.09,10.80,1.64
2025-12-25,10.97,10.96,10.98,10.82,1.23
2025-12-26,10.99,11.84,11.94,10.97,3.60
2025-12-29,11.87,11.45,11.94,11.41,3.23
2025-12-30,11.13,11.99,12.12,11.12,3.11
2025-12-31,11.99,12.22,12.38,11.96,3.02
2026-01-05,12.72,13.02,13.30,12.61,3.48
2026-01-06,13.28,13.97,14.18,13.28,4.29
2026-01-07,13.96,14.05,14.24,13.62,3.64
2026-01-08,13.70,13.65,14.05,13.48,2.86
2026-01-09,13.49,14.05,14.30,13.49,2.98
2026-01-12,14.34,13.85,14.44,13.62,3.60
2026-01-13,13.80,13.97,14.37,13.69,2.89
2026-01-14,14.10,13.63,14.43,13.56,4.10
2026-01-15,13.48,13.74,14.18,13.32,3.20
2026-01-16,13.75,13.26,14.09,13.10,4.00
2026-01-19,13.25,13.33,13.41,12.83,2.74
2026-01-20,13.40,13.29,13.62,12.93,2.63
2026-01-21,13.20,13.40,13.46,13.02,2.03
2026-01-22,13.40,13.28,13.50,13.21,2.09
2026-01-23,13.39,13.23,13.52,13.08,3.61
2026-01-26,13.46,13.40,13.86,13.33,5.13
2026-01-27,13.34,13.27,13.70,13.11,3.88
2026-01-28,13.45,14.60,14.60,13.13,6.30
2026-01-29,15.01,15.70,15.85,14.24,8.10
2026-01-30,14.70,14.13,15.01,14.13,5.90
2026-02-02,13.01,12.72,13.60,12.72,5.98
2026-02-03,13.10,13.14,13.19,12.67,3.61
2026-02-04,13.37,13.44,13.54,13.22,2.56
2026-02-05,13.13,12.64,13.26,12.36,2.91
2026-02-06,12.18,12.89,13.08,12.18,2.25
2026-02-09,13.12,13.05,13.20,12.88,1.56
2026-02-10,13.12,13.15,13.26,13.01,1.50
2026-02-11,13.06,13.32,13.45,13.05,1.61
2026-02-12,13.26,13.21,13.44,13.20,1.43
2026-02-13,12.97,12.69,13.09,12.66,1.97
2026-02-24,13.01,12.96,13.12,12.87,1.51
2026-02-25,13.07,13.53,13.79,13.01,2.46
2026-02-26,13.75,13.46,13.78,13.34,1.79
2026-02-27,13.35,13.72,13.92,13.32,2.08
2026-03-02,13.88,14.27,14.31,13.47,3.62
2026-03-03,14.29,13.97,14.55,13.80,3.42
2026-03-04,14.17,14.45,14.85,14.11,3.63
2026-03-05,14.85,14.79,15.20,14.44,4.10
2026-03-06,14.39,13.97,14.39,13.71,2.85
2026-03-09,14.30,14.02,14.44,13.88,2.80
2026-03-10,13.57,13.70,13.82,13.51,2.04
2026-03-11,13.76,13.96,14.06,13.68,2.10
2026-03-12,14.20,14.76,14.90,14.03,3.88
2026-03-13,14.70,14.08,15.00,13.97,3.00
2026-03-16,14.18,13.54,14.25,13.06,3.59
2026-03-17,13.59,13.02,13.92,13.00,2.44
2026-03-18,12.95,12.64,12.95,12.45,2.42
2026-03-19,12.29,11.83,12.49,11.73,2.88
2026-03-20,11.67,11.53,11.99,11.50,2.24
2026-03-23,11.02,11.05,11.47,10.89,2.57
2026-03-24,11.30,11.30,11.34,10.90,2.05
2026-03-25,11.55,11.51,11.72,11.41,2.03
2026-03-26,11.45,11.31,11.58,11.21,1.49
2026-03-27,11.11,11.44,11.51,11.06,1.44
2026-03-30,12.00,11.97,12.22,11.67,4.86
2026-03-31,11.98,11.40,12.00,11.34,3.11
2026-04-01,11.63,11.56,11.68,11.43,2.29
2026-04-02,11.75,11.68,11.95,11.61,2.61
2026-04-03,11.60,11.21,11.64,11.18,1.74
2026-04-07,11.30,11.39,11.43,11.06,1.76
2026-04-08,11.76,12.23,12.32,11.75,3.56
2026-04-09,12.15,12.77,12.80,12.03,3.17
2026-04-10,12.69,12.35,12.72,12.30,2.49
2026-04-13,12.21,12.16,12.28,11.96,1.86
2026-04-14,12.50,12.46,12.64,12.32,1.98
2026-04-15,12.53,12.30,12.76,12.24,1.65
2026-04-16,12.54,12.80,12.80,12.54,2.31
2026-04-17,12.70,12.69,12.80,12.55,1.47
2026-04-20,12.59,12.31,12.60,12.23,2.17
2026-04-21,12.24,12.15,12.24,12.00,1.39
