date,open,close,high,low,volume_lots,amount_yuan,amplitude_pct,change_pct,change_amount,turnover_rate_pct
2026-04-15,12.53,12.30,12.76,12.24,2169320,2699007950.00,4.17,-1.28,-0.16,1.65
2026-04-16,12.54,12.80,12.80,12.54,3043629,3867436570.00,2.11,4.07,0.50,2.31
2026-04-17,12.70,12.69,12.80,12.55,1941854,2459197376.00,1.95,-0.86,-0.11,1.47
2026-04-20,12.59,12.31,12.60,12.23,2863350,3528698861.00,2.92,-2.99,-0.38,2.17
2026-04-21,12.24,12.15,12.24,12.00,1831098,2218110458.00,1.95,-1.30,-0.16,1.39
2026-04-22,12.01,12.08,12.14,11.93,1997331,2405230184.00,1.73,-0.58,-0.07,1.52
2026-04-23,12.17,11.90,12.20,11.76,2308663,2753803967.00,3.64,-1.49,-0.18,1.75
2026-04-24,11.87,12.07,12.11,11.85,2061886,2472193531.00,2.18,1.43,0.17,1.57
2026-04-27,12.07,11.98,12.08,11.85,2008415,2401834581.00,1.91,-0.75,-0.09,1.52
2026-04-28,11.85,11.66,11.89,11.60,2075226,2430211502.00,2.42,-2.67,-0.32,1.58
2026-04-29,11.58,11.91,11.92,11.52,2021628,2383963726.00,3.43,2.14,0.25,1.53
2026-04-30,11.78,11.65,11.79,11.55,2040033,2374777921.00,2.02,-2.18,-0.26,1.55
2026-05-06,11.77,12.14,12.15,11.66,3377754,4031412354.00,4.21,4.21,0.49,2.56
2026-05-07,12.13,11.94,12.23,11.76,2468830,2947525744.00,3.87,-1.65,-0.20,1.87
2026-05-08,11.82,11.90,11.95,11.64,1935965,2284883007.00,2.60,-0.34,-0.04,1.47
2026-05-11,11.90,11.78,12.06,11.67,2604400,3082065956.00,3.28,-1.01,-0.12,1.98
2026-05-12,11.90,11.68,11.94,11.66,1819577,2140220637.00,2.38,-0.85,-0.10,1.38
2026-05-13,11.65,11.87,11.90,11.65,2182643,2578600733.00,2.14,1.63,0.19,1.66
2026-05-14,11.88,11.61,12.19,11.61,2585371,3069395156.00,4.89,-2.19,-0.26,1.96
2026-05-15,11.50,10.93,11.52,10.84,3357987,3726558984.00,5.86,-5.86,-0.68,2.55
2026-05-18,10.60,10.52,10.66,10.44,2364548,2492760278.00,2.01,-3.75,-0.41,1.79
2026-05-19,10.58,10.70,10.70,10.34,2050967,2157228776.00,3.42,1.71,0.18,1.56
2026-05-20,10.73,11.00,11.08,10.68,2451382,2670009048.00,3.74,2.80,0.30,1.86
2026-05-21,11.21,10.84,11.35,10.82,2752390,3067351038.00,4.82,-1.45,-0.16,2.09
2026-05-22,10.99,11.15,11.25,10.81,2034124,2256363904.00,4.06,2.86,0.31,1.54
2026-05-25,11.25,10.99,11.42,10.92,1914755,2129372324.00,4.48,-1.43,-0.16,1.45
2026-05-26,11.20,12.09,12.09,11.20,5455847,6366913842.00,8.10,10.01,1.10,4.14
2026-05-27,12.14,11.84,12.47,11.78,5206748,6272014608.00,5.71,-2.07,-0.25,3.95
2026-05-28,11.74,11.30,11.80,11.19,3366145,3825820289.00,5.15,-4.56,-0.54,2.56
2026-05-29,11.48,11.42,11.92,11.23,3854281,4450962386.00,6.11,1.06,0.12,2.93
2026-06-01,11.64,11.29,11.64,11.25,2515301,2861167091.00,3.42,-1.14,-0.13,1.91
2026-06-02,11.43,11.81,11.88,11.37,3819184,4441864892.00,4.52,4.61,0.52,2.90
2026-06-03,11.69,12.01,12.13,11.54,3405185,4028975739.00,5.00,1.69,0.20,2.58
2026-06-04,11.70,10.90,11.73,10.83,5395156,6006744051.00,7.49,-9.24,-1.11,4.10
2026-06-05,10.70,10.68,11.08,10.51,2686671,2897244901.00,5.23,-2.02,-0.22,2.04
2026-06-08,10.14,10.02,10.31,9.90,2865482,2899319723.00,3.84,-6.18,-0.66,2.18
2026-06-09,10.06,10.15,10.18,9.79,2115908,2112029932.00,3.89,1.30,0.13,1.61
