date,open,close,high,low,turnover_rate_pct
2025-06-17,18.79,18.87,18.97,18.70,0.41
2025-06-18,18.86,18.78,18.98,18.58,0.45
2025-06-19,18.75,18.37,18.78,18.37,0.49
2025-06-20,18.43,18.41,18.61,18.34,0.43
2025-06-23,18.45,18.51,18.62,18.28,0.48
2025-06-24,18.43,18.54,18.95,18.40,0.63
2025-06-25,18.58,18.99,19.00,18.45,0.60
2025-06-26,18.90,18.98,19.22,18.72,0.62
2025-06-27,19.20,19.78,20.06,19.20,1.16
2025-06-30,19.78,19.50,19.83,19.40,0.67
2025-07-01,19.69,19.90,19.92,19.38,0.60
2025-07-02,19.90,20.17,20.43,19.80,0.83
2025-07-03,20.37,20.29,20.49,20.08,0.67
2025-07-04,20.07,20.05,20.29,19.84,0.66
2025-07-07,19.96,19.80,20.02,19.71,0.41
2025-07-08,19.87,19.82,20.04,19.75,0.47
2025-07-09,19.89,18.90,19.89,18.87,1.62
2025-07-10,18.92,18.84,19.05,18.81,0.92
2025-07-11,18.89,18.89,19.20,18.86,1.06
2025-07-14,19.27,19.08,19.34,19.01,1.12
2025-07-15,19.06,19.12,19.15,18.82,0.74
2025-07-16,19.14,19.14,19.18,18.98,0.45
2025-07-17,19.13,19.07,19.19,18.98,0.57
2025-07-18,19.19,19.47,19.70,19.02,1.08
2025-07-21,19.56,19.79,19.83,19.50,0.84
2025-07-22,19.92,20.25,20.38,19.81,0.98
2025-07-23,20.43,20.21,20.48,20.11,0.88
2025-07-24,20.00,20.12,20.27,19.83,0.78
2025-07-25,19.96,19.85,20.07,19.81,0.61
2025-07-28,19.71,19.80,19.80,19.43,0.70
2025-07-29,19.60,19.59,19.74,19.51,0.63
2025-07-30,19.60,19.82,19.98,19.59,0.75
2025-07-31,19.51,19.15,19.52,19.03,1.01
2025-08-01,19.10,19.26,19.43,19.05,0.59
2025-08-04,19.57,19.88,19.94,19.50,0.84
2025-08-05,19.99,19.87,20.02,19.77,0.55
2025-08-06,19.81,20.16,20.25,19.78,0.69
2025-08-07,20.16,20.30,20.36,19.96,0.64
2025-08-08,20.36,20.54,20.70,20.30,0.62
2025-08-11,20.51,20.25,20.51,20.19,0.68
2025-08-12,20.22,20.30,20.56,20.14,0.57
2025-08-13,20.45,21.02,21.17,20.40,0.90
2025-08-14,21.03,21.17,21.53,20.97,0.67
2025-08-15,20.94,21.29,21.56,20.87,0.83
2025-08-18,21.30,20.80,21.37,20.80,1.27
2025-08-19,20.81,20.33,21.14,20.28,1.14
2025-08-20,20.33,20.56,20.57,20.19,0.82
2025-08-21,20.71,20.60,20.80,20.51,0.62
2025-08-22,20.65,20.66,20.76,20.45,0.72
2025-08-25,21.05,22.21,22.25,21.05,1.49
2025-08-26,22.19,22.39,22.55,21.96,0.90
2025-08-27,22.49,22.53,23.30,22.32,1.16
2025-08-28,22.54,22.52,22.89,22.21,0.84
2025-08-29,22.82,23.08,23.48,22.70,1.22
2025-09-01,23.90,24.38,24.65,23.41,1.83
2025-09-02,24.77,24.41,25.08,23.98,1.67
2025-09-03,25.10,24.94,25.51,24.39,1.49
2025-09-04,24.80,23.87,25.18,23.39,1.88
2025-09-05,23.79,25.27,25.41,23.79,1.68
2025-09-08,25.70,24.64,25.80,24.42,1.54
2025-09-09,24.99,25.19,25.85,24.75,1.72
2025-09-10,24.55,25.18,25.26,24.51,1.09
2025-09-11,25.25,25.71,25.74,25.08,1.22
2025-09-12,26.00,25.65,26.35,25.43,1.58
2025-09-15,25.54,25.50,26.10,25.30,1.17
2025-09-16,26.10,25.32,26.15,24.89,1.52
2025-09-17,25.12,25.07,25.29,24.75,1.02
2025-09-18,24.68,24.42,25.04,24.11,1.28
2025-09-19,24.42,25.02,25.15,24.42,0.98
2025-09-22,25.50,25.37,25.56,24.85,0.94
2025-09-23,25.60,25.82,26.38,25.25,1.34
2025-09-24,25.82,25.93,25.93,25.49,0.82
2025-09-25,26.90,27.27,27.64,26.69,1.92
2025-09-26,27.10,27.40,28.36,26.91,1.37
2025-09-29,27.70,28.77,28.86,27.53,1.94
2025-09-30,29.57,29.44,29.88,28.74,1.87
2025-10-09,31.22,32.38,32.38,30.77,2.47
2025-10-10,31.50,30.87,32.00,30.35,2.26
2025-10-13,30.05,31.30,31.65,29.88,2.03
2025-10-14,32.40,29.50,32.65,29.15,2.62
2025-10-15,29.96,30.98,31.20,29.38,1.78
2025-10-16,30.99,30.47,31.37,30.06,1.41
2025-10-17,31.12,30.17,31.30,30.03,1.48
2025-10-20,29.40,29.75,30.29,29.00,1.44
2025-10-21,30.40,30.05,30.78,29.81,1.27
2025-10-22,28.19,29.45,29.60,28.19,1.53
2025-10-23,29.03,29.70,29.93,28.56,1.20
2025-10-24,30.05,30.03,30.30,29.76,0.91
2025-10-27,30.12,31.00,31.30,30.12,1.41
2025-10-28,30.50,29.84,30.79,29.81,1.28
2025-10-29,30.05,30.96,31.05,30.01,1.03
2025-10-30,30.78,31.11,31.60,30.62,1.34
2025-10-31,31.11,30.50,31.29,30.45,0.85
2025-11-03,30.11,30.00,30.33,28.87,1.15
2025-11-04,29.50,28.78,29.78,28.60,1.30
2025-11-05,27.92,29.01,29.25,27.82,1.05
2025-11-06,29.01,29.70,29.80,28.92,0.87
2025-11-07,29.69,30.17,30.25,29.62,0.73
2025-11-10,30.80,30.17,30.95,29.88,0.92
2025-11-11,30.57,29.62,30.68,29.50,0.81
2025-11-12,29.62,29.49,30.06,29.15,0.66
2025-11-13,29.80,30.72,31.12,29.71,1.36
2025-11-14,30.10,30.02,30.43,29.82,0.81
2025-11-17,29.73,28.98,29.92,28.86,1.05
2025-11-18,28.70,28.39,28.95,28.21,0.84
2025-11-19,28.74,29.34,29.55,28.70,0.93
2025-11-20,29.40,28.97,29.68,28.90,0.65
2025-11-21,28.47,28.14,28.86,28.00,0.92
2025-11-24,28.44,28.00,28.50,27.63,0.83
2025-11-25,28.47,28.51,28.88,28.41,0.72
2025-11-26,28.66,28.43,28.77,28.35,0.77
2025-11-27,28.80,28.60,29.20,28.50,0.79
2025-11-28,28.79,28.58,29.09,28.40,0.96
2025-12-01,29.50,30.06,30.67,29.40,1.75
2025-12-02,29.90,29.74,29.98,29.45,0.75
2025-12-03,29.85,29.97,30.26,29.72,0.93
2025-12-04,30.84,30.69,31.38,30.53,1.33
2025-12-05,30.59,31.32,31.49,30.47,1.13
2025-12-08,31.40,31.50,31.60,30.94,1.00
2025-12-09,31.18,30.40,31.23,30.18,0.97
2025-12-10,30.60,30.75,30.85,30.20,0.57
2025-12-11,31.20,30.96,31.95,30.75,1.17
2025-12-12,31.67,31.70,31.80,31.35,1.07
2025-12-15,31.26,31.41,31.88,31.06,0.82
2025-12-16,31.02,30.32,31.22,30.12,0.77
2025-12-17,30.55,30.87,31.19,30.40,0.86
2025-12-18,30.83,30.97,31.35,30.65,0.67
2025-12-19,30.84,31.12,31.38,30.41,0.80
2025-12-22,31.69,32.53,32.78,31.64,1.19
2025-12-23,33.06,32.09,33.10,31.90,1.31
2025-12-24,32.54,32.31,32.65,31.99,0.94
2025-12-25,31.99,32.03,32.14,31.83,0.62
2025-12-26,32.60,33.53,33.77,32.55,1.39
2025-12-29,34.16,32.65,34.30,32.58,1.74
2025-12-30,31.55,33.42,33.48,31.53,1.18
2025-12-31,33.48,34.47,35.36,33.39,1.66
2026-01-05,35.30,35.40,35.64,34.27,1.51
2026-01-06,36.00,37.60,37.70,35.95,1.73
2026-01-07,37.60,36.72,37.70,36.38,1.73
2026-01-08,36.20,36.30,37.01,35.79,1.17
2026-01-09,36.00,37.22,37.67,35.98,1.36
2026-01-12,38.22,37.26,38.38,37.03,1.44
2026-01-13,37.40,38.24,38.90,37.30,1.51
2026-01-14,38.61,38.50,39.85,38.36,2.07
2026-01-15,38.26,38.25,39.44,37.70,1.87
2026-01-16,38.32,37.47,39.11,37.06,1.92
2026-01-19,37.62,37.26,37.78,36.50,1.23
2026-01-20,37.26,37.31,37.77,36.21,1.49
2026-01-21,37.76,38.13,38.48,37.36,1.89
2026-01-22,37.50,37.66,37.88,37.08,1.33
2026-01-23,38.39,37.56,38.50,37.35,1.88
2026-01-26,38.74,39.50,40.48,38.73,3.22
2026-01-27,40.23,40.61,42.68,39.68,3.54
2026-01-28,41.40,42.30,42.58,40.60,3.17
2026-01-29,43.79,43.45,44.94,41.31,3.75
2026-01-30,41.20,40.14,42.36,39.12,3.25
2026-02-02,36.87,36.61,38.73,36.27,3.47
2026-02-03,37.84,38.81,38.95,37.08,2.31
2026-02-04,39.50,39.16,39.99,38.68,1.59
2026-02-05,38.13,37.45,38.50,36.57,1.74
