date,open,close,high,low,volume_lots,amount_yuan,amplitude_pct,change_pct,change_amount,turnover_rate_pct
2026-04-16,35.00,35.30,35.39,35.00,2009412,7078128969.00,1.12,1.12,0.39,0.98
2026-04-17,35.00,34.73,35.10,34.50,2155828,7492782654.00,1.70,-1.61,-0.57,1.05
2026-04-20,34.86,34.82,35.29,34.70,2256403,7890139009.00,1.70,0.26,0.09,1.10
2026-04-21,34.98,35.66,35.68,34.50,3119791,10987224052.00,3.39,2.41,0.84,1.51
2026-04-22,35.67,35.53,35.86,35.24,3723920,13254782857.00,1.74,-0.36,-0.13,1.81
2026-04-23,35.56,34.40,35.56,34.14,3566449,12339162919.00,4.00,-3.18,-1.13,1.73
2026-04-24,34.02,34.31,34.42,33.53,2577934,8744204171.00,2.59,-0.26,-0.09,1.25
2026-04-27,34.00,33.56,34.25,33.48,2310885,7790164441.00,2.24,-2.19,-0.75,1.12
2026-04-28,33.33,32.95,33.46,32.88,2070092,6855447844.00,1.73,-1.82,-0.61,1.00
2026-04-29,32.55,34.14,34.20,32.51,3034995,10185682535.00,5.13,3.61,1.19,1.47
2026-04-30,33.70,33.30,34.02,33.08,2403899,8043586832.00,2.75,-2.46,-0.84,1.17
2026-05-06,33.50,34.21,34.38,33.21,3990720,13470799258.00,3.51,2.73,0.91,1.94
2026-05-07,34.84,34.46,35.17,34.12,3360414,11621995194.00,3.07,0.73,0.25,1.63
2026-05-08,34.02,34.80,35.00,33.84,3012482,10371098900.00,3.37,0.99,0.34,1.46
2026-05-11,34.55,34.27,34.72,33.85,3037097,10395756359.00,2.50,-1.52,-0.53,1.47
2026-05-12,34.96,34.58,35.33,34.50,4169460,14588128305.00,2.42,0.90,0.31,2.02
2026-05-13,35.10,34.66,35.25,34.45,3224803,11214811350.00,2.31,0.23,0.08,1.57
2026-05-14,34.49,33.52,34.76,33.50,2769481,9403243412.00,3.64,-3.29,-1.14,1.34
2026-05-15,32.99,31.84,33.00,31.50,4482822,14440316753.00,4.47,-5.01,-1.68,2.18
2026-05-18,30.90,31.30,31.37,30.71,2887987,8937256919.00,2.07,-1.70,-0.54,1.40
2026-05-19,31.30,31.16,31.39,30.64,1808601,5597109995.00,2.40,-0.45,-0.14,0.88
2026-05-20,30.53,30.39,30.64,29.92,3144897,9501730628.00,2.31,-2.47,-0.77,1.53
2026-05-21,30.91,29.99,31.25,29.93,2956155,9083222840.00,4.34,-1.32,-0.40,1.43
2026-05-22,30.16,30.96,31.14,29.88,2681039,8208476892.00,4.20,3.23,0.97,1.30
2026-05-25,31.64,31.35,32.00,31.09,2840462,8946274059.00,2.94,1.26,0.39,1.38
2026-05-26,31.16,32.90,32.98,31.02,4437216,14319468465.00,6.25,4.94,1.55,2.15
2026-05-27,32.58,31.62,32.89,31.53,2616966,8367170296.00,4.13,-3.89,-1.28,1.27
2026-05-28,31.00,30.71,31.20,30.08,3109909,9528322163.00,3.54,-2.88,-0.91,1.51
2026-05-29,31.32,30.44,31.38,30.18,2610250,7984251977.00,3.91,-0.88,-0.27,1.27
2026-06-01,30.22,30.19,30.70,30.12,1751622,5318626880.00,1.91,-0.82,-0.25,0.85
2026-06-02,30.36,31.58,31.74,30.12,3333214,10347790078.00,5.37,4.60,1.39,1.62
2026-06-03,31.01,31.27,31.82,30.95,2529803,7954143964.00,2.75,-0.98,-0.31,1.23
2026-06-04,30.90,30.34,30.95,30.22,2062166,6275998578.00,2.33,-2.97,-0.93,1.00
2026-06-05,30.30,29.63,30.85,29.53,2716213,8155837777.00,4.35,-2.34,-0.71,1.32
2026-06-08,28.28,28.05,28.73,27.58,3775320,10652472482.00,3.88,-5.33,-1.58,1.83
2026-06-09,28.14,28.47,28.53,27.60,2513161,7048918830.00,3.32,1.50,0.42,1.22
2026-06-10,27.60,27.70,28.00,27.20,3044088,8386456563.00,2.81,-2.70,-0.77,1.48
2026-06-11,27.20,27.33,27.69,26.80,3231431,8806739113.00,3.21,-1.34,-0.37,1.57
2026-06-12,28.09,29.09,29.76,27.81,5098539,14717983134.00,7.14,6.44,1.76,2.47
2026-06-15,30.54,31.31,31.35,30.40,5714756,17720187950.00,3.27,7.63,2.22,2.77
2026-06-16,31.00,30.29,31.10,30.20,2922715,8968397192.00,2.87,-3.26,-1.02,1.42
2026-06-17,30.50,30.43,30.95,30.12,2229817,6805840566.00,2.74,0.46,0.14,1.08
2026-06-18,29.96,29.69,30.98,29.28,3620675,10845890995.00,5.59,-2.43,-0.74,1.76
2026-06-22,29.25,30.44,30.50,28.55,3918476,11601709249.00,6.57,2.53,0.75,1.90
2026-06-23,29.95,27.75,30.00,27.64,4947402,14086399528.00,7.75,-8.84,-2.69,2.40
2026-06-24,27.41,27.65,27.97,27.33,2846096,7851243196.00,2.31,-0.36,-0.10,1.38
2026-06-25,26.51,25.92,26.76,25.73,5760700,15037198570.00,3.73,-6.26,-1.73,2.80
2026-06-26,25.90,25.10,25.90,24.86,3528208,8938947881.00,4.01,-3.16,-0.82,1.71
2026-06-29,25.35,25.79,25.96,24.98,3232927,8244862336.00,3.90,2.75,0.69,1.57
2026-06-30,25.05,25.14,25.26,24.70,3107057,7754864675.00,2.17,-2.52,-0.65,1.51
2026-07-01,24.85,25.11,25.55,24.42,3389084,8468766356.00,4.49,-0.12,-0.03,1.65
2026-07-02,25.61,26.30,26.96,25.52,5067417,13301647731.00,5.73,4.74,1.19,2.46
2026-07-03,27.50,27.82,28.30,27.41,5386520,15069982848.00,3.38,5.78,1.52,2.61
2026-07-06,27.64,28.28,29.19,27.62,3700913,10578058579.00,5.64,1.65,0.46,1.80
2026-07-07,27.80,27.62,28.11,27.43,2235422,6197952062.00,2.40,-2.33,-0.66,1.09
2026-07-08,27.12,27.36,28.03,26.80,1969818,5419862358.00,4.45,-0.94,-0.26,0.96
2026-07-09,26.82,27.62,27.70,26.55,2514997,6837329689.00,4.20,0.95,0.26,1.22
2026-07-10,28.00,27.72,28.45,27.08,2657100,7383491289.00,4.96,0.36,0.10,1.29
2026-07-13,27.23,27.36,27.63,26.74,2130238,5804744893.00,3.21,-1.30,-0.36,1.03
2026-07-14,26.88,29.06,29.29,26.75,3803205,10725809967.00,9.28,6.21,1.70,1.85
2026-07-15,29.06,28.83,29.34,28.56,2683491,7773489885.00,2.68,-0.79,-0.23,1.30
2026-07-16,28.82,29.25,29.59,28.79,2654390,7773402449.00,2.77,1.46,0.42,1.29
2026-07-17,28.65,28.36,28.82,27.92,2904169,8241056106.00,3.08,-3.04,-0.89,1.41
2026-07-20,28.36,29.35,29.45,28.29,2757683,7992030452.00,4.09,3.49,0.99,1.34
2026-07-21,29.95,30.21,30.33,29.13,3426670,10194288610.00,4.09,2.93,0.86,1.66
2026-07-22,30.81,32.20,32.79,30.81,5261658,16851582577.00,6.55,6.59,1.99,2.55
2026-07-23,32.52,33.06,33.68,31.92,4394476,14496609082.00,5.47,2.67,0.86,2.13
2026-07-24,31.74,31.51,32.09,30.97,4010393,12602496385.00,3.39,-4.69,-1.55,1.95
2026-07-27,32.45,31.77,32.45,31.13,2316589,7315150795.00,4.19,0.83,0.26,1.12
2026-07-28,31.20,31.69,31.80,31.03,1870630,5875930636.00,2.42,-0.25,-0.08,0.91
2026-07-29,31.94,32.15,32.29,31.18,2156163,6859408284.00,3.50,1.45,0.46,1.05
2026-07-30,32.63,32.70,33.18,32.01,2842980,9237898413.00,3.64,1.71,0.55,1.38
2026-07-31,32.38,32.95,33.48,32.27,2842479,9347571745.00,3.70,0.76,0.25,1.38
2026-08-03,32.70,32.55,32.94,31.69,2195419,7095706475.00,3.79,-1.21,-0.40,1.07
2026-08-04,32.45,32.12,32.85,31.85,2066598,6641972274.00,3.07,-1.32,-0.43,1.00
2026-08-05,32.39,34.10,34.22,32.38,4306669,14444803367.00,5.73,6.16,1.98,2.09
2026-08-06,35.38,34.50,35.80,34.15,4026674,14063625579.00,4.84,1.17,0.40,1.95
2026-08-07,34.09,35.15,35.34,34.06,2747124,9582181212.00,3.71,1.88,0.65,1.33
2026-08-10,35.18,35.45,35.60,34.71,2736505,9641711510.00,2.53,0.85,0.30,1.33
2026-08-11,35.66,33.18,35.77,33.11,4475415,15298737728.00,7.50,-6.40,-2.27,2.17
2026-08-12,33.19,33.58,34.08,33.18,2044842,6876694098.00,2.71,1.21,0.40,0.99
2026-08-13,33.58,32.21,33.84,32.11,3309070,10856874191.00,5.15,-4.08,-1.37,1.61
2026-08-14,31.80,32.53,32.66,31.75,1943765,6276856673.00,2.83,0.99,0.32,0.94
2026-08-17,33.33,33.36,33.65,33.01,1971968,6558448790.00,1.97,2.55,0.83,0.96
2026-08-18,33.36,33.56,33.58,32.87,1845214,6128479458.00,2.13,0.60,0.20,0.90
2026-08-19,32.50,32.76,33.28,32.35,1898576,6217951025.00,2.77,-2.38,-0.80,0.92
2026-08-20,34.00,34.25,35.08,33.87,4115787,14178910927.00,3.69,4.55,1.49,2.00
2026-08-21,34.25,34.74,34.87,33.60,3007017,10338560003.00,3.71,1.43,0.49,1.46
2026-08-24,35.40,34.54,35.47,34.16,3376482,11751472253.00,3.77,-0.58,-0.20,1.64
2026-08-25,34.70,33.68,34.70,33.40,2515654,8504382603.00,3.76,-2.49,-0.86,1.22
