date,open,close,high,low,turnover_rate_pct
2025-06-05,5.50,5.47,5.51,5.46,0.12
2025-06-06,5.47,5.45,5.49,5.43,0.13
2025-06-09,5.44,5.43,5.46,5.41,0.12
2025-06-10,5.42,5.45,5.49,5.41,0.17
2025-06-11,5.44,5.43,5.45,5.41,0.12
2025-06-12,5.43,5.43,5.44,5.40,0.13
2025-06-13,5.42,5.34,5.43,5.33,0.36
2025-06-16,5.32,5.38,5.38,5.27,0.23
2025-06-17,5.36,5.37,5.40,5.36,0.12
2025-06-18,5.37,5.50,5.50,5.35,0.25
2025-06-19,5.49,5.54,5.56,5.47,0.19
2025-06-20,5.54,5.59,5.60,5.52,0.17
2025-06-23,5.58,5.66,5.69,5.55,0.22
2025-06-24,5.65,5.71,5.71,5.60,0.23
2025-06-25,5.68,5.77,5.81,5.66,0.22
2025-06-26,5.77,5.80,5.82,5.74,0.15
2025-06-27,5.79,5.60,5.80,5.60,0.24
2025-06-30,5.59,5.62,5.63,5.55,0.12
2025-07-01,5.62,5.65,5.71,5.60,0.14
2025-07-02,5.66,5.65,5.69,5.64,0.09
2025-07-03,5.64,5.62,5.67,5.60,0.11
2025-07-04,5.61,5.70,5.72,5.61,0.14
2025-07-07,5.70,5.73,5.74,5.67,0.09
2025-07-08,5.72,5.71,5.75,5.69,0.09
2025-07-09,5.72,5.78,5.82,5.70,0.17
2025-07-10,5.79,5.82,5.88,5.78,0.13
2025-07-11,5.83,5.69,5.90,5.69,0.24
2025-07-14,5.70,5.75,5.84,5.70,0.16
2025-07-15,5.77,5.70,5.79,5.70,0.10
2025-07-16,5.70,5.71,5.73,5.66,0.11
2025-07-17,5.71,5.67,5.73,5.66,0.08
2025-07-18,5.67,5.69,5.72,5.64,0.09
2025-07-21,5.69,5.65,5.71,5.63,0.12
2025-07-22,5.64,5.58,5.65,5.55,0.19
2025-07-23,5.56,5.63,5.68,5.56,0.18
2025-07-24,5.64,5.56,5.66,5.56,0.16
2025-07-25,5.56,5.53,5.59,5.52,0.12
2025-07-28,5.54,5.53,5.57,5.52,0.10
2025-07-29,5.55,5.49,5.57,5.49,0.12
2025-07-30,5.49,5.53,5.57,5.47,0.14
2025-07-31,5.53,5.55,5.57,5.45,0.18
2025-08-01,5.54,5.55,5.57,5.50,0.13
2025-08-04,5.54,5.58,5.63,5.53,0.16
2025-08-05,5.57,5.65,5.66,5.55,0.15
2025-08-06,5.65,5.66,5.68,5.62,0.11
2025-08-07,5.66,5.72,5.72,5.62,0.14
2025-08-08,5.71,5.67,5.74,5.67,0.11
2025-08-11,5.67,5.62,5.68,5.59,0.12
2025-08-12,5.62,5.66,5.68,5.61,0.12
2025-08-13,5.66,5.58,5.69,5.58,0.16
2025-08-14,5.58,5.57,5.62,5.56,0.11
2025-08-15,5.58,5.45,5.58,5.42,0.30
2025-08-18,5.44,5.45,5.46,5.40,0.17
2025-08-19,5.45,5.56,5.59,5.44,0.21
2025-08-20,5.57,5.67,5.73,5.56,0.28
2025-08-21,5.68,5.71,5.73,5.62,0.19
2025-08-22,5.71,5.70,5.72,5.64,0.16
2025-08-25,5.69,5.68,5.70,5.64,0.15
2025-08-26,5.67,5.66,5.70,5.65,0.11
2025-08-27,5.65,5.55,5.66,5.55,0.14
2025-08-28,5.55,5.53,5.58,5.50,0.14
2025-08-29,5.54,5.52,5.63,5.51,0.16
2025-09-01,5.53,5.52,5.58,5.49,0.16
2025-09-02,5.52,5.63,5.63,5.50,0.21
2025-09-03,5.63,5.55,5.63,5.52,0.16
2025-09-04,5.52,5.62,5.65,5.41,0.31
2025-09-05,5.59,5.52,5.59,5.50,0.17
2025-09-08,5.50,5.47,5.53,5.46,0.15
2025-09-09,5.47,5.48,5.51,5.46,0.10
2025-09-10,5.48,5.49,5.50,5.45,0.11
2025-09-11,5.48,5.50,5.54,5.44,0.19
2025-09-12,5.49,5.48,5.53,5.48,0.13
2025-09-15,5.48,5.46,5.50,5.45,0.11
2025-09-16,5.46,5.41,5.47,5.40,0.15
2025-09-17,5.42,5.40,5.43,5.36,0.12
2025-09-18,5.41,5.30,5.41,5.29,0.16
2025-09-19,5.29,5.29,5.30,5.20,0.15
2025-09-22,5.27,5.21,5.30,5.21,0.09
2025-09-23,5.19,5.30,5.35,5.16,0.22
2025-09-24,5.29,5.28,5.37,5.27,0.15
2025-09-25,5.27,5.24,5.28,5.21,0.12
2025-09-26,5.23,5.24,5.27,5.20,0.09
2025-09-29,5.24,5.20,5.24,5.16,0.14
2025-09-30,5.19,5.18,5.21,5.16,0.09
2025-10-09,5.18,5.23,5.23,5.13,0.13
2025-10-10,5.22,5.23,5.28,5.21,0.11
2025-10-13,5.21,5.20,5.25,5.15,0.14
2025-10-14,5.19,5.28,5.29,5.16,0.18
2025-10-15,5.28,5.28,5.31,5.24,0.14
2025-10-16,5.28,5.38,5.40,5.27,0.19
2025-10-17,5.38,5.34,5.43,5.33,0.15
2025-10-20,5.32,5.36,5.39,5.24,0.16
2025-10-21,5.35,5.39,5.40,5.33,0.12
2025-10-22,5.39,5.46,5.47,5.38,0.16
2025-10-23,5.46,5.49,5.52,5.43,0.18
2025-10-24,5.47,5.53,5.57,5.44,0.20
2025-10-27,5.51,5.59,5.64,5.46,0.21
2025-10-28,5.59,5.60,5.63,5.54,0.14
2025-10-29,5.60,5.60,5.67,5.56,0.19
2025-10-30,5.60,5.65,5.72,5.59,0.22
2025-10-31,5.66,5.61,5.67,5.49,0.23
2025-11-03,5.59,5.68,5.71,5.59,0.19
2025-11-04,5.68,5.73,5.75,5.67,0.19
2025-11-05,5.72,5.69,5.75,5.66,0.12
2025-11-06,5.67,5.66,5.70,5.64,0.10
2025-11-07,5.66,5.64,5.72,5.63,0.11
2025-11-10,5.63,5.66,5.67,5.60,0.08
2025-11-11,5.65,5.68,5.69,5.63,0.08
2025-11-12,5.69,5.76,5.82,5.68,0.19
2025-11-13,5.77,5.74,5.81,5.66,0.14
2025-11-14,5.74,5.82,5.88,5.73,0.18
2025-11-17,5.82,5.77,5.83,5.69,0.14
2025-11-18,5.74,5.78,5.82,5.71,0.11
2025-11-19,5.79,6.00,6.00,5.78,0.27
2025-11-20,5.99,6.24,6.33,5.96,0.34
2025-11-21,6.23,6.29,6.39,6.23,0.32
2025-11-24,6.29,6.17,6.33,6.14,0.29
2025-11-25,6.15,6.26,6.29,6.09,0.21
2025-11-26,6.26,6.15,6.31,6.11,0.20
2025-11-27,6.13,6.17,6.17,6.06,0.16
2025-11-28,6.15,6.07,6.15,6.04,0.17
2025-12-01,6.06,6.07,6.10,6.03,0.15
2025-12-02,6.07,6.06,6.10,5.98,0.12
2025-12-03,6.04,5.94,6.08,5.92,0.15
2025-12-04,5.95,5.88,5.96,5.86,0.12
2025-12-05,5.88,5.81,5.90,5.77,0.15
2025-12-08,5.81,5.83,5.87,5.77,0.15
2025-12-09,5.81,5.84,5.87,5.79,0.12
2025-12-10,5.83,5.75,5.85,5.73,0.13
2025-12-11,5.66,5.71,5.71,5.64,0.12
2025-12-12,5.70,5.59,5.71,5.58,0.17
2025-12-15,5.59,5.61,5.64,5.58,0.10
2025-12-16,5.60,5.59,5.62,5.55,0.11
2025-12-17,5.58,5.61,5.66,5.56,0.12
2025-12-18,5.61,5.70,5.71,5.58,0.14
2025-12-19,5.69,5.66,5.69,5.63,0.11
2025-12-22,5.65,5.67,5.67,5.61,0.08
2025-12-23,5.66,5.70,5.71,5.63,0.12
2025-12-24,5.70,5.67,5.73,5.66,0.09
2025-12-25,5.66,5.65,5.71,5.63,0.11
2025-12-26,5.65,5.61,5.65,5.60,0.07
2025-12-29,5.61,5.68,5.68,5.59,0.12
2025-12-30,5.66,5.67,5.70,5.61,0.11
2025-12-31,5.66,5.73,5.76,5.66,0.14
2026-01-05,5.73,5.67,5.76,5.64,0.16
2026-01-06,5.67,5.59,5.67,5.55,0.27
2026-01-07,5.58,5.56,5.60,5.55,0.13
2026-01-08,5.56,5.52,5.56,5.48,0.15
2026-01-09,5.51,5.49,5.52,5.46,0.11
2026-01-12,5.47,5.53,5.54,5.44,0.12
2026-01-13,5.52,5.55,5.61,5.52,0.17
2026-01-14,5.53,5.47,5.54,5.46,0.17
2026-01-15,5.46,5.43,5.49,5.42,0.11
2026-01-16,5.43,5.40,5.44,5.38,0.14
2026-01-19,5.38,5.36,5.42,5.35,0.12
2026-01-20,5.36,5.44,5.45,5.34,0.15
2026-01-21,5.44,5.33,5.48,5.33,0.17
2026-01-22,5.33,5.30,5.36,5.30,0.12
2026-01-23,5.32,5.27,5.32,5.26,0.12
2026-01-26,5.26,5.31,5.36,5.23,0.18
2026-01-27,5.31,5.33,5.42,5.30,0.20
2026-01-28,5.32,5.34,5.40,5.30,0.16
2026-01-29,5.34,5.37,5.40,5.30,0.15
2026-01-30,5.38,5.37,5.43,5.35,0.15
2026-02-02,5.37,5.42,5.45,5.36,0.16
2026-02-03,5.40,5.28,5.40,5.27,0.21
2026-02-04,5.29,5.35,5.36,5.28,0.13
2026-02-05,5.37,5.40,5.43,5.35,0.13
2026-02-06,5.42,5.35,5.43,5.33,0.13
2026-02-09,5.33,5.38,5.38,5.31,0.08
2026-02-10,5.38,5.41,5.42,5.36,0.10
2026-02-11,5.41,5.41,5.43,5.36,0.08
2026-02-12,5.41,5.34,5.41,5.33,0.11
2026-02-13,5.35,5.31,5.36,5.30,0.10
2026-02-24,5.32,5.29,5.32,5.28,0.07
2026-02-25,5.29,5.29,5.31,5.27,0.09
2026-02-26,5.29,5.27,5.31,5.25,0.07
2026-02-27,5.28,5.28,5.30,5.26,0.07
2026-03-02,5.28,5.31,5.33,5.25,0.11
2026-03-03,5.30,5.42,5.44,5.28,0.24
2026-03-04,5.41,5.35,5.42,5.28,0.20
2026-03-05,5.31,5.39,5.40,5.29,0.12
2026-03-06,5.37,5.39,5.42,5.35,0.09
2026-03-09,5.37,5.36,5.41,5.35,0.12
2026-03-10,5.35,5.33,5.35,5.31,0.10
2026-03-11,5.33,5.36,5.36,5.30,0.06
2026-03-12,5.35,5.37,5.38,5.33,0.08
2026-03-13,5.37,5.39,5.42,5.33,0.11
2026-03-16,5.39,5.40,5.42,5.37,0.10
2026-03-17,5.40,5.50,5.50,5.38,0.17
2026-03-18,5.50,5.50,5.54,5.46,0.14
2026-03-19,5.48,5.53,5.56,5.48,0.17
2026-03-20,5.52,5.51,5.58,5.49,0.12
2026-03-23,5.49,5.39,5.50,5.32,0.21
2026-03-24,5.38,5.47,5.49,5.37,0.14
2026-03-25,5.46,5.55,5.55,5.38,0.15
2026-03-26,5.53,5.58,5.60,5.52,0.13
2026-03-27,5.57,5.57,5.60,5.56,0.10
2026-03-30,5.55,5.67,5.68,5.55,0.14
2026-03-31,5.67,5.87,5.91,5.67,0.31
2026-04-01,5.89,5.87,5.95,5.85,0.16
2026-04-02,5.87,5.94,5.97,5.84,0.14
2026-04-03,5.95,5.82,5.96,5.78,0.11
2026-04-07,5.82,5.80,5.84,5.75,0.12
2026-04-08,5.77,5.74,5.78,5.63,0.15
2026-04-09,5.74,5.69,5.77,5.67,0.11
2026-04-10,5.68,5.65,5.68,5.62,0.08
2026-04-13,5.65,5.69,5.69,5.58,0.10
2026-04-14,5.66,5.73,5.74,5.65,0.09
