date,open,close,high,low,volume_lots,amount_yuan,amplitude_pct,change_pct,change_amount,turnover_rate_pct
2026-04-21,5.89,5.93,5.97,5.89,2053821,1218008177.00,1.36,0.51,0.03,0.10
2026-04-22,5.93,5.84,5.95,5.83,1616782,948819566.00,2.02,-1.52,-0.09,0.08
2026-04-23,5.83,5.82,5.88,5.80,1588392,927613368.00,1.37,-0.34,-0.02,0.08
2026-04-24,5.82,5.81,5.84,5.78,1484478,861051720.00,1.03,-0.17,-0.01,0.07
2026-04-27,5.80,5.76,5.84,5.75,1668172,964842080.00,1.55,-0.86,-0.05,0.08
2026-04-28,5.74,5.81,5.82,5.73,1647561,952210043.00,1.56,0.87,0.05,0.08
2026-04-29,5.81,5.79,5.83,5.73,2180086,1259549786.00,1.72,-0.34,-0.02,0.10
2026-04-30,5.80,5.75,5.85,5.73,2528233,1461444306.00,2.07,-0.69,-0.04,0.12
2026-05-06,5.75,5.71,5.75,5.64,2679509,1519897392.00,1.91,-0.70,-0.04,0.13
2026-05-07,5.71,5.69,5.76,5.68,1748485,999142783.00,1.40,-0.35,-0.02,0.08
2026-05-08,5.70,5.68,5.75,5.66,1646660,936717491.00,1.58,-0.18,-0.01,0.08
2026-05-11,5.67,5.68,5.69,5.61,2292315,1294937056.00,1.41,0.00,0.00,0.11
2026-05-12,5.68,5.74,5.78,5.67,2497039,1433926085.00,1.94,1.06,0.06,0.12
2026-05-13,5.75,5.72,5.77,5.69,1733847,993628097.00,1.39,-0.35,-0.02,0.08
2026-05-14,5.71,5.76,5.83,5.70,2734276,1580479090.00,2.27,0.70,0.04,0.13
2026-05-15,5.76,5.79,5.81,5.69,2699422,1556875661.00,2.08,0.52,0.03,0.13
2026-05-18,5.79,5.79,5.82,5.76,1940884,1124118524.00,1.04,0.00,0.00,0.09
2026-05-19,5.80,5.83,5.90,5.79,2718887,1593352605.00,1.90,0.69,0.04,0.13
2026-05-20,5.83,5.70,5.84,5.70,2070373,1191220935.00,2.40,-2.23,-0.13,0.10
2026-05-21,5.71,5.80,5.84,5.66,3260368,1883361764.00,3.16,1.75,0.10,0.15
2026-05-22,5.79,5.86,5.88,5.71,3106328,1807610864.00,2.93,1.03,0.06,0.15
2026-05-25,5.84,5.90,5.94,5.83,2466684,1455806546.00,1.88,0.68,0.04,0.12
2026-05-26,5.88,5.91,5.98,5.87,2925462,1737459864.00,1.86,0.17,0.01,0.14
2026-05-27,5.90,5.85,5.98,5.81,2569336,1514655987.00,2.88,-1.02,-0.06,0.12
2026-05-28,5.84,5.81,5.93,5.79,2673153,1564819487.00,2.39,-0.68,-0.04,0.13
2026-05-29,5.80,5.86,5.91,5.76,3406783,1992840665.00,2.58,0.86,0.05,0.16
2026-06-01,5.85,5.93,5.94,5.81,2793313,1641084318.00,2.22,1.19,0.07,0.13
2026-06-02,5.93,5.97,6.05,5.92,3296889,1976798793.00,2.19,0.67,0.04,0.16
2026-06-03,5.96,5.95,5.98,5.86,2636892,1560883827.00,2.01,-0.34,-0.02,0.13
2026-06-04,5.95,5.90,5.99,5.88,1912125,1134051295.00,1.85,-0.84,-0.05,0.09
2026-06-05,5.91,6.05,6.05,5.90,3643592,2187970116.00,2.54,2.54,0.15,0.17
2026-06-08,6.05,6.14,6.17,6.02,3623035,2212689496.00,2.48,1.49,0.09,0.17
2026-06-09,6.10,6.13,6.19,6.07,2561635,1571855743.00,1.95,-0.16,-0.01,0.12
2026-06-10,6.14,6.22,6.27,6.11,3080230,1913724183.00,2.61,1.47,0.09,0.15
2026-06-11,6.22,6.20,6.23,6.11,2422278,1496846965.00,1.93,-0.32,-0.02,0.11
2026-06-12,6.14,6.29,6.29,6.10,3350004,2079619276.00,3.06,1.45,0.09,0.16
2026-06-15,6.26,6.13,6.27,6.08,4043855,2490148326.00,3.02,-2.54,-0.16,0.19
2026-06-16,6.10,6.04,6.13,6.01,2246395,1358536175.00,1.96,-1.47,-0.09,0.11
2026-06-17,6.04,5.94,6.08,5.92,2320137,1387016243.00,2.65,-1.66,-0.10,0.11
2026-06-18,5.92,5.78,5.94,5.77,3651969,2125912675.00,2.86,-2.69,-0.16,0.17
