date,open,close,high,low,volume_lots
2026-04-14,6.140,6.250,6.280,6.140,372856
2026-04-15,6.250,6.370,6.420,6.250,454203
2026-04-16,6.350,6.360,6.400,6.300,274109
2026-04-17,6.340,6.330,6.380,6.300,166608
2026-04-20,6.330,6.220,6.330,6.210,277030
2026-04-21,6.210,6.130,6.270,6.100,504468
2026-04-22,6.110,6.000,6.130,5.990,410744
2026-04-23,5.990,5.950,6.030,5.920,334296
2026-04-24,5.940,5.970,5.990,5.880,272881
2026-04-27,5.940,6.000,6.040,5.930,230022
2026-04-28,6.000,5.990,6.040,5.930,201300
2026-04-29,5.980,6.050,6.090,5.970,271224
2026-04-30,6.140,6.200,6.260,6.140,468238
2026-05-06,6.250,6.220,6.250,6.150,397078
2026-05-07,6.220,6.100,6.230,6.030,444073
2026-05-08,6.100,6.200,6.240,6.080,482338
2026-05-11,6.230,6.150,6.230,6.100,434087
2026-05-12,6.160,6.160,6.170,6.070,324900
2026-05-13,6.130,6.110,6.180,6.060,360299
2026-05-14,6.110,6.000,6.130,6.000,289495
2026-05-15,6.010,6.000,6.040,5.960,257349
2026-05-18,5.980,5.900,5.990,5.860,324283
2026-05-19,5.890,5.930,5.950,5.880,212046
2026-05-20,5.910,6.050,6.090,5.880,300342
2026-05-21,6.030,5.930,6.110,5.920,286062
2026-05-22,5.950,5.850,5.960,5.830,255518
2026-05-25,5.830,5.790,5.860,5.750,278809
2026-05-26,5.780,5.810,5.850,5.770,206331
2026-05-27,5.810,5.690,5.830,5.630,325254
2026-05-28,5.670,5.620,5.720,5.600,180123
2026-05-29,5.630,5.700,5.780,5.610,281876
2026-06-01,5.700,5.870,5.870,5.670,338111
2026-06-02,5.870,5.870,5.960,5.810,234307
2026-06-03,5.870,5.810,5.880,5.760,222786
2026-06-04,5.810,5.740,5.870,5.700,196744
2026-06-05,5.740,5.770,5.830,5.710,198060
2026-06-08,5.780,5.750,5.780,5.680,205783
2026-06-09,5.740,5.760,5.830,5.710,164127
2026-06-10,5.750,5.850,5.870,5.720,202623
2026-06-11,5.830,5.840,5.870,5.760,195354
2026-06-12,5.850,5.960,6.000,5.800,395214
2026-06-15,5.980,5.900,6.020,5.850,357336
2026-06-16,5.900,5.790,5.900,5.770,236618
2026-06-17,5.760,5.670,5.800,5.650,278905
2026-06-18,5.660,5.600,5.710,5.580,305074
2026-06-22,5.590,5.620,5.640,5.490,267326
2026-06-23,5.610,5.620,5.710,5.600,224012
2026-06-24,5.620,5.520,5.660,5.490,239919
2026-06-25,5.500,5.450,5.540,5.410,229372
2026-06-26,5.430,5.370,5.440,5.360,217333
2026-06-29,5.360,5.340,5.440,5.200,352844
2026-06-30,5.320,5.230,5.340,5.090,389887
2026-07-01,5.220,5.360,5.400,5.190,315604
2026-07-02,5.380,5.460,5.490,5.340,290004
2026-07-03,5.450,5.560,5.570,5.440,231893
2026-07-06,5.530,5.640,5.660,5.500,219683
2026-07-07,5.670,5.570,5.680,5.520,188109
2026-07-08,5.570,5.650,5.660,5.530,243065
2026-07-09,5.610,5.590,5.660,5.560,274249
2026-07-10,5.600,5.600,5.630,5.510,210018
2026-07-13,5.580,5.670,5.730,5.570,254785
2026-07-14,5.660,5.760,5.800,5.650,305441
2026-07-15,5.770,5.860,5.880,5.730,269379
2026-07-16,5.870,5.930,5.970,5.830,280718
2026-07-17,5.930,5.890,6.000,5.880,385674
2026-07-20,5.890,5.990,6.030,5.880,476299
2026-07-21,5.980,5.950,6.180,5.940,592320
2026-07-22,5.960,5.990,6.010,5.840,366906
2026-07-23,5.980,5.990,6.040,5.940,305950
2026-07-24,5.990,5.980,6.050,5.970,262585
2026-07-27,5.970,5.990,6.070,5.940,327156
2026-07-28,6.010,6.020,6.040,5.890,318058
2026-07-29,6.010,6.160,6.190,6.010,449105
2026-07-30,6.150,6.290,6.300,6.140,439517
2026-07-31,6.220,6.300,6.340,6.160,444842
2026-08-03,6.300,6.340,6.390,6.260,473849
2026-08-04,6.360,6.130,6.370,6.130,435560
2026-08-05,6.140,6.070,6.190,6.070,337341
2026-08-06,6.110,6.060,6.120,5.980,301630
2026-08-07,6.050,6.050,6.080,5.980,252192
2026-08-10,6.060,6.110,6.180,6.010,288199
2026-08-11,6.100,6.090,6.190,6.090,196093
2026-08-12,6.120,6.070,6.130,6.040,203970
2026-08-13,6.080,5.990,6.090,5.990,216332
2026-08-14,6.000,5.910,6.020,5.910,206624
2026-08-17,5.920,5.920,5.940,5.840,260154
2026-08-18,5.910,5.860,5.940,5.840,283231
2026-08-19,5.890,6.000,6.020,5.850,321353
2026-08-20,5.970,6.010,6.040,5.930,247046
2026-08-21,6.010,5.900,6.020,5.870,200841
