date,open,close,high,low,volume_lots
2026-04-14,19.986,20.066,20.116,19.956,397060
2026-04-15,20.186,20.176,20.376,20.076,462582
2026-04-16,20.186,20.186,20.406,20.156,460420
2026-04-17,20.126,19.976,20.146,19.866,445128
2026-04-20,19.966,19.896,20.066,19.876,450680
2026-04-21,19.926,19.956,20.076,19.626,687325
2026-04-22,19.876,19.806,19.946,19.766,462541
2026-04-23,19.796,19.656,19.836,19.556,511444
2026-04-24,19.626,19.606,19.686,19.396,468874
2026-04-27,19.606,19.646,19.846,19.566,552433
2026-04-28,19.536,20.466,20.486,19.466,1249193
2026-04-29,20.506,20.766,20.956,20.506,821626
2026-04-30,20.626,20.656,20.936,20.526,506243
2026-05-06,20.636,20.706,20.786,20.536,526509
2026-05-07,20.836,20.566,20.976,20.536,488350
2026-05-08,20.566,20.516,20.666,20.446,380369
2026-05-11,20.506,20.616,20.856,20.236,888491
2026-05-12,20.626,20.346,20.716,20.306,471069
2026-05-13,20.356,20.206,20.456,20.076,457674
2026-05-14,20.416,20.406,20.706,20.356,745392
2026-05-15,20.506,20.526,20.936,20.246,796216
2026-05-18,20.526,20.216,20.526,19.946,656719
2026-05-19,20.216,20.106,20.326,20.036,327701
2026-05-20,20.046,20.006,20.166,19.866,309378
2026-05-21,20.026,19.566,20.146,19.566,493968
2026-05-22,19.576,19.506,19.676,19.256,451843
2026-05-25,19.466,19.436,19.596,19.306,291053
2026-05-26,19.396,19.346,19.476,19.276,298467
2026-05-27,19.356,19.286,19.456,19.036,428726
2026-05-28,19.176,19.236,19.306,19.056,319537
2026-05-29,19.216,20.006,20.286,19.186,834823
2026-06-01,20.006,20.206,20.296,19.836,555967
2026-06-02,20.126,20.256,20.406,19.926,408229
2026-06-03,20.126,19.826,20.136,19.706,569257
2026-06-04,19.756,19.486,19.916,19.286,373162
2026-06-05,19.486,19.436,19.816,19.416,339541
2026-06-08,19.296,19.296,19.576,19.216,384520
2026-06-09,19.276,19.196,19.356,19.086,408509
2026-06-10,19.206,19.546,19.816,19.146,576166
2026-06-11,19.496,20.236,20.256,19.446,770234
2026-06-12,20.006,20.256,20.386,19.886,721931
2026-06-15,20.326,20.096,20.356,19.816,623387
2026-06-16,20.036,19.846,20.066,19.686,455209
2026-06-17,19.826,19.616,19.926,19.546,343510
2026-06-18,19.536,18.576,19.586,18.576,903314
2026-06-22,18.626,19.106,19.236,18.376,488574
2026-06-23,19.196,18.846,19.456,18.796,446227
2026-06-24,18.926,18.466,18.966,18.426,369036
2026-06-25,18.516,18.986,19.296,18.416,566520
2026-06-26,19.016,18.846,19.026,18.696,324767
2026-06-29,19.246,19.546,19.706,18.846,613699
2026-06-30,19.546,19.536,19.696,19.126,521355
2026-07-01,19.606,19.426,19.796,19.246,465941
2026-07-02,19.426,19.546,19.776,19.256,560593
2026-07-03,19.556,19.706,19.876,19.486,492050
2026-07-06,19.716,19.706,19.876,19.566,439100
2026-07-07,19.696,19.446,19.696,19.326,335597
2026-07-08,19.366,19.416,19.576,19.226,250968
2026-07-09,19.356,19.136,19.376,19.026,389342
2026-07-10,19.126,19.476,19.496,18.786,491714
2026-07-13,19.306,19.376,19.476,19.206,374848
2026-07-14,19.336,19.456,19.516,19.146,392656
2026-07-15,19.336,20.146,20.236,19.276,785299
2026-07-16,20.046,20.236,20.466,20.016,533310
2026-07-17,20.176,20.076,20.376,19.986,450339
2026-07-20,20.076,20.586,20.606,20.066,560006
2026-07-21,20.576,20.976,21.446,20.476,945219
2026-07-22,20.886,21.046,21.046,20.666,490763
2026-07-23,20.906,20.986,21.006,20.746,303837
2026-07-24,20.846,20.886,20.986,20.706,429083
2026-07-27,20.866,20.996,21.166,20.786,364091
2026-07-28,21.066,21.526,21.576,20.956,520562
2026-07-29,21.486,22.106,22.316,21.456,713771
2026-07-30,22.126,22.396,22.616,22.026,546421
2026-07-31,22.026,22.316,22.416,21.686,630971
2026-08-03,22.326,22.046,22.466,21.976,465658
2026-08-04,21.936,21.616,22.016,21.576,523411
2026-08-05,21.606,21.466,21.706,21.256,372166
2026-08-06,21.446,21.246,21.516,21.036,343025
2026-08-07,21.246,21.056,21.296,20.956,306026
2026-08-10,21.076,21.376,21.456,21.006,447050
2026-08-11,21.226,21.126,21.516,21.126,332182
2026-08-12,21.096,20.876,21.116,20.606,428218
2026-08-13,20.846,20.916,21.106,20.736,291666
2026-08-14,20.836,20.886,21.016,20.736,261535
2026-08-17,20.986,20.616,21.036,20.426,468953
2026-08-18,20.536,20.776,20.816,20.496,343137
2026-08-19,20.716,21.096,21.136,20.686,503545
2026-08-20,21.056,20.896,21.256,20.876,423194
2026-08-21,20.920,20.860,21.160,20.740,394631
